Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,15.899025461099999,3.28318327483
 01/01  02:00:00,15.3282636545,2.61290995475
 01/01  03:00:00,15.0461635486,3.0041045412900003
 01/01  04:00:00,14.9020460557,3.5857932859300004
 01/01  05:00:00,16.9809110849,4.2994875317500005
 01/01  06:00:00,21.544008416100002,7.84781427548
 01/01  07:00:00,26.9065317553,17.7188987669
 01/01  08:00:00,26.094505546300002,19.0094998111
 01/01  09:00:00,22.141804163099998,18.3110627715
 01/01  10:00:00,19.3102291615,15.711965841900001
 01/01  11:00:00,16.6536623156,12.9167884362
 01/01  12:00:00,18.1674770952,9.467932126960001
 01/01  13:00:00,19.4315442945,8.1329897967
 01/01  14:00:00,20.653657265499998,7.2445381216
 01/01  15:00:00,21.6515168411,6.3560864465
 01/01  16:00:00,23.3668772494,7.2445381216
 01/01  17:00:00,30.7323691238,8.42914035507
 01/01  18:00:00,39.011113246,11.0944953804
 01/01  19:00:00,42.1482454863,13.0194740097
 01/01  20:00:00,39.9010194883,12.427172893
 01/01  21:00:00,38.819980885700005,11.390645938699999
 01/01  22:00:00,32.9455422672,9.31759203017
 01/01  23:00:00,25.635548761,8.352880019810001
 01/01  24:00:00,19.6116026895,5.95515906094
 01/02  01:00:00,15.9104706654,5.570427554809999
 01/02  02:00:00,15.3968720124,7.19783282487
 01/02  03:00:00,15.1899238422,8.76609911636
 01/02  04:00:00,15.1312415939,10.8164013684
 01/02  05:00:00,17.3077025691,13.616238321900001
 01/02  06:00:00,21.8941811026,18.1232768488
 01/02  07:00:00,27.2405262192,28.6586799719
 01/02  08:00:00,26.5972982701,29.700828439699997
 01/02  09:00:00,24.036456936100002,25.7132244607
 01/02  10:00:00,21.448941229000003,18.4101296843
 01/02  11:00:00,19.4247690677,13.9535742781
 01/02  12:00:00,20.3350102501,10.1412613053
 01/02  13:00:00,20.8515367163,8.172909134600001
 01/02  14:00:00,21.492629799699998,7.25529274607
 01/02  15:00:00,22.1184317375,6.365468140190001
 01/02  16:00:00,24.3354586723,7.25529274607
 01/02  17:00:00,32.3534985088,8.44172555391
 01/02  18:00:00,39.760065681,11.111199371600001
 01/02  19:00:00,42.9304886632,13.039152684300001
 01/02  20:00:00,40.6770795523,12.4459362804
 01/02  21:00:00,39.1669156711,11.4078075735
 01/02  22:00:00,33.2959557448,9.33155015979
 01/02  23:00:00,26.2169958194,8.14511735195
 01/02  24:00:00,20.012627749500002,4.585818928419999
 01/03  01:00:00,15.966732168,1.47234704278
 01/03  02:00:00,15.2745929603,1.03449040097
 01/03  03:00:00,14.931609715899999,1.29194124628
 01/03  04:00:00,14.788385145,2.57238845112
 01/03  05:00:00,16.955420255,5.383091308919999
 01/03  06:00:00,21.611139027100002,11.502510517300001
 01/03  07:00:00,26.9506379388,21.9277398827
 01/03  08:00:00,26.3077122378,22.7126223679
 01/03  09:00:00,23.903563524699997,20.314805345099998
 01/03  10:00:00,21.4922040086,16.0022685853
 01/03  11:00:00,19.2647575113,13.5210020718
 01/03  12:00:00,19.9918501641,10.616144101
 01/03  13:00:00,20.1452535153,8.69487598415
 01/03  14:00:00,20.4598606798,7.307880079410001
 01/03  15:00:00,20.812924098099998,6.37448879814
 01/03  16:00:00,22.6277952044,7.26563350031
 01/03  17:00:00,30.205811333899998,8.453826436529999
 01/03  18:00:00,37.5174403402,11.127260543
 01/03  19:00:00,41.045634586599995,13.058074064400001
 01/03  20:00:00,39.2486883909,12.463977596300001
 01/03  21:00:00,38.571331983600004,11.4243087771
 01/03  22:00:00,32.833521745700004,9.58817486928
 01/03  23:00:00,25.6363718944,9.36287829502
 01/03  24:00:00,19.6882630478,7.57101053197
 01/04  01:00:00,15.983221043699999,6.97000257477
 01/04  02:00:00,15.4704646893,8.890544306619999
 01/04  03:00:00,15.2715292586,10.6676243614
 01/04  04:00:00,15.236911051300002,13.3269959549
 01/04  05:00:00,17.376851473800002,15.256252456099999
 01/04  06:00:00,21.933478695399998,19.0548472305
 01/04  07:00:00,27.3038630939,30.1886907553
 01/04  08:00:00,26.6898622504,31.9269321838
 01/04  09:00:00,24.093917738800002,27.261583765999998
