Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1069992076,0.0
 01/02  04:00:00,15.1069992076,0.0
 01/02  05:00:00,15.1069992076,0.0
 01/02  06:00:00,15.1069992076,0.0
 01/02  07:00:00,24.2127409439,125.99821765600001
 01/02  08:00:00,23.826724251999998,103.641554286
 01/02  09:00:00,33.6408539563,69.2016194713
 01/02  10:00:00,50.0331308491,18.7227623647
 01/02  11:00:00,50.0331308491,0.113799518781
 01/02  12:00:00,50.0331308491,0.0
 01/02  13:00:00,50.671660937700004,0.0
 01/02  14:00:00,53.9275318525,0.0
 01/02  15:00:00,56.1753786278,0.0
 01/02  16:00:00,58.6200700916,0.0
 01/02  17:00:00,58.5568920276,0.0
 01/02  18:00:00,60.9133258861,0.0
 01/02  19:00:00,50.336071572600005,0.0
 01/02  20:00:00,49.6733416355,0.0
 01/02  21:00:00,45.1258539563,0.0
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.1069992076,0.0
 01/03  03:00:00,15.1069992076,0.0
 01/03  04:00:00,15.1069992076,0.0
 01/03  05:00:00,15.1069992076,0.0
 01/03  06:00:00,15.1069992076,0.0
 01/03  07:00:00,24.2127409439,104.20015987200001
 01/03  08:00:00,23.826724251999998,81.44145555760001
 01/03  09:00:00,33.6408539563,53.545214675100006
 01/03  10:00:00,50.0331308491,14.896659091199998
 01/03  11:00:00,50.0331308491,0.48983468488700005
 01/03  12:00:00,50.0331308491,0.0
 01/03  13:00:00,50.0331308491,0.0
 01/03  14:00:00,50.0948723168,0.0
 01/03  15:00:00,50.625395921300004,0.0
 01/03  16:00:00,52.138873241000006,0.0
 01/03  17:00:00,51.9557092366,0.0
 01/03  18:00:00,56.0963488532,0.0
 01/03  19:00:00,49.6733416355,0.0
 01/03  20:00:00,49.6733416355,1.43863616334
 01/03  21:00:00,45.1258539563,7.6636554797
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1069992076,0.0
 01/04  01:00:00,15.1069992076,0.0
 01/04  02:00:00,15.1069992076,0.0
 01/04  03:00:00,15.1069992076,0.0
 01/04  04:00:00,15.1069992076,0.0
 01/04  05:00:00,15.1069992076,0.0
 01/04  06:00:00,15.1069992076,0.0
 01/04  07:00:00,24.2127409439,137.877435133
 01/04  08:00:00,23.826724251999998,115.198048519
 01/04  09:00:00,33.6408539563,76.07794391979999
 01/04  10:00:00,50.0331308491,19.5013750486
 01/04  11:00:00,50.0331308491,0.0889019722782
 01/04  12:00:00,50.0331308491,0.0
 01/04  13:00:00,50.0338727296,0.0
 01/04  14:00:00,50.5344734853,0.0
 01/04  15:00:00,51.774347891800005,0.0
 01/04  16:00:00,52.623931496800004,0.0
 01/04  17:00:00,51.377733480100005,0.0
 01/04  18:00:00,55.8606424316,0.0
 01/04  19:00:00,49.6733416355,0.18290447510000002
 01/04  20:00:00,49.6733416355,10.0862178075
 01/04  21:00:00,45.1258539563,26.2902259642
 01/04  22:00:00,22.3776491824,0.0
 01/04  23:00:00,15.1069992076,0.0
 01/04  24:00:00,15.1069992076,0.0
 01/05  01:00:00,15.1069992076,0.0
 01/05  02:00:00,15.1069992076,0.0
 01/05  03:00:00,15.1069992076,0.0
 01/05  04:00:00,15.1069992076,0.0
 01/05  05:00:00,15.1069992076,0.0
 01/05  06:00:00,15.1069992076,0.0
 01/05  07:00:00,24.2127409439,148.430793139
 01/05  08:00:00,23.826724251999998,118.028485371
 01/05  09:00:00,33.6408539563,79.7353148354
 01/05  10:00:00,50.0331308491,23.549680048400003
 01/05  11:00:00,50.0331308491,0.225619653504
 01/05  12:00:00,50.0331308491,0.0
 01/05  13:00:00,50.49694829999999,0.0
 01/05  14:00:00,52.6193071355,0.0
 01/05  15:00:00,54.365481080100004,0.0
 01/05  16:00:00,55.1750328594,0.0
 01/05  17:00:00,53.839850773,0.0
 01/05  18:00:00,56.599061667600004,0.0
 01/05  19:00:00,49.6733416355,0.0
 01/05  20:00:00,49.6733416355,0.0
 01/05  21:00:00,45.1258539563,0.0
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.1069992076,0.0
 01/06  02:00:00,15.1069992076,0.0
 01/06  03:00:00,15.1069992076,0.0
 01/06  04:00:00,15.1069992076,0.0
 01/06  05:00:00,15.1069992076,0.0
 01/06  06:00:00,15.1069992076,0.0
 01/06  07:00:00,24.2127409439,24.2860955389
 01/06  08:00:00,23.826724251999998,13.478132681099998
 01/06  09:00:00,33.6408539563,0.597797061068
 01/06  10:00:00,50.0331308491,0.0
 01/06  11:00:00,50.371710752,0.0
 01/06  12:00:00,55.183958996,0.0
 01/06  13:00:00,59.757442266000005,0.0
 01/06  14:00:00,63.382795285,0.0
 01/06  15:00:00,65.1551565529,0.0
 01/06  16:00:00,65.87705638439999,0.0
 01/06  17:00:00,63.5263894606,0.0
 01/06  18:00:00,61.6350395096,0.0
 01/06  19:00:00,51.911275684399996,0.0
 01/06  20:00:00,49.7382106894,0.0
 01/06  21:00:00,45.1258539563,0.0
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.1069992076,0.0
 01/06  24:00:00,15.1069992076,0.0
 01/07  01:00:00,14.657580751600001,0.0
 01/07  02:00:00,14.657580751600001,0.0
 01/07  03:00:00,14.657580751600001,0.0
 01/07  04:00:00,14.657580751600001,0.0
 01/07  05:00:00,14.657580751600001,0.0
 01/07  06:00:00,14.657580751600001,0.0
 01/07  07:00:00,23.7633224879,71.1210928242
 01/07  08:00:00,19.2792365728,66.8510561859
 01/07  09:00:00,24.5458785979,63.133187130500005
 01/07  10:00:00,38.1883416355,48.5366515649
 01/07  11:00:00,50.0331308491,33.2344925594
 01/07  12:00:00,50.0331308491,15.5316773254
 01/07  13:00:00,50.0331308491,9.02077886138
 01/07  14:00:00,50.0331308491,9.19652666879
 01/07  15:00:00,50.0331308491,8.96230262013
 01/07  16:00:00,50.0331308491,9.01205837974
 01/07  17:00:00,50.0331308491,12.4802998683
 01/07  18:00:00,53.8614641824,24.8051259892
 01/07  19:00:00,45.1258539563,50.026466804399995
 01/07  20:00:00,36.0308785979,68.20930782890001
 01/07  21:00:00,36.0308785979,83.810518897
 01/07  22:00:00,26.935903239499996,103.13036821
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.657580751600001,0.0
 01/08  01:00:00,14.657580751600001,0.0
 01/08  02:00:00,14.657580751600001,0.0
 01/08  03:00:00,14.657580751600001,0.0
 01/08  04:00:00,14.657580751600001,0.0
 01/08  05:00:00,14.657580751600001,0.0
 01/08  06:00:00,14.6987045549,0.9135985753939999
 01/08  07:00:00,14.7372818136,1.7706236026599997
 01/08  08:00:00,7.066396953560001,1.4547549284099999
 01/08  09:00:00,15.4509032395,188.987543225
 01/08  10:00:00,15.4509032395,130.475581611
 01/08  11:00:00,29.0933662771,83.5469013208
 01/08  12:00:00,29.0933662771,52.5963805261
 01/08  13:00:00,38.1883416355,19.515813613
 01/08  14:00:00,38.1883416355,4.693707100919999
 01/08  15:00:00,38.1883416355,0.140523219264
 01/08  16:00:00,38.1883416355,0.0
 01/08  17:00:00,38.1883416355,0.0
 01/08  18:00:00,32.9216996104,23.0942724966
 01/08  19:00:00,31.4833909187,54.9963907871
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.657580751600001,0.0
 01/08  23:00:00,14.657580751600001,0.0
 01/08  24:00:00,14.657580751600001,0.0
 01/09  01:00:00,15.1069992076,0.0
 01/09  02:00:00,15.1069992076,0.0
 01/09  03:00:00,15.1069992076,0.0
 01/09  04:00:00,15.1069992076,0.0
 01/09  05:00:00,15.1069992076,0.0
 01/09  06:00:00,15.1069992076,0.0
 01/09  07:00:00,24.2127409439,150.9734929
 01/09  08:00:00,23.826724251999998,111.76407404
 01/09  09:00:00,33.6408539563,80.5877142293
 01/09  10:00:00,50.0331308491,38.0089798797
 01/09  11:00:00,50.0331308491,11.6377259367
 01/09  12:00:00,50.0331308491,0.038452121332300006
 01/09  13:00:00,50.0331308491,0.0
 01/09  14:00:00,50.0331308491,0.0
 01/09  15:00:00,50.0331308491,0.0
 01/09  16:00:00,50.0331308491,0.0
 01/09  17:00:00,50.0331308491,0.0
 01/09  18:00:00,53.8614641824,0.0
 01/09  19:00:00,49.6733416355,0.0
 01/09  20:00:00,49.6733416355,0.191516764932
 01/09  21:00:00,45.1258539563,4.06310373371
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1069992076,0.0
 01/10  01:00:00,15.1069992076,0.0
 01/10  02:00:00,15.1069992076,0.0
 01/10  03:00:00,15.1069992076,0.0
 01/10  04:00:00,15.1069992076,0.0
 01/10  05:00:00,15.1069992076,0.0
 01/10  06:00:00,15.1069992076,0.0
 01/10  07:00:00,24.2127409439,46.789805039499996
 01/10  08:00:00,23.826724251999998,29.3857889861
 01/10  09:00:00,33.6408539563,15.3444475748
 01/10  10:00:00,50.0331308491,0.0192303232356
 01/10  11:00:00,50.0331308491,0.0
 01/10  12:00:00,51.2596359167,0.0
 01/10  13:00:00,54.2773874724,0.0
 01/10  14:00:00,55.847536616300005,0.0
 01/10  15:00:00,56.55310090850001,0.0
 01/10  16:00:00,57.230174025299995,0.0
 01/10  17:00:00,56.1076443538,0.0
 01/10  18:00:00,56.6484394245,0.0
 01/10  19:00:00,49.9664669338,0.0
 01/10  20:00:00,49.6733416355,0.0
 01/10  21:00:00,45.1258539563,0.0
 01/10  22:00:00,22.3776491824,0.0
 01/10  23:00:00,15.1069992076,0.0
 01/10  24:00:00,15.1069992076,0.0
 01/11  01:00:00,15.1069992076,0.0
 01/11  02:00:00,15.1069992076,0.0
 01/11  03:00:00,15.1069992076,0.0
 01/11  04:00:00,15.1069992076,0.0
 01/11  05:00:00,15.1069992076,0.0
 01/11  06:00:00,15.1069992076,0.0
 01/11  07:00:00,24.2127409439,19.2744728835
 01/11  08:00:00,23.826724251999998,10.930752233800002
 01/11  09:00:00,33.6408539563,2.6669649908900004
 01/11  10:00:00,50.0331308491,0.0
 01/11  11:00:00,50.0331308491,0.0
 01/11  12:00:00,51.327273661499994,0.0
 01/11  13:00:00,54.7430747052,0.0
 01/11  14:00:00,54.665789302,0.0
 01/11  15:00:00,55.2459288434,0.0
 01/11  16:00:00,57.8473451737,0.0
 01/11  17:00:00,56.393338461999996,0.0
 01/11  18:00:00,55.8443502168,0.0
 01/11  19:00:00,49.779256125299995,0.0
 01/11  20:00:00,49.6733416355,0.0
 01/11  21:00:00,45.1258539563,0.0
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1069992076,0.0
 01/11  24:00:00,15.1069992076,0.0
 01/12  01:00:00,15.1069992076,0.0
 01/12  02:00:00,15.1069992076,0.0
 01/12  03:00:00,15.1069992076,0.0
 01/12  04:00:00,15.1069992076,0.0
 01/12  05:00:00,15.1069992076,0.0
 01/12  06:00:00,15.1069992076,0.0
 01/12  07:00:00,24.2127409439,45.447515620299995
 01/12  08:00:00,23.826724251999998,36.0054892617
 01/12  09:00:00,33.6408539563,28.3034277852
 01/12  10:00:00,50.0331308491,13.1933236528
 01/12  11:00:00,50.0331308491,8.52737835271
 01/12  12:00:00,50.0331308491,2.4799577818
 01/12  13:00:00,50.0331308491,0.513550545174
 01/12  14:00:00,50.0331308491,0.091431586479
 01/12  15:00:00,50.0331308491,0.0187923279096
 01/12  16:00:00,50.0331308491,0.0
 01/12  17:00:00,50.0331308491,0.0212878477311
 01/12  18:00:00,53.8614641824,1.7715438102
 01/12  19:00:00,49.6733416355,4.286321093540001
 01/12  20:00:00,49.6733416355,11.974010503699999
 01/12  21:00:00,45.1258539563,16.9874998913
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.1069992076,0.0
 01/12  24:00:00,15.1069992076,0.0
 01/13  01:00:00,15.1069992076,0.0
 01/13  02:00:00,15.1069992076,0.0
 01/13  03:00:00,15.1069992076,0.0
 01/13  04:00:00,15.1069992076,0.0
 01/13  05:00:00,15.1069992076,0.0
 01/13  06:00:00,15.1069992076,0.0
 01/13  07:00:00,24.2127409439,80.0911567808
 01/13  08:00:00,23.826724251999998,59.2221851935
 01/13  09:00:00,33.6408539563,42.3324926107
 01/13  10:00:00,50.0331308491,20.0287099301
 01/13  11:00:00,50.0331308491,3.8782858348900002
 01/13  12:00:00,50.0331308491,0.0
 01/13  13:00:00,50.0331308491,0.0
 01/13  14:00:00,50.267600717,0.0
 01/13  15:00:00,51.240547228500006,0.0
 01/13  16:00:00,52.3721436519,0.0
 01/13  17:00:00,51.839248821800005,0.0
 01/13  18:00:00,54.1652906748,0.0
 01/13  19:00:00,49.6733416355,0.0
 01/13  20:00:00,49.6733416355,0.20625052298399998
