Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,56.39855779649999,7.14321969027
 01/01  02:00:00,56.66095539649999,10.8545660513
 01/01  03:00:00,57.3604651714,28.0460349212
 01/01  04:00:00,57.8990266399,32.5592118375
 01/01  05:00:00,57.98620778310001,36.8562846895
 01/01  06:00:00,58.6509565112,46.090968237
 01/01  07:00:00,58.4582024555,53.152783064
 01/01  08:00:00,56.7612418599,36.949486411799995
 01/01  09:00:00,48.791148685500005,29.2456442196
 01/01  10:00:00,48.2417191386,13.5620687651
 01/01  11:00:00,47.7890090368,10.3540527986
 01/01  12:00:00,48.2746890438,7.89081314107
 01/01  13:00:00,46.9506970045,3.22568
 01/01  14:00:00,47.0036170007,6.09051546215
 01/01  15:00:00,47.01967625020001,3.22568
 01/01  16:00:00,47.008326967399995,6.08877619266
 01/01  17:00:00,46.9099084998,3.22568
 01/01  18:00:00,54.035106024799994,6.088793251779999
 01/01  19:00:00,55.436844877,3.22568
 01/01  20:00:00,55.6445719422,3.22568
 01/01  21:00:00,55.626850748,6.08881031305
 01/01  22:00:00,55.5099246177,3.22568
 01/01  23:00:00,55.6150227284,6.79189657474
 01/01  24:00:00,57.1415244796,5.925007782180001
 01/02  01:00:00,56.399093468900006,9.319224756939999
 01/02  02:00:00,56.140895183699996,8.76156608484
 01/02  03:00:00,56.4030457892,7.40250830788
 01/02  04:00:00,56.6603176714,12.7148794079
 01/02  05:00:00,56.610325404399994,13.102185133299999
 01/02  06:00:00,58.1004997292,31.7307581204
 01/02  07:00:00,65.2973546963,692.579104177
 01/02  08:00:00,128.09512630700002,394.86109727
 01/02  09:00:00,165.491534941,294.791171718
 01/02  10:00:00,165.4667532,265.41142788400003
 01/02  11:00:00,169.40947317299998,242.959307525
 01/02  12:00:00,170.166911123,212.307591323
 01/02  13:00:00,169.490002731,191.660475288
 01/02  14:00:00,166.233796452,194.125669505
 01/02  15:00:00,166.507525246,195.20380800900003
 01/02  16:00:00,164.524609189,191.486363482
 01/02  17:00:00,163.13577118700002,153.155225654
 01/02  18:00:00,127.149592313,175.473259922
 01/02  19:00:00,128.596515882,203.205967434
 01/02  20:00:00,128.82796244899998,232.148738966
 01/02  21:00:00,128.831540007,256.667603796
 01/02  22:00:00,55.440481658500005,8.98467248864
 01/02  23:00:00,55.336161744399995,8.96741828107
 01/02  24:00:00,56.135150277600005,6.093941436880001
 01/03  01:00:00,55.5718663692,6.23262876215
 01/03  02:00:00,56.684851074499996,4.33255922577
 01/03  03:00:00,56.416545799,7.540558411
 01/03  04:00:00,56.676423639300005,8.68687085856
 01/03  05:00:00,58.9598704689,33.2742383749
 01/03  06:00:00,60.198813558199994,51.492137487200004
 01/03  07:00:00,65.6895608478,570.044965702
 01/03  08:00:00,128.422776027,474.14009354800004
 01/03  09:00:00,165.540355399,359.297610804
 01/03  10:00:00,165.438156903,303.378955443
 01/03  11:00:00,169.412196235,258.629941578
 01/03  12:00:00,170.170679283,212.79722499099998
 01/03  13:00:00,169.35604538200002,166.573799528
 01/03  14:00:00,166.266111122,144.143960844
 01/03  15:00:00,166.790053594,151.96865944200002
 01/03  16:00:00,164.227272886,153.093175124
 01/03  17:00:00,162.79872021,129.745317634
 01/03  18:00:00,126.969239475,178.164907695
 01/03  19:00:00,128.593790527,188.61150055299998
 01/03  20:00:00,128.604719885,214.81891114799998
 01/03  21:00:00,128.617278706,240.43983187900002
 01/03  22:00:00,55.295890755900004,8.985524707789999
