Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,21.9020844073,151.45648473100002
 01/01  02:00:00,20.9744664858,141.148620666
 01/01  03:00:00,22.9343889596,176.635935652
 01/01  04:00:00,21.1986951634,149.957934385
 01/01  05:00:00,23.0196405477,183.92524909
 01/01  06:00:00,21.351568931099997,158.03941655100002
 01/01  07:00:00,23.1836541579,191.431720707
 01/01  08:00:00,19.97586123,163.772814442
 01/01  09:00:00,14.2103508053,190.68919252599997
 01/01  10:00:00,12.1618810861,149.375025485
 01/01  11:00:00,13.384444267300001,160.749785173
 01/01  12:00:00,11.3240422487,112.66895261299999
 01/01  13:00:00,12.076165126600001,112.56578192399999
 01/01  14:00:00,10.320802677,72.313471333
 01/01  15:00:00,11.048090054000001,74.04011538489999
 01/01  16:00:00,9.80844447839,51.4436077227
 01/01  17:00:00,11.3861468125,83.2868383829
 01/01  18:00:00,19.7016270242,83.7312343596
 01/01  19:00:00,21.542271359,124.14190585
 01/01  20:00:00,20.3200558513,109.983165181
 01/01  21:00:00,22.0479065613,145.82222897399998
 01/01  22:00:00,20.652096530399998,125.22804181
 01/01  23:00:00,22.2537909992,153.033987014
 01/01  24:00:00,20.6940910098,127.192648222
 01/02  01:00:00,22.297426005300004,155.24810844700002
 01/02  02:00:00,20.7312349548,129.299214075
 01/02  03:00:00,22.365404623499998,158.610973218
 01/02  04:00:00,20.810283558,132.62732057600002
 01/02  05:00:00,22.4281176493,160.32998720700002
 01/02  06:00:00,20.8404399826,133.77694976799998
 01/02  07:00:00,26.9058719974,198.561984253
 01/02  08:00:00,45.9087778322,169.246205906
 01/02  09:00:00,57.951417322299996,147.537424297
 01/02  10:00:00,69.92546619310001,126.572480915
 01/02  11:00:00,69.92546619310001,108.285878542
 01/02  12:00:00,69.92546619310001,86.8169335685
 01/02  13:00:00,63.2508088496,74.6646908984
 01/02  14:00:00,69.6527165896,67.1804794168
 01/02  15:00:00,69.6899196347,63.1917658853
 01/02  16:00:00,69.7023206498,62.9839202741
 01/02  17:00:00,69.7023206498,69.0259845774
 01/02  18:00:00,33.52463679,67.8319656439
 01/02  19:00:00,19.6661246676,85.524619943
 01/02  20:00:00,21.1954141212,117.633402889
 01/02  21:00:00,20.2081129276,108.05406915
 01/02  22:00:00,21.692947169,137.819313391
 01/02  23:00:00,20.5944053623,124.42533301299999
 01/02  24:00:00,21.9861444306,147.368371532
 01/03  01:00:00,20.7337204123,129.62785399
 01/03  02:00:00,22.2348159713,157.452618728
 01/03  03:00:00,20.9723581411,139.576968986
 01/03  04:00:00,22.386664867100002,162.681122754
 01/03  05:00:00,20.9789063813,138.692393456
