Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.623761070999999,38.940292376500004
 01/01  02:00:00,9.489690352,3.0211
 01/01  03:00:00,9.51293660989,3.5931798336000003
 01/01  04:00:00,9.52462615401,3.0211
 01/01  05:00:00,9.67397278509,3.5931857234900004
 01/01  06:00:00,13.766291201500001,48.3342943375
 01/01  07:00:00,28.2406105407,53.677196159
 01/01  08:00:00,27.563007694299998,55.9973244333
 01/01  09:00:00,20.6666363037,48.8570207982
 01/01  10:00:00,20.6876985304,42.9023758357
 01/01  11:00:00,25.715332289000003,53.871101361899996
 01/01  12:00:00,26.8756333808,53.2132301734
 01/01  13:00:00,25.958888093800002,49.2834310015
 01/01  14:00:00,25.7493168704,48.4667710882
 01/01  15:00:00,20.7374567582,42.0211740604
 01/01  16:00:00,20.7128043494,42.372743752699996
 01/01  17:00:00,20.621795598800002,47.6169038559
 01/01  18:00:00,28.1512800117,51.7574099609
 01/01  19:00:00,28.1613405475,50.238891858900004
 01/01  20:00:00,28.326143552199998,45.033045468699996
 01/01  21:00:00,23.295644213499997,44.9113288565
 01/01  22:00:00,23.215334343000002,48.1086779326
 01/01  23:00:00,23.1208742939,43.374818660699994
 01/01  24:00:00,24.3029189616,29.779334473800002
 01/02  01:00:00,13.8521380693,31.455921549299998
 01/02  02:00:00,9.53452112172,3.0211
 01/02  03:00:00,9.53811341773,3.59319597008
 01/02  04:00:00,9.54445006488,3.0211
 01/02  05:00:00,9.70169942424,3.59317604589
 01/02  06:00:00,13.787266408399999,38.4998052662
 01/02  07:00:00,28.257400381999997,44.6463197371
 01/02  08:00:00,27.581706547899998,51.96280066640001
 01/02  09:00:00,20.6831980174,47.2924432
 01/02  10:00:00,20.692974838399998,47.5030646589
 01/02  11:00:00,25.692208717899998,61.3754572098
 01/02  12:00:00,26.8446883015,68.7944069226
 01/02  13:00:00,25.90890894,63.2024171919
 01/02  14:00:00,25.7079161781,59.2279998849
 01/02  15:00:00,20.7034865661,51.346108544399996
 01/02  16:00:00,20.680020032799998,52.7239042075
 01/02  17:00:00,20.5992294033,56.8881896188
 01/02  18:00:00,28.137666097100002,60.77942364
 01/02  19:00:00,28.141756923699997,62.803403782
 01/02  20:00:00,28.283301112100002,62.1631315604
 01/02  21:00:00,23.2628851677,61.1570816642
 01/02  22:00:00,23.1931407452,60.4237744382
 01/02  23:00:00,23.0877072971,63.3901618961
 01/02  24:00:00,24.2853842546,52.0577646573
 01/03  01:00:00,13.8066022595,62.0513507191
 01/03  02:00:00,9.468081734910001,3.0211
 01/03  03:00:00,9.488463440139999,3.59317071795
 01/03  04:00:00,9.50049742792,3.0211
 01/03  05:00:00,10.1670322895,3.0211
 01/03  06:00:00,14.2688674859,71.42941542359999
 01/03  07:00:00,28.462353616399998,72.8931009909
 01/03  08:00:00,27.552097532399998,77.58552538720001
 01/03  09:00:00,20.6564917541,70.9902821985
 01/03  10:00:00,20.6694482151,66.7478513831
 01/03  11:00:00,25.666417312100002,73.45728672850001
 01/03  12:00:00,26.82807914,74.6306985284
 01/03  13:00:00,25.8974898134,65.5617865598
 01/03  14:00:00,25.6934287096,61.4227087506
 01/03  15:00:00,20.6895712061,52.400604065900005
 01/03  16:00:00,20.6708938905,54.39607278729999
 01/03  17:00:00,20.5877005773,56.9503583142
 01/03  18:00:00,28.125953711799998,64.972322098
 01/03  19:00:00,28.1313148052,71.8255060432
 01/03  20:00:00,28.130628834899998,72.2735033728
 01/03  21:00:00,23.1216934427,72.3163057759
 01/03  22:00:00,23.0841458792,71.6307352093
 01/03  23:00:00,23.081297157399998,69.858515325
 01/03  24:00:00,24.284379301199998,55.1457681818
 01/04  01:00:00,13.8080102664,63.2000336695
 01/04  02:00:00,9.46184535475,3.0211
 01/04  03:00:00,9.48151663775,3.5931802458399997
 01/04  04:00:00,9.497275780199999,3.0211
 01/04  05:00:00,9.64965636098,3.0211
 01/04  06:00:00,13.758517519300002,59.796572567700004
 01/04  07:00:00,28.2359751174,62.2071965721
 01/04  08:00:00,27.5579218781,67.67955616180001
 01/04  09:00:00,20.6602072536,62.957803143
 01/04  10:00:00,20.6696168175,61.6985193791
 01/04  11:00:00,25.666463324099997,73.1283317474
 01/04  12:00:00,26.8277744595,75.6220361168
 01/04  13:00:00,25.8973052967,64.7167126214
 01/04  14:00:00,25.6943980323,60.8928390039
 01/04  15:00:00,20.6898145967,51.975898149399995
 01/04  16:00:00,20.6719713279,52.2317579537
 01/04  17:00:00,20.5939296008,55.4152030471
 01/04  18:00:00,28.130440275799998,57.760773238999995
 01/04  19:00:00,28.1347091246,59.193277264399995
 01/04  20:00:00,28.2773274152,60.5159377529
 01/04  21:00:00,23.2603797202,57.767534417700006
 01/04  22:00:00,23.193464478499997,56.7308906637
 01/04  23:00:00,23.0901468154,53.799776174499996
 01/04  24:00:00,24.2904298784,39.6121300984
 01/05  01:00:00,13.8102971042,45.870244598199996
 01/05  02:00:00,9.47682443845,3.0211
 01/05  03:00:00,9.50123248605,3.5931476363699995
 01/05  04:00:00,9.515696967330001,3.0211
 01/05  05:00:00,9.66763396254,3.59315357865
 01/05  06:00:00,13.768070123900001,49.619759561
 01/05  07:00:00,28.2453058967,52.819903976800006
 01/05  08:00:00,27.5689432639,60.097612123599994
 01/05  09:00:00,20.670267843399998,55.651073920500004
 01/05  10:00:00,20.6780674605,54.8771139663
 01/05  11:00:00,25.678445107199998,64.5227523717
 01/05  12:00:00,26.841481465999998,66.9374305156
 01/05  13:00:00,25.9223794975,56.7239220943
 01/05  14:00:00,25.7247265585,50.4371359719
 01/05  15:00:00,20.7195699736,43.4641353837
 01/05  16:00:00,20.700852175999998,43.7827429837
 01/05  17:00:00,20.6075543627,49.9120575171
 01/05  18:00:00,28.140504183,56.58738560729999
 01/05  19:00:00,28.1447554623,61.371104074099996
 01/05  20:00:00,28.285606072100002,64.5624501795
 01/05  21:00:00,23.265134021799998,60.902127007
 01/05  22:00:00,23.1966450944,60.3484362409
 01/05  23:00:00,23.0900742675,60.5428878888
 01/05  24:00:00,24.288526158699998,46.1249287425
 01/06  01:00:00,13.808082960899998,53.0244949143
 01/06  02:00:00,9.472630767010001,3.5931719003300007
 01/06  03:00:00,9.495262056369999,3.0211
 01/06  04:00:00,9.509380639389999,3.5931778039899998
 01/06  05:00:00,10.1766862399,3.0211
 01/06  06:00:00,14.2727821975,57.260077655799996
 01/06  07:00:00,28.4657209392,61.023476923500006
 01/06  08:00:00,27.5584276503,70.0869716803
 01/06  09:00:00,20.6601470116,62.4497490909
 01/06  10:00:00,20.6742621468,56.0379359859
 01/06  11:00:00,25.6713972826,67.00425491189999
 01/06  12:00:00,26.8307037799,70.1956715531
 01/06  13:00:00,25.8983568281,62.2695451292
 01/06  14:00:00,25.7103265883,54.1336734216
 01/06  15:00:00,20.7210711618,42.172770945100005
 01/06  16:00:00,20.7042083441,41.162041077800005
 01/06  17:00:00,20.6030133377,51.7896409863
 01/06  18:00:00,28.137461689600002,59.5347899604
 01/06  19:00:00,28.1409415394,62.0171562842
 01/06  20:00:00,28.140426085300003,62.554705296
 01/06  21:00:00,23.1311301757,63.6188698457
 01/06  22:00:00,23.0921797077,63.7434683741
 01/06  23:00:00,23.089831031,61.6222261321
 01/06  24:00:00,24.2882052314,45.7504349712
 01/07  01:00:00,13.808452544000001,51.5806604627
 01/07  02:00:00,9.473197386319999,3.0211
 01/07  03:00:00,9.494742021519999,3.5931738184099995
 01/07  04:00:00,9.50736087378,3.0211
 01/07  05:00:00,9.65875568587,3.5931797190199997
 01/07  06:00:00,13.761180435999998,54.2165213295
 01/07  07:00:00,28.2387031156,57.9364977687
 01/07  08:00:00,27.560999312199996,61.6034816816
 01/07  09:00:00,20.6645488062,53.5815074638
 01/07  10:00:00,20.6773102633,54.2918914735
 01/07  11:00:00,25.675420246999998,65.47463733800001
 01/07  12:00:00,26.8377349083,68.5981838366
 01/07  13:00:00,25.913809435,61.1230572755
 01/07  14:00:00,25.717935017600002,55.9995708058
 01/07  15:00:00,20.7248691396,44.186835395200006
 01/07  16:00:00,20.7116274163,41.9936267801
 01/07  17:00:00,20.630039835599998,45.0251523131
 01/07  18:00:00,28.1699749232,47.486121897
 01/07  19:00:00,28.1786364285,46.094673071
 01/07  20:00:00,28.323930848200003,46.6642413551
 01/07  21:00:00,23.3087051177,44.6199453822
 01/07  22:00:00,23.2397877496,43.519364448599994
 01/07  23:00:00,23.1365396377,39.3102555491
 01/07  24:00:00,24.3247017385,23.4379770294
 01/08  01:00:00,13.8580507976,31.040788272600004
 01/08  02:00:00,9.5312611834,3.0211
 01/08  03:00:00,9.56219421487,3.59317055795
 01/08  04:00:00,9.58717717491,3.0211
 01/08  05:00:00,9.746217233069999,3.0211
 01/08  06:00:00,13.844050901700001,26.9866691535
 01/08  07:00:00,28.325109932300002,29.227278553
 01/08  08:00:00,27.651394520100002,32.3107087718
 01/08  09:00:00,20.7571697469,27.6434202391
 01/08  10:00:00,20.7677763019,27.19600808
 01/08  11:00:00,25.762401346500003,46.449315626899995
 01/08  12:00:00,26.890917183800003,50.81758392890001
 01/08  13:00:00,26.000671085700002,43.629932908
 01/08  14:00:00,25.7842832943,43.219983533500006
 01/08  15:00:00,20.7712175714,36.4674503887
 01/08  16:00:00,20.747441991800002,36.6455116171
 01/08  17:00:00,20.6581271597,41.0165449524
 01/08  18:00:00,28.188376654899997,45.4407602741
 01/08  19:00:00,28.1950773889,44.093740143199994
 01/08  20:00:00,28.341926692399998,43.6359567554
 01/08  21:00:00,23.3236996837,41.6549295326
 01/08  22:00:00,23.2519023985,41.526209253299996
 01/08  23:00:00,23.1443181421,39.8752707308
 01/08  24:00:00,24.3268524466,26.27156088
 01/09  01:00:00,13.865006121199999,31.8211622642
 01/09  02:00:00,9.536141445560002,3.0211
 01/09  03:00:00,9.56773656549,3.5931887151699997
 01/09  04:00:00,9.587873806860001,3.0211
 01/09  05:00:00,9.72961738735,3.0211
 01/09  06:00:00,13.813637093199999,35.4029301518
 01/09  07:00:00,28.283182705599998,39.7322095557
 01/09  08:00:00,27.6053541357,47.043781956800004
 01/09  09:00:00,20.7214388115,39.312648155
 01/09  10:00:00,20.7512331201,35.1386376096
 01/09  11:00:00,25.771306424099997,46.0078370623
 01/09  12:00:00,26.9154734367,47.0167775345
 01/09  13:00:00,26.065067070599998,40.0508646276
 01/09  14:00:00,25.8678408377,34.9731716417
 01/09  15:00:00,20.860261421,24.7135610917
 01/09  16:00:00,20.8705956981,22.649242891
 01/09  17:00:00,20.7831967499,25.936427092800002
 01/09  18:00:00,28.2651396279,31.8584231676
 01/09  19:00:00,28.2433324689,35.5931590507
 01/09  20:00:00,28.376053666199997,37.7024720999
 01/09  21:00:00,23.344848412199998,38.386483582
 01/09  22:00:00,23.2637770488,40.1263391476
 01/09  23:00:00,23.153237672800003,38.1497774829
 01/09  24:00:00,24.3307865346,21.485208284499997
 01/10  01:00:00,13.8692505569,27.427781924
 01/10  02:00:00,9.54596991122,3.0211
 01/10  03:00:00,9.584856694439999,3.5931732199599997
 01/10  04:00:00,9.598781894439998,3.0211
 01/10  05:00:00,10.2647168637,3.5931791202900003
 01/10  06:00:00,14.3364703827,29.8740545036
 01/10  07:00:00,28.5084714476,38.2604961172
 01/10  08:00:00,27.6008808258,47.0887132517
 01/10  09:00:00,20.7025151765,41.9756109961
 01/10  10:00:00,20.712350619400002,41.7312634731
 01/10  11:00:00,25.723882974499997,55.01623362390001
 01/10  12:00:00,26.8727377271,58.590692301800004
 01/10  13:00:00,25.9644547702,51.8069406866
 01/10  14:00:00,25.781300371900002,43.3906889911
 01/10  15:00:00,20.7875915512,32.923823574699995
 01/10  16:00:00,20.7713517496,32.213017376799996
 01/10  17:00:00,20.6793748618,36.8366234416
 01/10  18:00:00,28.195986087199998,43.5081512699
 01/10  19:00:00,28.2086039342,42.8157490711
 01/10  20:00:00,28.1996317432,44.8929161169
 01/10  21:00:00,23.175982918200003,46.2310030667
 01/10  22:00:00,23.1414055927,44.1950981595
 01/10  23:00:00,23.128321581599998,43.148534276099994
 01/10  24:00:00,24.3141396722,29.900421636
 01/11  01:00:00,13.841481243699999,35.6116085815
 01/11  02:00:00,9.515957779039999,3.0211
 01/11  03:00:00,9.542012983160001,3.59318024149
 01/11  04:00:00,9.5448383359,3.0211
 01/11  05:00:00,9.68843091812,3.5931861319
 01/11  06:00:00,13.7787476838,43.854810182399994
 01/11  07:00:00,28.2513047869,47.9210336625
 01/11  08:00:00,27.574854720999998,55.6639465951
 01/11  09:00:00,20.6778874669,48.4226629919
 01/11  10:00:00,20.7171488141,41.299003305599996
 01/11  11:00:00,25.7405122236,51.440709439399996
 01/11  12:00:00,26.8905093146,51.3323498774
 01/11  13:00:00,26.0185350855,40.3622195029
 01/11  14:00:00,25.8315577651,34.9732862642
 01/11  15:00:00,20.8113387352,28.0057289334
 01/11  16:00:00,20.7819224386,29.1701920773
 01/11  17:00:00,20.6771173283,36.4033520899
 01/11  18:00:00,28.195102312800003,43.5203836096
 01/11  19:00:00,28.1915406677,46.5367591729
 01/11  20:00:00,28.3253385858,49.1297127609
 01/11  21:00:00,23.2968095793,48.3839684453
 01/11  22:00:00,23.2236423473,48.178114592600004
 01/11  23:00:00,23.1121497906,46.241618723
 01/11  24:00:00,24.3043428086,33.5257302888
 01/12  01:00:00,13.821400694600001,39.4891390048
 01/12  02:00:00,9.49367205916,3.5931915510500003
 01/12  03:00:00,9.51856934455,3.0211
 01/12  04:00:00,9.53065109471,3.5931629990800005
 01/12  05:00:00,9.680166374489998,3.0211
 01/12  06:00:00,13.7733293928,45.7225839665
 01/12  07:00:00,28.2489495682,49.356847675
 01/12  08:00:00,27.5706454569,57.8566937166
 01/12  09:00:00,20.676383812,49.6765414124
 01/12  10:00:00,20.7003636826,44.8014464835
 01/12  11:00:00,25.7498703164,47.8272036738
 01/12  12:00:00,26.8925219471,49.028007394300005
 01/12  13:00:00,26.003008286999997,41.9919324479
 01/12  14:00:00,25.8391562648,34.5121109911
 01/12  15:00:00,20.868412034400002,24.5808574271
 01/12  16:00:00,20.8093618695,26.3376018714
 01/12  17:00:00,20.6852741336,35.586035861599996
 01/12  18:00:00,27.563686265100003,43.8664427506
 01/12  19:00:00,28.1851799035,47.7974823451
 01/12  20:00:00,28.317658754,49.85461445479999
 01/12  21:00:00,23.3002275371,48.02159791060001
 01/12  22:00:00,23.2383621237,45.1067828566
 01/12  23:00:00,23.153894322,36.8796684606
 01/12  24:00:00,24.33154796,20.0260142913
 01/13  01:00:00,13.8773274689,25.947304240500003
 01/13  02:00:00,9.568491445580001,3.0211
 01/13  03:00:00,9.59897538973,3.59315387807
 01/13  04:00:00,9.61658118905,3.0211
 01/13  05:00:00,10.285533264,3.5931598104000004
 01/13  06:00:00,14.368430201099999,23.5665246227
 01/13  07:00:00,28.549533956999998,29.3737541142
 01/13  08:00:00,27.641110520199998,37.6834781878
 01/13  09:00:00,20.7501497047,31.0243041204
 01/13  10:00:00,20.774049116300002,27.6759890929
 01/13  11:00:00,25.784235796799997,42.565362128400004
 01/13  12:00:00,26.935247656999998,45.3633559752
 01/13  13:00:00,26.0597614846,40.050409327
 01/13  14:00:00,25.8251010611,35.7098491265
 01/13  15:00:00,20.8078706293,28.358897223099998
 01/13  16:00:00,20.774770126,31.197130488000003
 01/13  17:00:00,20.6794682926,36.9875164557
 01/13  18:00:00,27.577040034099998,40.248398944
 01/13  19:00:00,28.219624689699998,39.9940599849
 01/13  20:00:00,28.218102692,41.140000088600004
 01/13  21:00:00,23.210167322600004,38.183290484699995
 01/13  22:00:00,23.1767225801,36.5197294049
 01/13  23:00:00,23.1772567046,33.5184484849
 01/13  24:00:00,24.345607520700003,18.5029831681
 01/14  01:00:00,13.888162511600001,25.9549087423
 01/14  02:00:00,9.56695177408,3.0211
 01/14  03:00:00,9.599327113480001,3.5931691218800004
 01/14  04:00:00,9.61009607405,3.0211
 01/14  05:00:00,9.75325143739,3.0211
 01/14  06:00:00,13.8500633248,27.1910908939
 01/14  07:00:00,28.326033184699998,30.2434973514
 01/14  08:00:00,27.6382005419,37.8874714447
 01/14  09:00:00,20.7361797881,33.846264808499996
 01/14  10:00:00,20.7456277896,37.0727484119
 01/14  11:00:00,25.7460020036,51.2360236605
 01/14  12:00:00,26.8746923531,58.5616217517
 01/14  13:00:00,25.9596913309,55.055206130500004
 01/14  14:00:00,25.762478479000002,49.6583713011
 01/14  15:00:00,20.7593133504,41.3588261556
