Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,107.958264161,91.8067407598
 01/02  02:00:00,99.0487511129,79.5015996721
 01/02  03:00:00,117.52774085799999,100.173027
 01/02  04:00:00,101.906998216,81.315828197
 01/02  05:00:00,148.619534992,115.72409763299999
 01/02  06:00:00,175.222939946,178.096015797
 01/02  07:00:00,231.96498482799998,173.32165567599998
 01/02  08:00:00,248.853704578,155.129574158
 01/02  09:00:00,242.674637266,143.173031468
 01/02  10:00:00,246.251880655,135.993294894
 01/02  11:00:00,241.99569442900003,112.709315464
 01/02  12:00:00,241.307198925,113.690462435
 01/02  13:00:00,229.808388883,106.00889204
 01/02  14:00:00,240.584851883,98.4736550325
 01/02  15:00:00,240.646764607,103.143736904
 01/02  16:00:00,237.152356327,91.1203931196
 01/02  17:00:00,236.859535512,103.13685925700001
 01/02  18:00:00,249.98317869599998,100.081592267
 01/02  19:00:00,162.50906411,76.63468420390001
 01/02  20:00:00,163.517377143,81.39793363310001
 01/02  21:00:00,142.248784711,103.079826556
 01/02  22:00:00,116.167142301,83.0805754012
 01/02  23:00:00,93.388123875,73.9500727106
 01/02  24:00:00,107.385872455,94.2886767876
 01/03  01:00:00,98.50703223379999,76.7835411856
 01/03  02:00:00,112.849274293,97.6318355273
 01/03  03:00:00,103.38109716700001,79.3264953477
 01/03  04:00:00,115.901063207,100.57346882
 01/03  05:00:00,146.952070246,116.431194292
 01/03  06:00:00,174.902820916,177.12246117200002
 01/03  07:00:00,234.433287791,182.008356363
 01/03  08:00:00,250.54464973,161.764891904
 01/03  09:00:00,244.946663894,157.464477013
 01/03  10:00:00,252.520888592,134.767635052
 01/03  11:00:00,250.34817078900002,132.144952446
 01/03  12:00:00,246.458127481,113.38704951
 01/03  13:00:00,234.275865554,113.762675864
 01/03  14:00:00,245.432800375,97.6198031738
 01/03  15:00:00,245.507032172,102.154196951
 01/03  16:00:00,244.47866504400002,105.843326187
 01/03  17:00:00,246.12645337400002,103.231524506
 01/03  18:00:00,257.675918493,110.51580826
 01/03  19:00:00,166.855818944,88.221545406
 01/03  20:00:00,166.714544548,83.50924603760001
 01/03  21:00:00,144.05228928100001,97.8102812576
 01/03  22:00:00,123.26240927799999,86.15109859440001
 01/03  23:00:00,97.3202862543,76.4526795428
 01/03  24:00:00,118.70185390000002,104.365747699
 01/04  01:00:00,103.20392772299999,86.27934955129999
 01/04  02:00:00,121.97122174799999,104.077407813
 01/04  03:00:00,104.642095093,81.9395450401
 01/04  04:00:00,124.80662322799999,102.90683072200001
 01/04  05:00:00,147.666440196,117.94074052399999
 01/04  06:00:00,190.713287142,178.160690269
 01/04  07:00:00,239.0778409,185.217994095
 01/04  08:00:00,254.964411601,168.059786916
 01/04  09:00:00,248.998132097,161.99129208600002
 01/04  10:00:00,253.49349208,135.82796479299998
 01/04  11:00:00,250.003069201,132.14509336
 01/04  12:00:00,248.303766574,122.32298645
 01/04  13:00:00,235.974528052,100.992460694
 01/04  14:00:00,245.445439693,101.870990604
