Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,728.528221205,564.406756712
 01/01  02:00:00,763.185455852,572.9900360080001
 01/01  03:00:00,771.7082827160001,576.6012925040001
 01/01  04:00:00,746.987867531,583.854236071
 01/01  05:00:00,740.1009807060001,577.399772105
 01/01  06:00:00,734.079140945,589.162472927
 01/01  07:00:00,808.818358535,535.078545921
 01/01  08:00:00,808.2311047860001,526.705618089
 01/01  09:00:00,899.990731255,498.44594503300004
 01/01  10:00:00,907.671121385,467.424125377
 01/01  11:00:00,940.677597687,492.705982266
 01/01  12:00:00,952.6815618439999,475.96581945
 01/01  13:00:00,953.020880413,492.04086885099997
 01/01  14:00:00,949.177656402,472.24166220800004
 01/01  15:00:00,950.95411929,453.95816587699994
 01/01  16:00:00,952.182801427,477.608292698
 01/01  17:00:00,914.583441521,512.338169252
 01/01  18:00:00,845.8214347239999,536.400193332
 01/01  19:00:00,814.043603119,561.978502164
 01/01  20:00:00,806.649622562,540.529061249
 01/01  21:00:00,763.399650719,579.3995692000001
 01/01  22:00:00,741.067026017,569.705778093
 01/01  23:00:00,723.536261973,585.9576029680001
 01/01  24:00:00,712.33844316,592.22242925
 01/02  01:00:00,700.5567070110001,596.601314751
 01/02  02:00:00,706.656801257,585.769878406
 01/02  03:00:00,707.442111305,588.255165567
 01/02  04:00:00,699.284652786,604.2917363480001
 01/02  05:00:00,783.396391407,569.514539152
 01/02  06:00:00,783.70463722,1209.8135397
 01/02  07:00:00,1015.78256881,724.0471283080001
 01/02  08:00:00,1127.65915221,649.63954098
 01/02  09:00:00,1176.31133083,625.6855203590001
 01/02  10:00:00,1221.78327875,590.92464764
 01/02  11:00:00,1239.64227255,594.6772918830001
 01/02  12:00:00,1254.62646943,581.207879836
 01/02  13:00:00,1226.46984023,545.415916674
 01/02  14:00:00,1266.10219953,538.9368566219999
 01/02  15:00:00,1273.65898974,506.68872004300005
 01/02  16:00:00,1269.53368031,510.707955985
 01/02  17:00:00,1276.8855099000002,535.964865955
 01/02  18:00:00,1262.44604723,507.897512785
 01/02  19:00:00,989.3625354039999,479.476046573
 01/02  20:00:00,962.1057323010001,449.734366409
 01/02  21:00:00,812.6414361430001,503.90967655699995
 01/02  22:00:00,762.046662338,507.419906059
 01/02  23:00:00,707.7411185560001,499.69540256199997
 01/02  24:00:00,718.3019693,489.107014882
 01/03  01:00:00,691.81760905,502.364647656
 01/03  02:00:00,679.136490831,531.226686227
 01/03  03:00:00,669.1084083530001,545.3894480280001
 01/03  04:00:00,662.125388659,562.6701910769999
 01/03  05:00:00,754.2430030889999,527.349855461
 01/03  06:00:00,757.8230302999999,922.774990079
 01/03  07:00:00,986.1262641330001,596.16694995
 01/03  08:00:00,1094.7876118,546.9553190419999
 01/03  09:00:00,1149.8722244,520.389895793
 01/03  10:00:00,1285.90036696,481.833827032
 01/03  11:00:00,1331.54024111,477.41873928900003
 01/03  12:00:00,1343.56906956,465.33602157800004
 01/03  13:00:00,1306.79587022,434.963662288
 01/03  14:00:00,1342.27148783,421.06620414900004
 01/03  15:00:00,1338.97879654,394.99950616300004
 01/03  16:00:00,1336.03241441,414.915231981
 01/03  17:00:00,1352.70024524,452.427222409
 01/03  18:00:00,1355.08167483,433.567259449
 01/03  19:00:00,1082.19732154,436.654808865
 01/03  20:00:00,1069.79734849,407.96529259199997
 01/03  21:00:00,932.249244233,456.040296993
 01/03  22:00:00,888.6644591439999,443.01712478300004
 01/03  23:00:00,815.9862655239999,448.24601267699995
 01/03  24:00:00,786.9354550639999,435.30149944699997
 01/04  01:00:00,740.51421104,444.34924374199994
 01/04  02:00:00,730.6167852560001,448.697996392
 01/04  03:00:00,761.15779923,450.627323943
 01/04  04:00:00,781.8557474439999,452.972509502
 01/04  05:00:00,873.917406619,434.191107089
 01/04  06:00:00,860.164362231,756.376623377
 01/04  07:00:00,1060.74784503,518.8875319069999
 01/04  08:00:00,1150.5879734999999,485.95690346599997
 01/04  09:00:00,1209.97985631,471.204254105
 01/04  10:00:00,1262.88962576,461.111888821
 01/04  11:00:00,1279.30583973,467.838525279
 01/04  12:00:00,1297.85083461,462.619404596
 01/04  13:00:00,1276.69219818,448.01942256300003
 01/04  14:00:00,1315.1067805,411.176355661
 01/04  15:00:00,1291.15485635,391.66752609800005
 01/04  16:00:00,1269.07884127,425.54645631
 01/04  17:00:00,1283.4318571,449.43255284699995
 01/04  18:00:00,1282.90451216,442.229043164
 01/04  19:00:00,997.569441613,440.093583779
 01/04  20:00:00,980.917346131,417.48774601199995
 01/04  21:00:00,844.3032965130001,465.19637088300004
 01/04  22:00:00,789.657307336,455.97720829900004
 01/04  23:00:00,723.5865358919999,463.530657045
 01/04  24:00:00,729.756428087,453.301344525
 01/05  01:00:00,704.329254528,462.377178792
 01/05  02:00:00,685.671606344,489.94579335099996
 01/05  03:00:00,679.7596949030001,504.291970027
 01/05  04:00:00,667.952162791,527.195567057
 01/05  05:00:00,737.2931054969999,539.191635133
 01/05  06:00:00,737.1536679860001,820.147273824
 01/05  07:00:00,966.141618592,569.795989571
 01/05  08:00:00,1094.76746698,512.130555081
 01/05  09:00:00,1169.99813026,476.84848847
 01/05  10:00:00,1236.85692533,443.888693005
 01/05  11:00:00,1275.46609588,467.74645398
 01/05  12:00:00,1298.21774349,450.10547249900003
 01/05  13:00:00,1261.10223941,446.092844911
 01/05  14:00:00,1289.92832072,433.25976552199995
 01/05  15:00:00,1277.54469228,406.288319489
 01/05  16:00:00,1257.85498952,409.985888032
 01/05  17:00:00,1249.62364272,448.56792056
 01/05  18:00:00,1227.77251927,450.53830974
 01/05  19:00:00,936.355922316,475.19765704199995
 01/05  20:00:00,909.2403377160001,495.91722599300005
 01/05  21:00:00,758.9125815,561.578618262
 01/05  22:00:00,710.414699188,575.999937751
 01/05  23:00:00,639.897368184,588.314451111
 01/05  24:00:00,644.257386352,567.289851806
 01/06  01:00:00,625.671938235,582.9734958390001
 01/06  02:00:00,635.747611402,566.360354156
 01/06  03:00:00,621.135662872,616.2614974740001
 01/06  04:00:00,608.899234572,647.81317396
 01/06  05:00:00,704.4734794760001,600.894637288
 01/06  06:00:00,717.997720495,856.272972735
 01/06  07:00:00,944.114944411,590.639721869
 01/06  08:00:00,1062.91001961,529.6351125030001
 01/06  09:00:00,1141.20605225,481.984863025
 01/06  10:00:00,1198.35264203,456.606453695
 01/06  11:00:00,1224.00252338,465.815048488
 01/06  12:00:00,1246.96539537,455.969796619
 01/06  13:00:00,1219.84211662,433.996846061
 01/06  14:00:00,1260.03848628,422.55899671599997
 01/06  15:00:00,1261.63731406,383.14514728
 01/06  16:00:00,1260.09763281,393.260117999
 01/06  17:00:00,1255.14089917,447.35535356199995
 01/06  18:00:00,1250.06496519,434.791400478
