Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,4.2280187684,0.02
 01/01  02:00:00,4.444693860819999,0.527306284432
 01/01  03:00:00,4.444693860819999,0.052650417146500005
 01/01  04:00:00,4.444693860819999,0.49056817421000004
 01/01  05:00:00,4.444693860819999,0.490889122736
 01/01  06:00:00,4.51691889162,0.0664175511935
 01/01  07:00:00,4.58545407639,0.573524971742
 01/01  08:00:00,3.46441485015,0.536507495177
 01/01  09:00:00,1.9250187684,0.02
 01/01  10:00:00,1.9250187684,0.453087362752
 01/01  11:00:00,1.9250187684,0.45308483783200004
 01/01  12:00:00,1.9250187684,0.02
 01/01  13:00:00,1.9250187684,0.45307775587899995
 01/01  14:00:00,1.9250187684,0.453072466471
 01/01  15:00:00,1.9250187684,0.02
 01/01  16:00:00,1.9250187684,0.453086584936
 01/01  17:00:00,2.3088521017400003,0.453081327857
 01/01  18:00:00,4.2280187684,0.02
 01/01  19:00:00,4.2280187684,0.453081475988
 01/01  20:00:00,4.2280187684,0.453068878037
 01/01  21:00:00,4.2280187684,0.02
 01/01  22:00:00,4.2280187684,0.453066866246
 01/01  23:00:00,4.2280187684,0.45305860046199997
 01/01  24:00:00,4.2280187684,0.02
 01/02  01:00:00,4.7780241307999995,0.453086169239
 01/02  02:00:00,4.7780241307999995,0.02
 01/02  03:00:00,4.7780241307999995,0.453081109893
 01/02  04:00:00,4.7780241307999995,0.4530760413
 01/02  05:00:00,4.7780241307999995,0.02
 01/02  06:00:00,5.053026812,0.45307422417099996
 01/02  07:00:00,7.24886424488,18.6069000509
 01/02  08:00:00,7.19737496968,17.4147385793
 01/02  09:00:00,12.0959339561,9.06002956385
 01/02  10:00:00,12.0959339561,6.79487614091
 01/02  11:00:00,12.0959339561,5.34632070833
 01/02  12:00:00,12.0959339561,4.1855563855
 01/02  13:00:00,11.5459285937,4.17419782438
 01/02  14:00:00,12.0959339561,2.39980997893
 01/02  15:00:00,12.0959339561,2.53480198316
 01/02  16:00:00,12.0959339561,1.48117372535
 01/02  17:00:00,12.4797672894,1.4024900045299997
 01/02  18:00:00,9.998891056880002,4.89337934746
 01/02  19:00:00,8.34887496968,6.78032641918
 01/02  20:00:00,8.34887496968,7.859154889249999
 01/02  21:00:00,7.79886960728,8.2913358871
 01/02  22:00:00,7.79886960728,8.46110167607
 01/02  23:00:00,5.053026812,0.02
 01/02  24:00:00,4.7780241307999995,0.453061810173
 01/03  01:00:00,4.7780241307999995,0.453056771549
 01/03  02:00:00,4.7780241307999995,0.02
 01/03  03:00:00,4.7780241307999995,0.45308742363300003
 01/03  04:00:00,4.7780241307999995,0.453082421774
 01/03  05:00:00,4.7780241307999995,0.02
 01/03  06:00:00,5.053026812,0.453084325574
 01/03  07:00:00,7.24886424488,12.4687808855
 01/03  08:00:00,7.19737496968,13.4037222554
 01/03  09:00:00,12.0959339561,4.47404736074
 01/03  10:00:00,12.0978139692,1.50442384325
 01/03  11:00:00,12.098251118699999,0.633076233158
 01/03  12:00:00,12.2284783826,0.453170039297
 01/03  13:00:00,11.7287775154,0.453201978859
 01/03  14:00:00,12.26702129,0.45314802331200005
 01/03  15:00:00,12.1600345427,0.453166590031
 01/03  16:00:00,12.1261899423,0.45313714912
 01/03  17:00:00,12.4939558377,0.886316687769
 01/03  18:00:00,9.998891056880002,0.559909215123
 01/03  19:00:00,8.34887496968,0.08551022497619999
 01/03  20:00:00,8.34887496968,0.453078737428
 01/03  21:00:00,7.79886960728,0.463825856814
 01/03  22:00:00,7.79886960728,0.507625863002
 01/03  23:00:00,5.053026812,0.02
 01/03  24:00:00,4.7780241307999995,0.45307233441399997
 01/04  01:00:00,4.7780241307999995,0.453067364159
 01/04  02:00:00,4.7780241307999995,0.02
 01/04  03:00:00,4.7780241307999995,0.453062408383
 01/04  04:00:00,4.7780241307999995,0.453057452652
 01/04  05:00:00,4.7780241307999995,0.02
 01/04  06:00:00,5.053026812,0.453059311181
 01/04  07:00:00,7.273804621760001,1.2217940716700002
 01/04  08:00:00,7.19737496968,2.74296940295
 01/04  09:00:00,12.116357741,0.46414421071999995
 01/04  10:00:00,12.0988551315,0.886310922011
 01/04  11:00:00,12.233587431099998,0.45315888671599996
