Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,149.085291304,208.915471473
 01/01  02:00:00,163.567113419,152.829081436
 01/01  03:00:00,151.056608325,149.774271822
 01/01  04:00:00,151.493499459,146.973978977
 01/01  05:00:00,156.008283772,178.739828222
 01/01  06:00:00,170.36485304200002,210.863376974
 01/01  07:00:00,304.664699191,289.436587034
 01/01  08:00:00,338.954022684,477.00086523
 01/01  09:00:00,405.96722124,657.374538529
 01/01  10:00:00,354.57220153800006,504.439225774
 01/01  11:00:00,316.792610135,408.02333870800004
 01/01  12:00:00,312.053044285,340.69831617
 01/01  13:00:00,310.920693865,271.95357129900003
 01/01  14:00:00,292.40675424200003,264.059107562
 01/01  15:00:00,292.475093712,248.39893216099998
 01/01  16:00:00,292.49372585599997,258.399343475
 01/01  17:00:00,325.931168847,239.17214343
 01/01  18:00:00,363.834327757,238.025290447
 01/01  19:00:00,398.40084708800003,293.48008886900004
 01/01  20:00:00,409.820666217,360.089492548
 01/01  21:00:00,437.436161738,371.46657076099996
 01/01  22:00:00,407.11600724,418.705915211
 01/01  23:00:00,347.366243176,572.0934026880001
 01/01  24:00:00,258.54767460200003,394.15467352699994
 01/02  01:00:00,136.037580531,225.212176396
 01/02  02:00:00,140.566696105,164.503230776
 01/02  03:00:00,138.257939951,154.245001652
 01/02  04:00:00,140.11640655899998,142.19820189700002
 01/02  05:00:00,149.492939094,173.565606559
 01/02  06:00:00,196.442097467,279.348929634
 01/02  07:00:00,353.11870728300005,453.954573144
 01/02  08:00:00,395.701751648,651.086980165
 01/02  09:00:00,357.81144595300003,513.7912745919999
 01/02  10:00:00,335.136023604,436.829366405
 01/02  11:00:00,288.166437778,391.823087546
 01/02  12:00:00,292.551121095,301.01210844599996
 01/02  13:00:00,288.717692172,287.97036194599997
 01/02  14:00:00,252.249627922,293.11726095299997
 01/02  15:00:00,249.24440976900001,302.872603727
 01/02  16:00:00,255.831516058,299.237963236
 01/02  17:00:00,279.181777341,291.70199488599997
 01/02  18:00:00,321.558466786,322.408908467
 01/02  19:00:00,390.84288182800003,503.15162987699995
 01/02  20:00:00,401.087810653,389.74901075599996
 01/02  21:00:00,430.75874277300005,408.349394475
 01/02  22:00:00,419.411507095,548.273394254
 01/02  23:00:00,333.74062988599997,468.5661003000001
 01/02  24:00:00,239.492709385,329.504265524
 01/03  01:00:00,132.905626423,216.68727602299998
 01/03  02:00:00,137.194471341,165.769021496
 01/03  03:00:00,134.55034896200002,148.42392029799998
 01/03  04:00:00,137.954134013,144.186377276
 01/03  05:00:00,148.883819147,170.510455638
 01/03  06:00:00,209.632563725,271.360404462
 01/03  07:00:00,333.527287855,453.38330774699995
 01/03  08:00:00,410.726629791,600.539331133
 01/03  09:00:00,358.973405606,473.017272534
 01/03  10:00:00,347.69831112400004,394.975161626
 01/03  11:00:00,301.432209022,340.701018188
 01/03  12:00:00,300.371117401,271.287195997
 01/03  13:00:00,299.018030535,267.311514319
 01/03  14:00:00,289.283770485,263.558920805
 01/03  15:00:00,290.444877805,249.620673013
 01/03  16:00:00,290.96328816700003,262.344740558
 01/03  17:00:00,323.88678228599997,231.73946616799998
 01/03  18:00:00,373.566271334,267.715710948
 01/03  19:00:00,426.42157295199996,439.619374653
 01/03  20:00:00,433.36197031,318.330819051
 01/03  21:00:00,458.25885132800005,317.349016086
 01/03  22:00:00,433.391215302,445.688742802
 01/03  23:00:00,369.652580734,342.512108001
 01/03  24:00:00,304.27237254700003,188.859043662
 01/04  01:00:00,142.21655024700001,141.706106611
 01/04  02:00:00,151.27812961700002,111.267003959
 01/04  03:00:00,178.41379171900002,104.94311386
 01/04  04:00:00,160.01158118799998,111.29511026600001
 01/04  05:00:00,146.14457075200002,141.709189826
 01/04  06:00:00,212.30688373099997,253.002113304
 01/04  07:00:00,349.94514579,434.27743945699996
 01/04  08:00:00,424.901357571,584.514174551
 01/04  09:00:00,378.331738331,460.34939433
 01/04  10:00:00,350.44847718,392.59247812800004
 01/04  11:00:00,299.975121015,337.77619743099996
 01/04  12:00:00,298.294207027,273.978936474
 01/04  13:00:00,297.426736243,273.627248364
 01/04  14:00:00,287.107087428,265.01544032099997
 01/04  15:00:00,287.732901124,249.44506261799998
 01/04  16:00:00,287.837539787,264.582976045
 01/04  17:00:00,321.184382466,232.76828957700002
 01/04  18:00:00,371.619083524,269.77604818099996
 01/04  19:00:00,424.252623103,441.28053499099997
 01/04  20:00:00,432.276232926,322.298413912
 01/04  21:00:00,453.574590649,352.274238166
 01/04  22:00:00,429.400002468,542.932126343
 01/04  23:00:00,352.060217655,467.29060677300004
 01/04  24:00:00,253.101474117,307.33160285400004
 01/05  01:00:00,137.04879363700002,234.614772636
 01/05  02:00:00,144.166682129,171.361940266
 01/05  03:00:00,154.555497896,163.403649909
 01/05  04:00:00,155.97425788,146.75551092700002
 01/05  05:00:00,186.79931633099997,177.45886612900003
 01/05  06:00:00,153.385617134,282.96048366900004
 01/05  07:00:00,349.58996716400003,460.311438581
 01/05  08:00:00,402.714753695,638.050327465
 01/05  09:00:00,364.724123339,491.642052598
 01/05  10:00:00,349.816871666,390.62851459300003
 01/05  11:00:00,299.245928597,337.768356125
 01/05  12:00:00,299.909648512,274.966325349
 01/05  13:00:00,281.20117478099996,283.104265737
 01/05  14:00:00,246.69862484799998,313.136314857
 01/05  15:00:00,251.866800665,315.975410067
 01/05  16:00:00,245.956679045,349.355239148
 01/05  17:00:00,264.678492479,341.754729178
 01/05  18:00:00,312.230170176,360.543541275
 01/05  19:00:00,384.545069431,533.600904024
 01/05  20:00:00,396.46665253199996,425.51193920300005
 01/05  21:00:00,427.707139514,416.863142112
 01/05  22:00:00,417.602977366,544.7330873330001
 01/05  23:00:00,335.529086958,441.640293395
 01/05  24:00:00,240.445134402,292.10084689400003
 01/06  01:00:00,133.067936073,227.484734038
 01/06  02:00:00,137.827923211,161.70242535
 01/06  03:00:00,136.105808552,154.5679802
 01/06  04:00:00,139.394312652,141.020283452
 01/06  05:00:00,194.340974582,178.29166656099997
 01/06  06:00:00,153.525958494,265.034455228
 01/06  07:00:00,349.793025374,442.244947973
 01/06  08:00:00,428.43814809699995,588.038355869
 01/06  09:00:00,379.933371051,466.693018085
 01/06  10:00:00,349.072440729,389.358190289
 01/06  11:00:00,298.173374281,340.901096012
 01/06  12:00:00,298.26021284,273.503729967
 01/06  13:00:00,298.00605355,273.665024186
 01/06  14:00:00,287.763076445,261.38086144
 01/06  15:00:00,288.338499701,252.14714900099997
 01/06  16:00:00,289.419444276,264.960108086
 01/06  17:00:00,322.72952908599996,232.42656130900002
 01/06  18:00:00,371.69298565199995,268.784037233
 01/06  19:00:00,423.89536165199996,441.639303536
 01/06  20:00:00,430.593621684,319.335734191
 01/06  21:00:00,456.098246284,320.426848027
 01/06  22:00:00,431.363168122,451.037635955
 01/06  23:00:00,365.858206385,334.820779969
 01/06  24:00:00,300.013463864,196.146344569
 01/07  01:00:00,205.989614238,141.841436824
 01/07  02:00:00,157.03429345200001,111.329337236
 01/07  03:00:00,189.86630956599998,105.010228661
 01/07  04:00:00,136.349066083,111.386749511
 01/07  05:00:00,164.943569241,148.28242532299998
 01/07  06:00:00,194.0042129,241.50888999
 01/07  07:00:00,305.625122035,335.337216232
 01/07  08:00:00,333.110482525,527.571588626
 01/07  09:00:00,408.41030849199996,703.903873158
 01/07  10:00:00,360.87608903,562.0358495190001
 01/07  11:00:00,282.699173688,479.539355985
 01/07  12:00:00,294.483567279,419.801336424
 01/07  13:00:00,297.101191175,362.10646062800004
 01/07  14:00:00,282.329203542,347.890579829
