Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,38.2583288844,24.2418928911
 01/01  02:00:00,38.105700726500004,28.102194623699997
 01/01  03:00:00,33.0388873377,28.6572217271
 01/01  04:00:00,32.847166239699995,23.4709700737
 01/01  05:00:00,34.343880519,29.1227765666
 01/01  06:00:00,38.430204249,27.9519690162
 01/01  07:00:00,58.985466287200005,32.3551300544
 01/01  08:00:00,73.2324702598,29.941536863400003
 01/01  09:00:00,96.6368644422,53.5503169354
 01/01  10:00:00,82.9756862852,57.2146348942
 01/01  11:00:00,57.763857476800005,56.141048909
 01/01  12:00:00,55.8736462179,48.0882698531
 01/01  13:00:00,56.564451992600006,46.9193061567
 01/01  14:00:00,56.7497802913,43.3763606904
 01/01  15:00:00,56.799762538500005,37.142454168200004
 01/01  16:00:00,56.620829323900004,43.9846187321
 01/01  17:00:00,59.571839456199996,27.668049176599997
 01/01  18:00:00,73.85014531770001,13.2692276022
 01/01  19:00:00,88.7931342022,24.575829433800003
 01/01  20:00:00,89.5676062693,21.5916988971
 01/01  21:00:00,95.7113323433,30.9442588521
 01/01  22:00:00,92.9371406852,33.7090158415
 01/01  23:00:00,69.046636939,36.4944792027
 01/01  24:00:00,44.6394406198,38.8881159178
 01/02  01:00:00,36.6137572873,29.1403671042
 01/02  02:00:00,34.653538773499996,36.2056362918
 01/02  03:00:00,32.5536416265,37.2856657673
 01/02  04:00:00,32.4761779219,39.0019666242
 01/02  05:00:00,34.168150857,35.5133340165
 01/02  06:00:00,42.2844344611,48.5035905497
 01/02  07:00:00,72.9522163279,49.480937001099996
 01/02  08:00:00,89.0243529027,57.853192631899994
 01/02  09:00:00,72.8581893039,55.3187169201
 01/02  10:00:00,69.7971364424,71.09182932479999
 01/02  11:00:00,52.49825863939999,64.1773751134
 01/02  12:00:00,52.347129076499996,62.9455878976
 01/02  13:00:00,51.8661963906,60.184085548
 01/02  14:00:00,51.68794162020001,58.67663445270001
 01/02  15:00:00,51.370672194499996,52.2785135583
 01/02  16:00:00,50.9086089024,58.965054583900006
 01/02  17:00:00,54.5342835978,41.1252119647
 01/02  18:00:00,73.32861099600001,29.0176870231
 01/02  19:00:00,80.5032220847,32.2936418376
 01/02  20:00:00,83.4370326694,33.2812759917
