Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,55.403338596000005,3.22568
 01/01  02:00:00,55.379851337299996,3.22568
 01/01  03:00:00,55.3952932495,6.08861979791
 01/01  04:00:00,55.3950725456,3.22568
 01/01  05:00:00,55.607987344399994,6.08854766898
 01/01  06:00:00,55.59009164810001,3.22568
 01/01  07:00:00,55.5976875431,3.22568
 01/01  08:00:00,52.680038325299996,6.0886357784300005
 01/01  09:00:00,46.973538552,3.22568
 01/01  10:00:00,47.0041433345,6.09027266952
 01/01  11:00:00,47.0351753174,6.09015102176
 01/01  12:00:00,47.760542654300004,3.22568
 01/01  13:00:00,47.100329451899995,6.0902748526499995
 01/01  14:00:00,47.1764275884,6.090151998990001
 01/01  15:00:00,47.218371824399995,3.22568
 01/01  16:00:00,47.190994974,3.22568
 01/01  17:00:00,47.06785757390001,6.088558964830001
 01/01  18:00:00,54.1807528905,3.22568
 01/01  19:00:00,55.5724589459,6.08864707329
 01/01  20:00:00,55.76900186979999,3.22568
 01/01  21:00:00,55.741552682700004,6.0885749563
 01/01  22:00:00,55.6130150543,3.22568
 01/01  23:00:00,55.4505921878,3.22568
 01/01  24:00:00,56.1581192165,6.0886630274
 01/02  01:00:00,55.4387504617,3.22568
 01/02  02:00:00,55.4259469955,6.090144189889999
 01/02  03:00:00,55.4187670525,6.09027085005
 01/02  04:00:00,55.422217189099996,3.22568
 01/02  05:00:00,55.6265380067,6.09015281888
 01/02  06:00:00,55.601721822600005,6.09027929876
 01/02  07:00:00,65.6823338044,360.44151666199997
 01/02  08:00:00,127.32842253,334.72576142099996
 01/02  09:00:00,166.76417939700002,238.762258737
 01/02  10:00:00,166.110288376,135.09656041
 01/02  11:00:00,172.688220283,78.1281905707
 01/02  12:00:00,185.23844713900002,55.4500173225
 01/02  13:00:00,192.59458193700002,58.4258285466
 01/02  14:00:00,196.934003047,42.4587590378
 01/02  15:00:00,203.07699429099998,33.5147355092
 01/02  16:00:00,200.712708691,23.6513795116
 01/02  17:00:00,183.952108961,6.31659834426
 01/02  18:00:00,138.479229109,14.1887287754
 01/02  19:00:00,135.28495081100002,21.498126943400003
 01/02  20:00:00,132.111235699,26.8585259631
 01/02  21:00:00,131.111275233,31.6841021131
 01/02  22:00:00,55.6764430727,8.98266500835
 01/02  23:00:00,55.5197828815,8.966170081489999
 01/02  24:00:00,56.2521170714,6.093700485019999
 01/03  01:00:00,55.52308950689999,3.22568
 01/03  02:00:00,55.5072950899,6.09029011054
 01/03  03:00:00,55.49549668109999,6.090175584319999
 01/03  04:00:00,55.4826963867,3.22568
 01/03  05:00:00,56.5394811609,6.09030589643
 01/03  06:00:00,56.3671959396,6.0901911839
 01/03  07:00:00,65.16746034810001,247.266959267
 01/03  08:00:00,126.586519566,201.42910296099998
 01/03  09:00:00,166.011380696,146.754973005
 01/03  10:00:00,165.972912044,102.915148321
 01/03  11:00:00,177.263568043,67.9744057709
 01/03  12:00:00,192.07237731900003,52.5428980942
 01/03  13:00:00,199.015326304,58.426173508199994
 01/03  14:00:00,196.34914726099998,42.4510020748
 01/03  15:00:00,197.161794549,33.5608557942
 01/03  16:00:00,194.213379828,23.6920307452
 01/03  17:00:00,183.165760848,6.631021602710001
 01/03  18:00:00,141.166390393,11.3757543962
 01/03  19:00:00,141.132718713,13.7923203821
 01/03  20:00:00,140.972529537,17.0973549265
 01/03  21:00:00,142.34668964,12.6710298173
 01/03  22:00:00,55.6139753928,11.8619365651
 01/03  23:00:00,55.647889363400004,6.096291065319999
 01/03  24:00:00,56.380365091499996,6.09373680901
 01/04  01:00:00,55.6724530478,6.09024602482
 01/04  02:00:00,55.67001405560001,3.22568
 01/04  03:00:00,55.665580006899994,6.090380088740001
 01/04  04:00:00,55.6618625036,6.0902687035800005
 01/04  05:00:00,55.9058615963,3.22568
 01/04  06:00:00,55.887519930799996,6.090157344880001
 01/04  07:00:00,75.0869912328,32.0505808696
 01/04  08:00:00,135.91994171,23.8352171383
 01/04  09:00:00,175.519828292,40.152072178699996
 01/04  10:00:00,177.386660061,51.307218554799995
 01/04  11:00:00,177.40863100599998,65.2217798618
 01/04  12:00:00,173.53455431900002,57.8424613144
 01/04  13:00:00,170.703762365,75.2576089486
 01/04  14:00:00,166.637071497,109.146978457
 01/04  15:00:00,166.671454,100.02478053
 01/04  16:00:00,164.633893335,82.5264447536
 01/04  17:00:00,163.851216128,78.6484695239
 01/04  18:00:00,127.75390081,113.030218789
 01/04  19:00:00,129.197005469,123.501772663
 01/04  20:00:00,129.50093405799998,159.14026965899998
 01/04  21:00:00,129.801178052,205.90521667599998
 01/04  22:00:00,55.515497513599996,11.8624996681
 01/04  23:00:00,55.397435757,6.095942943
 01/04  24:00:00,56.180268293500006,6.093642482740001
 01/05  01:00:00,55.4152187122,6.090240360619999
 01/05  02:00:00,55.4136524865,6.09037806031
 01/05  03:00:00,55.4062571117,3.22568
 01/05  04:00:00,55.3987472873,6.09026992472
 01/05  05:00:00,55.606613744099995,4.4371960473500005
 01/05  06:00:00,55.5866201041,4.8782098847199995
 01/05  07:00:00,65.7546644832,485.244725642
 01/05  08:00:00,127.344048445,411.957530856
 01/05  09:00:00,166.77896582399998,331.348289145
 01/05  10:00:00,166.783830163,289.059455689
 01/05  11:00:00,170.783088445,282.946262866
 01/05  12:00:00,171.54354552,258.954791152
 01/05  13:00:00,170.775037775,246.43865553700002
 01/05  14:00:00,166.78915301,226.744150578
 01/05  15:00:00,167.04309512,208.037473744
 01/05  16:00:00,165.17410437,199.198929766
 01/05  17:00:00,164.649629173,177.87234462900003
 01/05  18:00:00,128.53046772,206.817227358
 01/05  19:00:00,129.983806805,258.514304622
 01/05  20:00:00,130.219182241,296.185978043
 01/05  21:00:00,130.219479592,324.14616929
 01/05  22:00:00,55.4439772125,8.98384639117
 01/05  23:00:00,55.3400250679,8.966531885830001
 01/05  24:00:00,56.1406601014,6.09361530135
 01/06  01:00:00,56.6626430896,3.50506597023
 01/06  02:00:00,61.5033242084,7.6492482847300005
 01/06  03:00:00,60.07247217649999,7.868369848239999
 01/06  04:00:00,61.04116486270001,6.2774053620700005
 01/06  05:00:00,61.1909736007,15.7247186437
 01/06  06:00:00,63.489595881999996,35.8205496564
 01/06  07:00:00,66.60655794739999,659.59776294
 01/06  08:00:00,127.540171444,504.150914788
 01/06  09:00:00,166.823205666,390.02949423
 01/06  10:00:00,166.791976364,295.420810523
 01/06  11:00:00,170.79147984,244.148575901
 01/06  12:00:00,171.651385834,193.52977236700002
 01/06  13:00:00,171.182891996,153.928937523
 01/06  14:00:00,167.508802785,125.026121269
 01/06  15:00:00,167.8423116,107.05011109200001
 01/06  16:00:00,165.853331314,110.17775994
 01/06  17:00:00,164.203934435,98.7531493502
 01/06  18:00:00,128.00881328,175.70535876
 01/06  19:00:00,129.969405018,207.28683611
 01/06  20:00:00,129.972070026,226.53300656099998
 01/06  21:00:00,129.98816102,259.053007573
 01/06  22:00:00,55.3031029398,11.8630322757
 01/06  23:00:00,55.35328758399999,6.09595451406
 01/06  24:00:00,56.1516634148,6.093653539380001
 01/07  01:00:00,55.3818486208,6.08862098291
 01/07  02:00:00,58.7822099836,3.75751957695
 01/07  03:00:00,60.284596720799996,7.2932120017
 01/07  04:00:00,61.2184650072,5.339743861600001
 01/07  05:00:00,60.128114853999996,5.74373736345
 01/07  06:00:00,61.990748595,22.0360674808
 01/07  07:00:00,61.2423551625,26.424018470500002
 01/07  08:00:00,58.5976352394,17.3246463887
 01/07  09:00:00,51.447748882,6.556417218430001
 01/07  10:00:00,52.432746047399995,8.05372331888
 01/07  11:00:00,46.986733989499996,3.22568
 01/07  12:00:00,47.701630246,6.090346269330001
 01/07  13:00:00,46.9971098855,6.09024422663
 01/07  14:00:00,47.039378929399994,3.22568
 01/07  15:00:00,47.059644516599995,3.22568
 01/07  16:00:00,47.048760584700005,6.08865349681
 01/07  17:00:00,46.942393698100005,3.22568
 01/07  18:00:00,54.071581873,6.088680880619999
 01/07  19:00:00,55.4841307222,3.22568
 01/07  20:00:00,55.6848850868,6.08870736018
 01/07  21:00:00,55.6628086319,3.22568
 01/07  22:00:00,55.5312479096,3.22568
 01/07  23:00:00,55.3648491811,6.088653519709999
 01/07  24:00:00,56.7763774241,3.41573335982
 01/08  01:00:00,60.4232638913,7.5514523849
 01/08  02:00:00,60.6369316552,5.94933161733
 01/08  03:00:00,60.8926499845,10.2086785896
 01/08  04:00:00,62.0175533345,39.6241173058
 01/08  05:00:00,62.3600982249,43.09604117520001
 01/08  06:00:00,62.056911673,49.853681031099995
 01/08  07:00:00,63.504343633199994,69.4608438197
 01/08  08:00:00,59.664382692299995,59.7031120191
 01/08  09:00:00,52.80609193390001,34.6985778224
 01/08  10:00:00,51.8564212474,15.4441576504
 01/08  11:00:00,50.8191512121,10.3532686184
 01/08  12:00:00,48.4159575916,3.7166502585300005
 01/08  13:00:00,46.97383172520001,6.09034396412
 01/08  14:00:00,47.027591693299996,3.22568
 01/08  15:00:00,47.0468753908,6.08869946327
 01/08  16:00:00,47.0330227313,3.22568
 01/08  17:00:00,46.929827144300006,6.08864843684
 01/08  18:00:00,54.060164962799995,3.22568
 01/08  19:00:00,55.4794912208,6.0885974247000005
 01/08  20:00:00,55.6858894562,3.22568
 01/08  21:00:00,55.6653395058,3.22568
 01/08  22:00:00,55.5495446631,6.088708116219999
 01/08  23:00:00,55.39312085,3.22568
 01/08  24:00:00,56.1126887097,6.08865706663
 01/09  01:00:00,56.621173605100005,4.163911306419999
 01/09  02:00:00,61.303887898599996,11.0179934809
 01/09  03:00:00,59.944898079,11.923574770799998
 01/09  04:00:00,60.966844823900004,11.95528636
 01/09  05:00:00,60.016126493,14.0774109105
 01/09  06:00:00,61.0910106116,14.1506718093
 01/09  07:00:00,66.1015874616,661.501196671
 01/09  08:00:00,127.417280834,384.186735159
 01/09  09:00:00,166.817065666,305.72866486099997
 01/09  10:00:00,166.820537736,274.319477455
 01/09  11:00:00,170.820302595,258.095634237
 01/09  12:00:00,171.57292475399998,227.033211755
 01/09  13:00:00,170.780553359,219.89170619400002
 01/09  14:00:00,166.496583078,193.335349173
 01/09  15:00:00,166.38579333200002,181.70342930599998
 01/09  16:00:00,164.181740925,144.322598056
 01/09  17:00:00,164.033578839,130.090547902
 01/09  18:00:00,126.63031236299999,174.460708092
 01/09  19:00:00,129.728644668,213.504031029
 01/09  20:00:00,130.08411468,216.78034793900002
 01/09  21:00:00,130.219331152,230.303232482
 01/09  22:00:00,55.508010166700004,8.983380479580001
 01/09  23:00:00,55.4004835292,6.09643045284
 01/09  24:00:00,56.1765531274,8.961501341610001
 01/10  01:00:00,55.4358125829,3.22568
 01/10  02:00:00,55.4383744518,6.0903708529600005
 01/10  03:00:00,55.43433655850001,3.22568
 01/10  04:00:00,55.4308488775,6.09027763854
 01/10  05:00:00,56.5029020662,6.09043168786
 01/10  06:00:00,56.34151257600001,3.22568
 01/10  07:00:00,65.1661446497,243.26994385400002
 01/10  08:00:00,126.478201464,176.13576205200002
 01/10  09:00:00,165.958073995,126.91720331399999
 01/10  10:00:00,165.968375033,115.244492224
 01/10  11:00:00,169.968269125,101.112932925
 01/10  12:00:00,170.66511818200001,83.7332861604
 01/10  13:00:00,169.961584353,77.0848053425
 01/10  14:00:00,166.56131819799998,68.9756650658
 01/10  15:00:00,167.257585576,62.9068004763
 01/10  16:00:00,165.644545211,63.0977610675
 01/10  17:00:00,164.108621545,55.790786869899996
 01/10  18:00:00,126.254450048,87.25343025219999
 01/10  19:00:00,129.15505467,123.371887087
 01/10  20:00:00,129.215250671,149.255947065
 01/10  21:00:00,129.248480168,150.409513826
 01/10  22:00:00,55.38492265520001,8.98343502369
 01/10  23:00:00,55.4211910086,6.09556750607
 01/10  24:00:00,56.1936557987,8.96154368342
 01/11  01:00:00,55.4439084771,3.22568
 01/11  02:00:00,55.4419115591,6.09039155997
 01/11  03:00:00,55.4360254087,3.22568
 01/11  04:00:00,55.4362838294,6.090301054330001
 01/11  05:00:00,55.6499946462,6.09021056225
 01/11  06:00:00,55.631870928999994,3.22568
 01/11  07:00:00,65.1023484758,364.652885523
 01/11  08:00:00,126.82532374799999,279.686812014
 01/11  09:00:00,166.151403491,187.201224122
 01/11  10:00:00,166.008233378,136.426967835
 01/11  11:00:00,170.261873318,111.76356191
 01/11  12:00:00,171.697641128,84.19716379489999
 01/11  13:00:00,171.61013077200002,73.4891148473
 01/11  14:00:00,168.567338328,66.5099459238
 01/11  15:00:00,169.483670585,60.356957178900004
 01/11  16:00:00,166.712643693,56.5492976762
 01/11  17:00:00,164.422440016,49.3082392799
 01/11  18:00:00,126.25029447,74.527564751
 01/11  19:00:00,129.151048144,107.35180569200001
 01/11  20:00:00,129.42044637,134.58076829200002
 01/11  21:00:00,129.578872581,179.497346428
 01/11  22:00:00,55.5088316165,8.98399549918
 01/11  23:00:00,55.3921323143,8.96652486303
 01/11  24:00:00,56.1878384786,6.09376407163
 01/12  01:00:00,55.4422994511,3.22568
 01/12  02:00:00,55.430793592700006,6.09041071641
 01/12  03:00:00,55.4083578207,6.09032284623
 01/12  04:00:00,55.3977226408,3.22568
 01/12  05:00:00,55.605848981899996,6.09023498609
 01/12  06:00:00,55.5857651822,3.22568
 01/12  07:00:00,65.6853116481,478.434594154
 01/12  08:00:00,127.328303454,401.045378943
 01/12  09:00:00,166.767278845,302.568341756
 01/12  10:00:00,166.506034283,196.755749536
 01/12  11:00:00,170.121716077,125.12529855700001
 01/12  12:00:00,172.618730573,69.4345100815
