Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,4.2280187684,0.02
 01/01  02:00:00,4.2280187684,0.453076427113
 01/01  03:00:00,4.2280187684,0.02
 01/01  04:00:00,4.2280187684,0.45306528363799997
 01/01  05:00:00,4.2280187684,0.45305411698200004
 01/01  06:00:00,4.2280187684,0.02
 01/01  07:00:00,4.2280187684,0.453056987021
 01/01  08:00:00,2.6926854350700005,0.453080265775
 01/01  09:00:00,1.9250187684,0.02
 01/01  10:00:00,1.9250187684,0.45308737589599996
 01/01  11:00:00,1.9250187684,0.453081683309
 01/01  12:00:00,1.9250187684,0.02
 01/01  13:00:00,1.9250187684,0.453084284803
 01/01  14:00:00,1.9250187684,0.453072476554
 01/01  15:00:00,1.9250187684,0.02
 01/01  16:00:00,1.9250187684,0.45308659254199996
 01/01  17:00:00,2.3088521017400003,0.453081336713
 01/01  18:00:00,4.2280187684,0.02
 01/01  19:00:00,4.2280187684,0.45308149555
 01/01  20:00:00,4.2280187684,0.45308790451700004
 01/01  21:00:00,4.2280187684,0.02
 01/01  22:00:00,4.2280187684,0.453066871599
 01/01  23:00:00,4.2280187684,0.453058605764
 01/01  24:00:00,4.2280187684,0.02
 01/02  01:00:00,4.7780241307999995,0.45308617450800004
 01/02  02:00:00,4.7780241307999995,0.02
 01/02  03:00:00,4.7780241307999995,0.45308111517099997
 01/02  04:00:00,4.7780241307999995,0.453076046582
 01/02  05:00:00,4.7780241307999995,0.02
 01/02  06:00:00,5.053026812,0.45307422947
 01/02  07:00:00,7.2446685121800005,2.95574137556
 01/02  08:00:00,6.8035478674,4.964386580119999
 01/02  09:00:00,12.100209796600002,0.7190012346469999
 01/02  10:00:00,12.1398450814,0.453155349746
 01/02  11:00:00,12.302846230899998,0.45315682444
 01/02  12:00:00,12.3557942432,0.45316523672700004
 01/02  13:00:00,11.699939834,0.45315478764300005
 01/02  14:00:00,12.2073433117,0.45317792715000005
 01/02  15:00:00,12.225164143699999,0.886288477908
 01/02  16:00:00,12.3190864407,0.45313614252800005
 01/02  17:00:00,12.6538741322,0.45316681711499995
 01/02  18:00:00,9.98994766573,0.520542133641
 01/02  19:00:00,8.33888120073,0.0522542518547
 01/02  20:00:00,8.33888120073,0.49694743731200003
 01/02  21:00:00,7.788875838330001,0.722560672682
 01/02  22:00:00,7.788875838330001,0.802010525614
 01/02  23:00:00,5.053026812,0.02
 01/02  24:00:00,4.7780241307999995,0.453061847703
 01/03  01:00:00,4.7780241307999995,0.45305680962800005
 01/03  02:00:00,4.7780241307999995,0.02
 01/03  03:00:00,4.7780241307999995,0.453087461351
 01/03  04:00:00,4.7780241307999995,0.453082459538
 01/03  05:00:00,4.7780241307999995,0.02
 01/03  06:00:00,5.053026812,0.453084363548
 01/03  07:00:00,7.26212323632,1.22953260066
 01/03  08:00:00,6.8035478674,1.98609843094
 01/03  09:00:00,12.1099980275,0.474801725582
 01/03  10:00:00,12.1758031461,0.453155959566
 01/03  11:00:00,12.4245700395,0.453152961928
 01/03  12:00:00,12.702375220899999,0.453170000635
 01/03  13:00:00,12.188398662300001,0.453200854363
 01/03  14:00:00,13.2293582942,0.453148030268
 01/03  15:00:00,13.4235357526,0.453144054652
 01/03  16:00:00,13.3193609538,0.45313711543799995
 01/03  17:00:00,13.5219883216,0.886304119078
 01/03  18:00:00,10.2185546819,0.460377836985
 01/03  19:00:00,8.38020156834,0.0251623252212
 01/03  20:00:00,8.346004230830001,0.45307877774300004
 01/03  21:00:00,7.788875838330001,0.453094629851
 01/03  22:00:00,7.788875838330001,0.45307857125
 01/03  23:00:00,5.053026812,0.02
 01/03  24:00:00,4.7780241307999995,0.453072314911
 01/04  01:00:00,4.7780241307999995,0.453067344648
 01/04  02:00:00,4.7780241307999995,0.02
 01/04  03:00:00,4.7780241307999995,0.453062388869
 01/04  04:00:00,4.7780241307999995,0.453057433141
 01/04  05:00:00,4.7780241307999995,0.02
 01/04  06:00:00,5.053026812,0.453059291594
 01/04  07:00:00,7.29109236158,0.45306858917900006
 01/04  08:00:00,6.8035478674,0.489980210439
 01/04  09:00:00,12.210092350999998,0.477720990844
 01/04  10:00:00,12.4047808486,0.886295218443
 01/04  11:00:00,12.6741959823,0.453163947946
 01/04  12:00:00,13.195879554500001,0.453179229476
 01/04  13:00:00,12.8361067422,0.453177254236
 01/04  14:00:00,13.946425971400002,0.453196320142
 01/04  15:00:00,14.207184231900001,0.453120291324
 01/04  16:00:00,14.156863807799999,0.45314177031499997
 01/04  17:00:00,14.258202054000002,0.886307282228
 01/04  18:00:00,10.6850195394,0.02
 01/04  19:00:00,8.55612815847,0.453119654573
 01/04  20:00:00,8.4682669545,0.453097226959
 01/04  21:00:00,7.80171111641,0.5717500137899999
 01/04  22:00:00,7.788875838330001,0.46900929326000007
 01/04  23:00:00,5.053026812,0.02
 01/04  24:00:00,4.7780241307999995,0.453086983895
 01/05  01:00:00,4.7780241307999995,0.453082089204
 01/05  02:00:00,4.7780241307999995,0.02
 01/05  03:00:00,4.7780241307999995,0.453077198156
 01/05  04:00:00,4.7780241307999995,0.453072303516
 01/05  05:00:00,4.7780241307999995,0.02
 01/05  06:00:00,5.053026812,0.453076673366
 01/05  07:00:00,7.28469642985,0.530229840645
 01/05  08:00:00,6.80442989544,0.7846861955769999
 01/05  09:00:00,12.202330760599999,0.480941813952
 01/05  10:00:00,12.4998154078,0.45316110908999996
 01/05  11:00:00,12.769834675999999,0.8863088091060001
 01/05  12:00:00,13.2772784871,0.453169803997
 01/05  13:00:00,12.670270208599998,0.45315619674900004
 01/05  14:00:00,12.8202308533,0.45317759536200003
 01/05  15:00:00,12.4232335616,0.45315263159999997
 01/05  16:00:00,12.36428021,0.453151611606
 01/05  17:00:00,12.6187324522,0.45315353861599994
 01/05  18:00:00,9.99125884491,0.554318944634
 01/05  19:00:00,8.33888120073,0.49987895572400004
