Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,33.5753521762,0.02
 01/01  02:00:00,33.5753521762,0.02
 01/01  03:00:00,33.5753521762,1.10297249351
 01/01  04:00:00,33.5753521762,0.02
 01/01  05:00:00,33.5753521762,1.10297196615
 01/01  06:00:00,33.5753521762,0.02
 01/01  07:00:00,33.5753521762,1.10297161299
 01/01  08:00:00,28.6406855095,0.02
 01/01  09:00:00,18.7713521762,0.02
 01/01  10:00:00,18.7713521762,1.1029694386700002
 01/01  11:00:00,18.7713521762,0.02
 01/01  12:00:00,18.7713521762,1.1031111648
 01/01  13:00:00,18.7713521762,0.02
 01/01  14:00:00,25.036691449499997,1.10324748831
 01/01  15:00:00,24.8413631919,1.10311653759
 01/01  16:00:00,18.7713521762,0.02
 01/01  17:00:00,18.7713521762,0.02
 01/01  18:00:00,31.108018842899998,1.1030189831100001
 01/01  19:00:00,33.5753521762,0.02
 01/01  20:00:00,33.5753521762,1.10296983614
 01/01  21:00:00,33.5753521762,0.02
 01/01  22:00:00,33.5753521762,1.10310845616
 01/01  23:00:00,33.5753521762,0.02
 01/01  24:00:00,33.5753521762,0.02
 01/02  01:00:00,38.9361841996,1.10299797916
 01/02  02:00:00,38.9361841996,0.02
 01/02  03:00:00,38.9361841996,1.1030156821600001
 01/02  04:00:00,38.9361841996,0.02
 01/02  05:00:00,38.9361841996,1.10301995459
 01/02  06:00:00,41.6166002114,0.02
 01/02  07:00:00,150.114482551,1.10320840031
 01/02  08:00:00,139.00300931700002,1.10365765298
 01/02  09:00:00,157.42764457,2.18893689237
 01/02  10:00:00,138.533519428,2.18931290965
 01/02  11:00:00,134.762736111,2.18928271875
 01/02  12:00:00,136.548856999,3.27525066278
 01/02  13:00:00,140.456751931,3.2764530980599997
 01/02  14:00:00,138.676596667,3.27592782272
 01/02  15:00:00,132.44581111899998,2.18870916937
 01/02  16:00:00,132.057974957,1.10447472014
 01/02  17:00:00,136.91887245799998,3.27440959742
 01/02  18:00:00,142.71711682,1.10398871137
 01/02  19:00:00,111.864639521,2.18772872686
 01/02  20:00:00,111.029192897,1.1034967532100002
 01/02  21:00:00,102.6438572,1.103622652
 01/02  22:00:00,105.08385585200001,0.02
 01/02  23:00:00,41.6166002114,1.10302414734
 01/02  24:00:00,38.9361841996,0.02
 01/03  01:00:00,38.9361841996,1.10302272119
 01/03  02:00:00,38.9361841996,0.02
 01/03  03:00:00,38.9361841996,1.10301863723
 01/03  04:00:00,38.9361841996,0.02
 01/03  05:00:00,38.9361841996,1.1030219813
 01/03  06:00:00,41.6166002114,0.02
 01/03  07:00:00,115.43206730700001,1.1031126601999999
 01/03  08:00:00,117.962531473,1.10364514347
 01/03  09:00:00,156.170416819,2.18918354039
 01/03  10:00:00,145.118800317,2.1892427463599997
 01/03  11:00:00,141.542789148,2.18922728182
 01/03  12:00:00,143.15862460600002,2.7279146371099996
 01/03  13:00:00,143.558602566,2.7387597288800003
 01/03  14:00:00,140.655675044,3.27687679141
 01/03  15:00:00,135.448121372,2.1894485056599997
 01/03  16:00:00,134.791731756,2.18872508943
 01/03  17:00:00,138.061477461,3.27429618661
 01/03  18:00:00,139.479170497,1.10403241631
 01/03  19:00:00,110.85317792,1.10388103207
 01/03  20:00:00,111.076815979,1.10363813874
 01/03  21:00:00,100.533470037,1.10354059297
 01/03  22:00:00,102.29166390799999,1.10338397467
 01/03  23:00:00,41.6166002114,1.10301993134
 01/03  24:00:00,38.9361841996,0.02
 01/04  01:00:00,38.9361841996,1.10302295489
 01/04  02:00:00,38.9361841996,0.02
 01/04  03:00:00,38.9361841996,1.10301683586
 01/04  04:00:00,38.9361841996,0.02
 01/04  05:00:00,38.9361841996,0.02
 01/04  06:00:00,41.6166002114,1.10309748543
 01/04  07:00:00,108.578357236,1.10311773995
 01/04  08:00:00,111.287754062,1.1036656540899998
 01/04  09:00:00,144.795305494,2.18923045816
 01/04  10:00:00,134.138677855,2.18944273306
 01/04  11:00:00,135.723921566,2.18958415702
 01/04  12:00:00,140.434294879,2.18989420035
 01/04  13:00:00,141.37406830700002,3.27667543482
 01/04  14:00:00,141.875602584,3.27647888472
 01/04  15:00:00,134.619241871,2.18922248341
 01/04  16:00:00,131.595723797,2.1887597357599997
 01/04  17:00:00,131.642977075,2.18982737999
 01/04  18:00:00,128.768138684,2.18885802252
 01/04  19:00:00,99.6024648155,1.10382912876
 01/04  20:00:00,99.8150074247,1.10355485891
 01/04  21:00:00,88.63536544600001,1.10361283599
 01/04  22:00:00,91.1724308875,1.10320783301
 01/04  23:00:00,41.6166002114,0.02
 01/04  24:00:00,38.9361841996,1.1030231959999999
 01/05  01:00:00,38.9361841996,0.02
 01/05  02:00:00,38.9361841996,1.1030185828
 01/05  03:00:00,38.9361841996,0.02
 01/05  04:00:00,38.9361841996,1.1030226161
 01/05  05:00:00,38.9361841996,0.02
 01/05  06:00:00,41.6166002114,1.1031483216
 01/05  07:00:00,149.713244695,1.10311142624
 01/05  08:00:00,131.707845013,21.733642595
 01/05  09:00:00,155.198897645,10.5850861446
 01/05  10:00:00,134.25447614200002,3.2805994646200003
 01/05  11:00:00,130.54885223899998,2.1895969449400003
 01/05  12:00:00,136.048062609,2.1900849501499997
 01/05  13:00:00,138.243941499,3.2764370519300003
 01/05  14:00:00,136.41169417,3.27625295253
 01/05  15:00:00,130.030348183,2.18934562644
 01/05  16:00:00,127.66216252,2.1888602284900003
 01/05  17:00:00,129.445819889,2.18969623945
 01/05  18:00:00,131.143880218,2.18872371579
 01/05  19:00:00,105.27424381200001,1.1037759867599999
 01/05  20:00:00,106.14127430399999,1.10350773338
 01/05  21:00:00,96.8532431075,1.1035639399400001
 01/05  22:00:00,99.0294037104,1.10317943799
 01/05  23:00:00,41.6166002114,0.02
 01/05  24:00:00,38.9361841996,1.10302371016
 01/06  01:00:00,38.9361841996,0.02
 01/06  02:00:00,38.9361841996,1.10302042609
 01/06  03:00:00,38.9361841996,0.02
 01/06  04:00:00,38.9361841996,1.1030237867100001
 01/06  05:00:00,38.9361841996,0.02
 01/06  06:00:00,41.6166002114,1.10317063471
 01/06  07:00:00,146.459262352,0.02
 01/06  08:00:00,132.36507614799999,18.9213756474
 01/06  09:00:00,167.443720402,10.9505534076
 01/06  10:00:00,152.072272463,7.754388402839999
 01/06  11:00:00,147.913636754,5.65226917862
 01/06  12:00:00,147.492489614,4.21110763209
 01/06  13:00:00,150.84753436100002,4.317599877869999
 01/06  14:00:00,146.948118699,3.7474126812599997
 01/06  15:00:00,142.03664518600002,2.59085197753
 01/06  16:00:00,141.462602807,2.4040042064800002
 01/06  17:00:00,145.07044298,2.9568277066400004
 01/06  18:00:00,149.764158511,4.795314264080001
 01/06  19:00:00,127.04775057200001,10.2267916182
 01/06  20:00:00,127.66269078,14.2387488503
 01/06  21:00:00,120.594830623,20.100731269300002
 01/06  22:00:00,124.524733271,25.833333284000002
 01/06  23:00:00,41.6166002114,0.02
 01/06  24:00:00,38.9361841996,1.1030233418000002
 01/07  01:00:00,33.5753521762,0.02
 01/07  02:00:00,33.5753521762,1.1030168421100002
 01/07  03:00:00,33.5753521762,0.02
 01/07  04:00:00,33.5753521762,1.10302223486
 01/07  05:00:00,36.6135416498,0.193968821401
 01/07  06:00:00,40.210439365300005,1.18308029416
 01/07  07:00:00,191.614751808,0.0777218424148
 01/07  08:00:00,155.400041593,50.7436664499
 01/07  09:00:00,146.901514384,47.002263836400004
 01/07  10:00:00,144.371590591,42.5427001893
 01/07  11:00:00,140.98877655799998,39.7457866512
 01/07  12:00:00,137.726781757,33.953099960900005
 01/07  13:00:00,133.843095697,32.0935775504
 01/07  14:00:00,131.605434892,30.580139030399998
 01/07  15:00:00,117.172163398,30.941836384699997
 01/07  16:00:00,119.887275136,30.9771319419
 01/07  17:00:00,123.88802671200001,33.815140223600004
 01/07  18:00:00,134.684437834,42.0069359231
 01/07  19:00:00,33.5753521762,0.02
 01/07  20:00:00,33.5753521762,1.10312613628
 01/07  21:00:00,42.8052993055,0.22965390319
 01/07  22:00:00,42.7152632981,1.4120579805000002
 01/07  23:00:00,47.3989897005,2.87930481795
 01/07  24:00:00,61.37751866560001,2.01369219599
 01/08  01:00:00,72.1912733019,4.93933519743
 01/08  02:00:00,66.2552982839,3.36289304455
 01/08  03:00:00,75.8074173694,5.04397772134
 01/08  04:00:00,69.97286077689999,5.38208254234
 01/08  05:00:00,81.1147327796,6.4063542153999995
 01/08  06:00:00,74.1830839566,6.35546967656
 01/08  07:00:00,86.02303018629999,7.4806777434
 01/08  08:00:00,73.4391139351,7.124327361919999
 01/08  09:00:00,67.6481607777,7.99480137527
 01/08  10:00:00,46.9590050276,6.66716913101
 01/08  11:00:00,48.658528812700006,6.0231506012
 01/08  12:00:00,35.8760637253,3.60884625894
 01/08  13:00:00,34.220435078899996,4.53560537255
 01/08  14:00:00,28.195961046100003,2.91447575258
 01/08  15:00:00,29.6971277206,1.5664556573100001
 01/08  16:00:00,34.2157566083,1.53134604017
 01/08  17:00:00,35.396525793,0.690593420321
 01/08  18:00:00,49.2492176789,0.35855430576700004
 01/08  19:00:00,66.1658073391,2.49259862523
 01/08  20:00:00,71.1258278876,1.5694866435400001
 01/08  21:00:00,75.0728613462,4.216065996499999
 01/08  22:00:00,77.1787968294,2.69741382139
 01/08  23:00:00,79.13127843859999,5.2691847353800005
 01/08  24:00:00,79.7839480805,3.31581026897
 01/09  01:00:00,85.4434705102,5.882904644299999
 01/09  02:00:00,86.594175221,3.8663069195599995
 01/09  03:00:00,88.40145818190001,6.576875479369999
 01/09  04:00:00,88.3590179607,4.1897901096800005
 01/09  05:00:00,89.5379258915,6.73044157609
 01/09  06:00:00,91.19181738360001,4.14685901039
