Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,261.204928468,442.315032556
 01/01  02:00:00,256.795607207,420.60151043400003
 01/01  03:00:00,261.628698221,632.577919554
 01/01  04:00:00,256.859186477,463.17385108800005
 01/01  05:00:00,273.92654345799997,670.804446538
 01/01  06:00:00,293.556717671,467.575115607
 01/01  07:00:00,347.280225899,655.488796703
 01/01  08:00:00,341.275069371,459.85174519199995
 01/01  09:00:00,320.392970397,568.0420466769999
 01/01  10:00:00,278.814158233,305.364189864
 01/01  11:00:00,234.563589498,324.719651719
 01/01  12:00:00,229.792148147,190.36437366099997
 01/01  13:00:00,234.442226863,219.568854553
 01/01  14:00:00,229.74923377099998,156.406921522
 01/01  15:00:00,234.39966079599998,185.775058859
 01/01  16:00:00,229.7419901,152.283545091
 01/01  17:00:00,326.060354899,246.204019764
 01/01  18:00:00,366.62114723800005,220.035857363
 01/01  19:00:00,371.32970535,317.062006429
 01/01  20:00:00,342.195379025,245.88780697099997
 01/01  21:00:00,346.897329244,335.84146474700003
 01/01  22:00:00,317.761519315,263.294102093
 01/01  23:00:00,298.02069846,355.482990715
 01/01  24:00:00,268.882834538,278.076892642
 01/02  01:00:00,311.19137173400003,355.782071525
 01/02  02:00:00,306.489315618,267.106151324
 01/02  03:00:00,311.191810384,361.45595817
 01/02  04:00:00,306.49162965799997,271.587495753
 01/02  05:00:00,323.417286138,365.142631685
 01/02  06:00:00,368.085975356,281.563372973
 01/02  07:00:00,431.641244391,3374.17354845
 01/02  08:00:00,529.26742248,2898.46791107
 01/02  09:00:00,1050.70822397,1914.09643921
 01/02  10:00:00,1013.62058813,1624.5322985999999
 01/02  11:00:00,964.466660622,1432.75051566
 01/02  12:00:00,964.4830771039999,1441.51687306
 01/02  13:00:00,914.889891918,1555.54586239
 01/02  14:00:00,964.420985882,1265.73352918
 01/02  15:00:00,964.167402077,1080.40540946
 01/02  16:00:00,964.0754315260001,1030.27336133
 01/02  17:00:00,1055.71097418,1057.36799656
 01/02  18:00:00,951.433472603,1081.2663000999999
 01/02  19:00:00,752.1469057039999,1175.79736192
 01/02  20:00:00,727.6859435,1201.28855382
 01/02  21:00:00,578.319310902,1350.70170648
 01/02  22:00:00,553.97987071,1435.80984144
 01/02  23:00:00,349.356990887,4.36204646225
 01/02  24:00:00,299.992231392,2.1908062621599997
 01/03  01:00:00,289.715219993,11.9025001454
 01/03  02:00:00,292.43364900299997,26.4457124939
 01/03  03:00:00,309.132179483,99.23861936639999
 01/03  04:00:00,304.892386564,109.18345876
 01/03  05:00:00,321.409781785,154.470912063
 01/03  06:00:00,366.513799,146.42727935
 01/03  07:00:00,429.34798647800005,1760.35737004
 01/03  08:00:00,529.094203077,2559.11678659
 01/03  09:00:00,1050.95828377,1625.56781612
 01/03  10:00:00,1013.97566933,1297.05881248
 01/03  11:00:00,964.8730693780001,1148.63448423
 01/03  12:00:00,964.662665832,1030.81801516
 01/03  13:00:00,914.770876281,1032.53658456
 01/03  14:00:00,964.435216633,941.4618795169999
 01/03  15:00:00,964.27356549,837.4900511139999
 01/03  16:00:00,964.2762750160001,839.7044856839999
 01/03  17:00:00,1056.18268566,988.3872631239999
 01/03  18:00:00,952.073558271,1063.24198354
 01/03  19:00:00,752.837504295,1130.56195472
 01/03  20:00:00,728.677626751,1272.0477384
 01/03  21:00:00,579.8388340280001,1518.8089594
 01/03  22:00:00,556.824923821,1828.11138204
 01/03  23:00:00,349.356992185,2.1910335780900003
 01/03  24:00:00,301.750667956,10.6922602598
 01/04  01:00:00,301.75854848299997,31.9014073739
 01/04  02:00:00,309.184394252,69.8101546968
 01/04  03:00:00,304.951151393,86.7266863509
 01/04  04:00:00,310.214577957,155.127858397
 01/04  05:00:00,318.792252019,176.182305456
 01/04  06:00:00,372.881835519,252.79039233
 01/04  07:00:00,429.450139185,1472.52076998
 01/04  08:00:00,535.0478159859999,3447.47486985
 01/04  09:00:00,1056.83739431,1761.09759215
 01/04  10:00:00,1017.64919424,1129.82184481
 01/04  11:00:00,966.2265604260001,890.6129003860001
 01/04  12:00:00,964.657442248,664.215351379
 01/04  13:00:00,914.498795178,602.475335737
 01/04  14:00:00,964.475087263,512.240229868
 01/04  15:00:00,963.9102718439999,537.640725501
 01/04  16:00:00,963.66841109,586.635148351
 01/04  17:00:00,1055.46584604,719.14332317
 01/04  18:00:00,951.52290267,917.7164747180001
 01/04  19:00:00,752.472717585,1055.81061628
 01/04  20:00:00,728.1331252760001,1063.16079088
 01/04  21:00:00,578.744215048,1132.5475161
 01/04  22:00:00,555.073436793,1471.42508804
 01/04  23:00:00,349.356994,2.19095676037
 01/04  24:00:00,301.16040099,6.08926284194
 01/05  01:00:00,289.336926012,13.9438030779
 01/05  02:00:00,289.735938993,17.692129638599997
 01/05  03:00:00,308.754461197,65.0104330634
 01/05  04:00:00,305.287517152,75.5604646815
 01/05  05:00:00,321.069297302,124.707175381
 01/05  06:00:00,366.965766308,137.679212981
 01/05  07:00:00,429.21783621599997,1286.03291071
 01/05  08:00:00,532.636831251,2940.2961737
 01/05  09:00:00,1052.75267626,1364.20321106
 01/05  10:00:00,1014.80628762,1093.38479623
 01/05  11:00:00,964.704018538,808.76025124
 01/05  12:00:00,963.830660555,572.810968645
 01/05  13:00:00,913.794332877,565.914404397
 01/05  14:00:00,963.52112912,550.5172739230001
 01/05  15:00:00,963.4553808960001,540.54528578
 01/05  16:00:00,963.490694938,592.216158808
 01/05  17:00:00,1046.59715908,642.5749047109999
 01/05  18:00:00,950.860540844,679.688929801
 01/05  19:00:00,751.564876562,744.222101518
 01/05  20:00:00,727.1349079180001,768.280119125
 01/05  21:00:00,577.700973596,849.397758841
 01/05  22:00:00,553.333098697,922.581522415
 01/05  23:00:00,349.35699553,2.19097515952
 01/05  24:00:00,299.992236703,4.3617827795899995
 01/06  01:00:00,287.77004043700003,2.19101285561
 01/06  02:00:00,289.325348391,9.38110268468
 01/06  03:00:00,289.71594427400004,14.792002189100002
 01/06  04:00:00,289.330873156,13.866236032
 01/06  05:00:00,301.944346992,17.6845786572
 01/06  06:00:00,350.926770705,22.085759962399997
 01/06  07:00:00,428.40869729,1034.59080627
 01/06  08:00:00,527.3213441080001,1417.82273929
 01/06  09:00:00,1049.48549428,992.736284932
 01/06  10:00:00,1012.57412319,778.209919536
 01/06  11:00:00,963.5299306,651.232217312
 01/06  12:00:00,963.41028726,566.689962198
 01/06  13:00:00,913.580527035,581.984823586
 01/06  14:00:00,963.4141005380001,584.331062385
 01/06  15:00:00,963.4368344530001,600.312367774
 01/06  16:00:00,963.4353122289999,599.076327914
 01/06  17:00:00,1046.51343556,614.659626393
 01/06  18:00:00,950.698145545,585.624612875
