Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,133.039371693,13.6595927023
 01/01  02:00:00,108.37518015299999,10.4316404997
 01/01  03:00:00,131.217211494,14.633318639
 01/01  04:00:00,108.69102372,10.6311037301
 01/01  05:00:00,132.066254871,14.874219240599999
 01/01  06:00:00,110.37628686,10.871284983499999
 01/01  07:00:00,133.525849472,15.1873827829
 01/01  08:00:00,97.5725542678,10.782841865999998
 01/01  09:00:00,98.7170543215,14.0830571469
 01/01  10:00:00,70.98432603399999,8.89323140829
 01/01  11:00:00,79.5637951505,10.7220533809
 01/01  12:00:00,71.222170377,7.06597020658
 01/01  13:00:00,78.76375458529999,9.71402978075
 01/01  14:00:00,60.885831618100006,7.168650610630001
 01/01  15:00:00,69.7992315337,7.775164842939999
 01/01  16:00:00,60.188550668699996,7.017366517899999
 01/01  17:00:00,100.34064969399999,8.057689959500001
 01/01  18:00:00,94.4284543668,6.73049229159
 01/01  19:00:00,119.46324380000001,10.8954092162
 01/01  20:00:00,103.168648686,8.34267059968
 01/01  21:00:00,127.32446359,12.8252981629
 01/01  22:00:00,107.26366038200001,9.54471706037
 01/01  23:00:00,132.660886976,14.1999280002
 01/01  24:00:00,111.2455696,10.4936028704
 01/02  01:00:00,139.817019475,15.267934141700001
 01/02  02:00:00,117.88095717200001,11.5391762604
 01/02  03:00:00,144.289851263,16.4414568823
 01/02  04:00:00,121.28416604,12.3417198276
 01/02  05:00:00,148.745086021,17.4499813248
 01/02  06:00:00,127.462409521,14.224453710299999
 01/02  07:00:00,352.39741456699994,9.66075265735
 01/02  08:00:00,316.516129087,179.956026215
 01/02  09:00:00,296.566746272,169.176483281
 01/02  10:00:00,259.32641984599996,147.987246932
 01/02  11:00:00,239.50815782400002,129.30824027100002
 01/02  12:00:00,227.289807158,116.665676921
 01/02  13:00:00,223.654269107,109.02340890299999
 01/02  14:00:00,212.416722652,104.35984152200001
 01/02  15:00:00,207.989339382,102.06103296399999
 01/02  16:00:00,204.81736728400003,101.137113589
 01/02  17:00:00,219.303224577,101.509468259
 01/02  18:00:00,217.44506808900002,103.47759868799999
 01/02  19:00:00,193.55676134,108.35247101799999
 01/02  20:00:00,195.54520064099998,113.737273481
 01/02  21:00:00,189.97743966299998,113.69967097
 01/02  22:00:00,188.87952429799998,109.027178279
 01/02  23:00:00,45.5004620879,2.14222946814
 01/02  24:00:00,52.9142115738,3.05032643829
 01/03  01:00:00,67.2963890271,7.089658448239999
 01/03  02:00:00,66.9016933665,5.32261070173
 01/03  03:00:00,74.1092744814,8.790139073919999
 01/03  04:00:00,70.4409549497,6.15374848314
 01/03  05:00:00,77.9785828888,9.51340842192
 01/03  06:00:00,77.0111819201,6.62249292245
 01/03  07:00:00,265.067800314,3.12656800282
 01/03  08:00:00,220.41229910200002,99.3914283469
 01/03  09:00:00,240.422067254,95.85441409389999
 01/03  10:00:00,230.844934125,93.198379715
 01/03  11:00:00,221.48494100599999,88.37143085940001
 01/03  12:00:00,216.58369450700002,83.6688208709
 01/03  13:00:00,219.55488363599997,80.8632134729
 01/03  14:00:00,208.177693003,78.4164738349
 01/03  15:00:00,196.897506683,61.967441083000004
 01/03  16:00:00,189.65710611900002,47.247510235600004
 01/03  17:00:00,193.890674804,43.5156753202
 01/03  18:00:00,185.774239934,39.4672696035
 01/03  19:00:00,156.115698905,36.9860853844
 01/03  20:00:00,154.806664359,34.201374006100004
