Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,84.3319230308,16.010380633
 01/01  02:00:00,84.9327957051,16.4409844991
 01/01  03:00:00,89.53895943879999,29.214850053800003
 01/01  04:00:00,90.04842661290002,31.623750569000002
 01/01  05:00:00,92.0955326003,25.0343463156
 01/01  06:00:00,98.83205690870001,44.5147435003
 01/01  07:00:00,123.776560465,479.06181140800004
 01/01  08:00:00,126.03075669399999,443.720573073
 01/01  09:00:00,154.522620486,390.805613134
 01/01  10:00:00,127.35970245,367.402521158
 01/01  11:00:00,161.987821026,339.592736403
 01/01  12:00:00,193.090865386,324.45305467099996
 01/01  13:00:00,201.01522410400003,288.482949722
 01/01  14:00:00,199.289821236,270.447845126
 01/01  15:00:00,195.65214488700002,262.544584604
 01/01  16:00:00,191.93438741900002,275.188734183
 01/01  17:00:00,204.90635495700002,280.305528135
 01/01  18:00:00,175.870934688,333.55918601900004
 01/01  19:00:00,181.898976681,356.22112974
 01/01  20:00:00,161.92436660299998,368.807049227
 01/01  21:00:00,153.202254313,375.218669761
 01/01  22:00:00,138.848357354,327.987214379
 01/01  23:00:00,77.6691274769,1.77125
 01/01  24:00:00,113.56667446200001,2.91554094352
 01/02  01:00:00,92.63130533209998,16.608129705
 01/02  02:00:00,86.4981994182,17.3769870866
 01/02  03:00:00,90.72785962379999,29.2786608092
 01/02  04:00:00,90.6637808725,28.678898204099998
 01/02  05:00:00,93.53797781959999,23.263192962399998
 01/02  06:00:00,97.12442058139999,37.5552666671
 01/02  07:00:00,138.006133538,414.815899362
 01/02  08:00:00,140.308998875,379.859370624
 01/02  09:00:00,209.514922077,335.58269532599996
 01/02  10:00:00,233.78456945,300.18804073
 01/02  11:00:00,224.020543787,288.033453288
 01/02  12:00:00,254.743187785,267.920452776
 01/02  13:00:00,234.63357833599997,257.998953734
 01/02  14:00:00,231.83777028,245.677174774
 01/02  15:00:00,228.17168542599998,234.233405068
 01/02  16:00:00,225.35108744099998,232.67298107599999
 01/02  17:00:00,239.282284823,233.678569215
 01/02  18:00:00,238.989311132,238.378723454
 01/02  19:00:00,237.35122974599997,249.993848996
 01/02  20:00:00,221.07244557,259.078433184
 01/02  21:00:00,196.221950114,264.49741727
 01/02  22:00:00,138.98342058,242.83787768599998
 01/02  23:00:00,80.2563854707,2.355
 01/02  24:00:00,115.656031254,3.49933383629
 01/03  01:00:00,84.4214578781,2.355
 01/03  02:00:00,86.30091044129999,14.7288684292
 01/03  03:00:00,86.543779592,15.9348036086
 01/03  04:00:00,90.680042021,23.8090389796
 01/03  05:00:00,113.329508492,22.9644249798
 01/03  06:00:00,109.08961987100001,19.6040166111
 01/03  07:00:00,154.633965681,392.076574807
 01/03  08:00:00,149.637576998,351.152544173
 01/03  09:00:00,209.792476145,313.368255307
 01/03  10:00:00,233.87860819,277.526760942
 01/03  11:00:00,224.36407427,253.82072991799998
 01/03  12:00:00,254.964616531,233.764527701
 01/03  13:00:00,235.06417283099998,223.293888846
 01/03  14:00:00,232.159415505,212.071938907
 01/03  15:00:00,228.273759954,208.80888483
 01/03  16:00:00,225.02662502099997,215.61189163400002
 01/03  17:00:00,238.50751766,223.01702019799998
 01/03  18:00:00,238.242514256,226.905059046
 01/03  19:00:00,237.43374214,234.76017439
 01/03  20:00:00,214.978247067,237.10459988
 01/03  21:00:00,190.499414487,243.073139394
 01/03  22:00:00,135.021570221,211.267425854
 01/03  23:00:00,82.2268121395,3.49947076052
 01/03  24:00:00,117.581680665,2.355
 01/04  01:00:00,86.3692919742,2.355
 01/04  02:00:00,79.0950401679,3.49924262175
 01/04  03:00:00,78.8964869129,2.355
 01/04  04:00:00,82.7916911618,8.390621465630002
 01/04  05:00:00,97.89771084510001,19.7248169182
 01/04  06:00:00,93.973306416,14.0133110231
 01/04  07:00:00,138.91333877600002,364.93510865
 01/04  08:00:00,142.136834354,329.252918449
 01/04  09:00:00,211.805516872,285.421359103
 01/04  10:00:00,237.097230221,250.695623622
 01/04  11:00:00,227.58527440900002,234.35589327099999
 01/04  12:00:00,257.887492817,211.12085602
 01/04  13:00:00,238.741521382,204.512274828
 01/04  14:00:00,236.06284606,194.797609872
 01/04  15:00:00,232.215224713,191.021378642
 01/04  16:00:00,228.75264967799998,199.946942216
 01/04  17:00:00,242.278800418,205.37089532299998
 01/04  18:00:00,241.84746884900002,210.605975037
 01/04  19:00:00,240.12390027400002,213.350394789
 01/04  20:00:00,223.99374159200002,218.726081102
 01/04  21:00:00,198.621489836,224.41279342299998
