Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.569683660399999,0.0
 01/02  02:00:00,12.569683660399999,0.0
 01/02  03:00:00,12.569683660399999,0.0
 01/02  04:00:00,12.569683660399999,0.0
 01/02  05:00:00,12.569683660399999,0.0
 01/02  06:00:00,12.569683660399999,0.0
 01/02  07:00:00,23.192423636100003,119.71825397
 01/02  08:00:00,31.0501455814,92.5335399591
 01/02  09:00:00,39.117383375500005,81.06830155979999
 01/02  10:00:00,55.290350327700004,61.3086519058
 01/02  11:00:00,55.242694414,58.430851504399996
 01/02  12:00:00,55.190538448000005,52.117855123199995
 01/02  13:00:00,55.1711855286,49.996178873699996
 01/02  14:00:00,55.1666936491,50.090256459799996
 01/02  15:00:00,55.150041012299994,48.3459402445
 01/02  16:00:00,55.1355650979,43.760565954899995
 01/02  17:00:00,60.6888729837,49.244690283699995
 01/02  18:00:00,63.5010290596,58.1951095592
 01/02  19:00:00,50.8621365908,61.894663207
 01/02  20:00:00,50.896622855100006,67.0340804491
 01/02  21:00:00,45.8745562174,66.2494999812
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.569683660399999,0.0
 01/03  02:00:00,12.569683660399999,0.0
 01/03  03:00:00,12.569683660399999,0.0
 01/03  04:00:00,12.569683660399999,0.0
 01/03  05:00:00,12.569683660399999,0.0
 01/03  06:00:00,12.569683660399999,0.0
 01/03  07:00:00,23.231749028200003,126.24197252
 01/03  08:00:00,31.0594238775,93.96009558770001
 01/03  09:00:00,39.0972095825,79.28843485430001
 01/03  10:00:00,55.206921649799995,56.5307197529
 01/03  11:00:00,54.9890566089,50.4835823801
 01/03  12:00:00,54.802108632,39.969413236
 01/03  13:00:00,54.921084862200004,38.473298635700004
 01/03  14:00:00,55.0366743529,44.55987084270001
 01/03  15:00:00,55.079142147700004,49.3267667388
 01/03  16:00:00,55.1031514867,47.6767793921
 01/03  17:00:00,59.2755980267,51.3054819209
 01/03  18:00:00,63.4490522678,57.3066021544
 01/03  19:00:00,50.8143140437,61.6311552297
 01/03  20:00:00,50.8733001603,70.3775446221
 01/03  21:00:00,45.8906466508,74.9913162918
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.569683660399999,0.0
 01/04  01:00:00,12.569683660399999,0.0
 01/04  02:00:00,12.569683660399999,0.0
 01/04  03:00:00,12.569683660399999,0.0
 01/04  04:00:00,12.569683660399999,0.0
 01/04  05:00:00,12.569683660399999,0.0
 01/04  06:00:00,12.569683660399999,0.0
 01/04  07:00:00,23.3654117298,147.539690651
 01/04  08:00:00,31.184389007600004,114.682713506
 01/04  09:00:00,39.2201533758,102.12626287299999
 01/04  10:00:00,55.344684022799996,79.136422253
 01/04  11:00:00,55.201228129099995,65.3182668896
 01/04  12:00:00,55.120102995699995,53.3768080296
 01/04  13:00:00,54.9683360728,45.5130360304
 01/04  14:00:00,54.8510542734,39.5008160471
 01/04  15:00:00,54.8850234829,36.1451634445
 01/04  16:00:00,54.9086356788,33.064585186500004
 01/04  17:00:00,59.1551212572,40.3270237098
 01/04  18:00:00,63.3649757316,47.689841996800006
 01/04  19:00:00,50.772618635200004,57.1172651935
 01/04  20:00:00,50.8698452438,71.5161619141
 01/04  21:00:00,45.906941012299995,79.3689217957
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.569683660399999,0.0
 01/05  03:00:00,12.569683660399999,0.0
 01/05  04:00:00,12.569683660399999,0.0
 01/05  05:00:00,12.5878787351,0.0
 01/05  06:00:00,12.6253525612,0.0
 01/05  07:00:00,23.640925634899997,191.34819593400002
 01/05  08:00:00,31.480909849099998,153.27521243299998
 01/05  09:00:00,39.4538350082,132.163927769
 01/05  10:00:00,55.568136386899994,106.612628878
 01/05  11:00:00,55.3303785864,92.17162039649999
 01/05  12:00:00,54.7696460697,64.0214836076
 01/05  13:00:00,54.6765471116,46.4893058594
 01/05  14:00:00,54.6765471116,37.0088617589
 01/05  15:00:00,54.6765471116,31.320999473
 01/05  16:00:00,54.6765471116,29.9205036753
 01/05  17:00:00,58.918168280699994,44.0956708777
 01/05  18:00:00,63.355925671,64.5586629512
 01/05  19:00:00,50.8177244154,78.4381489945
 01/05  20:00:00,50.9146876776,91.97472131129999
 01/05  21:00:00,45.9618687559,100.39485806799999
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.569683660399999,0.0
 01/06  02:00:00,12.569683660399999,0.0
 01/06  03:00:00,12.569683660399999,0.0
 01/06  04:00:00,12.623061856400001,0.596348856553
 01/06  05:00:00,12.6944697933,1.18431171046
