Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,239.855774175,36.703533187199994
 01/01  02:00:00,239.46762021700002,28.2263861149
 01/01  03:00:00,239.85370915299998,36.421778479699995
 01/01  04:00:00,239.468490888,29.3410188353
 01/01  05:00:00,252.076998037,37.8205033101
 01/01  06:00:00,276.136428212,31.4289700491
 01/01  07:00:00,325.410186575,37.8940733084
 01/01  08:00:00,349.469073654,30.429689656500003
 01/01  09:00:00,298.591198264,36.2602257081
 01/01  10:00:00,261.536882844,23.8937077812
 01/01  11:00:00,213.03210863700002,31.772007147399997
 01/01  12:00:00,212.64482621599998,23.065021779000002
 01/01  13:00:00,213.02510326400002,21.9942830958
 01/01  14:00:00,212.642437647,18.3567044523
 01/01  15:00:00,213.022745303,19.1133989461
 01/01  16:00:00,212.641258182,17.741854223
 01/01  17:00:00,296.089261541,24.1202910155
 01/01  18:00:00,349.46079414400003,20.428929153
 01/01  19:00:00,349.84503678199997,26.4456385898
 01/01  20:00:00,325.017954927,22.388200569600002
 01/01  21:00:00,325.403483921,30.012070609899997
 01/01  22:00:00,300.577419922,27.579377923600003
 01/01  23:00:00,276.518539348,32.6657193773
 01/01  24:00:00,251.69092065099997,30.096674198400002
 01/02  01:00:00,289.69683548,41.5917473272
 01/02  02:00:00,289.31058476,30.896771928499998
 01/02  03:00:00,289.69939447400003,42.5703889643
 01/02  04:00:00,289.312066319,32.7009916175
 01/02  05:00:00,301.924242813,45.7910916538
 01/02  06:00:00,354.04838576699996,54.3020765818
 01/02  07:00:00,429.014307892,1793.9115004999999
 01/02  08:00:00,553.396847311,1985.14372383
 01/02  09:00:00,1049.8110046,1187.43995899
 01/02  10:00:00,1012.54695482,670.780663448
 01/02  11:00:00,963.28638209,396.49680882800004
 01/02  12:00:00,963.07492738,223.940395797
 01/02  13:00:00,913.236122658,232.549620153
 01/02  14:00:00,963.027194602,191.472305952
 01/02  15:00:00,962.986598723,154.743641292
 01/02  16:00:00,962.996096502,168.447144788
 01/02  17:00:00,1046.10906205,224.605451727
