Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,55.403947207899996,3.22568
 01/01  02:00:00,55.4194283074,3.22568
 01/01  03:00:00,55.4180405314,6.08850546516
 01/01  04:00:00,55.4170489626,3.22568
 01/01  05:00:00,55.630676713999996,6.08854563765
 01/01  06:00:00,55.6167864676,3.22568
 01/01  07:00:00,55.6276027684,3.22568
 01/01  08:00:00,55.5646650062,6.08858600918
 01/01  09:00:00,46.9937203833,3.22568
 01/01  10:00:00,47.0126223474,6.09021394103
 01/01  11:00:00,47.007521109799995,6.09004508204
 01/01  12:00:00,47.7019840804,3.22568
 01/01  13:00:00,47.0003998135,6.09011505055
 01/01  14:00:00,47.043075439300004,3.22568
 01/01  15:00:00,47.054049613100005,6.088540602969999
 01/01  16:00:00,47.03768306560001,3.22568
 01/01  17:00:00,52.658532083199994,6.0885813760300005
 01/01  18:00:00,55.512278950200006,3.22568
 01/01  19:00:00,55.5065915644,3.22568
 01/01  20:00:00,55.7127936853,6.08862207881
 01/01  21:00:00,55.6888302128,3.22568
 01/01  22:00:00,55.5705535163,6.0885058581900005
 01/01  23:00:00,55.4044473078,3.22568
 01/01  24:00:00,56.1172486505,6.08854664946
 01/02  01:00:00,55.3842334354,3.22568
 01/02  02:00:00,55.3845118802,6.090183670549999
 01/02  03:00:00,55.385782577200004,3.22568
 01/02  04:00:00,55.386534890600004,6.090255651970001
 01/02  05:00:00,56.1501374583,6.104616990519999
 01/02  06:00:00,56.44153440109999,3.32062626248
 01/02  07:00:00,64.16416293520001,414.47345342
 01/02  08:00:00,128.49389748299998,365.737374022
 01/02  09:00:00,165.018831951,296.060781453
 01/02  10:00:00,165.033836268,246.73366730799998
 01/02  11:00:00,169.047742933,217.63955741900003
 01/02  12:00:00,169.491665225,142.029148394
 01/02  13:00:00,168.830639295,117.283318066
 01/02  14:00:00,165.008149939,121.70317516
 01/02  15:00:00,165.12482600799999,125.492360673
 01/02  16:00:00,162.800637407,128.02123617200002
 01/02  17:00:00,168.40528828200001,143.953795505
 01/02  18:00:00,128.227490992,150.869112328
 01/02  19:00:00,128.238767354,159.442085716
 01/02  20:00:00,128.453767301,180.923108577
 01/02  21:00:00,128.438264146,196.32026840400002
 01/02  22:00:00,55.5016875174,8.98199527038
 01/02  23:00:00,55.3883503479,8.9658907426
 01/02  24:00:00,56.1615095488,6.0932728867799995
 01/03  01:00:00,55.39617369850001,3.22568
 01/03  02:00:00,55.3893866462,6.09013630118
 01/03  03:00:00,55.3815857704,6.09021037423
 01/03  04:00:00,56.3261657442,4.04084648223
 01/03  05:00:00,57.807978514700004,7.65949520775
 01/03  06:00:00,57.3584280283,5.095709069150001
 01/03  07:00:00,64.5723675638,531.89712903
 01/03  08:00:00,128.58186681200002,436.16176438400004
 01/03  09:00:00,165.022150992,344.09297939
 01/03  10:00:00,165.01121366200002,276.878000678
 01/03  11:00:00,169.030564709,222.820114915
 01/03  12:00:00,169.593919211,156.992207917
 01/03  13:00:00,168.756692271,138.51619412
 01/03  14:00:00,165.151876223,137.053718205
 01/03  15:00:00,165.172322984,143.845498614
 01/03  16:00:00,162.98130653799998,150.326749896
 01/03  17:00:00,168.588040552,144.500434373
 01/03  18:00:00,128.22006379200002,147.777562719
 01/03  19:00:00,128.223750578,167.07552634200002
 01/03  20:00:00,128.226311487,192.27823679
 01/03  21:00:00,128.228064833,205.71747475900003
 01/03  22:00:00,55.3231402401,11.8605013721
 01/03  23:00:00,55.3619604355,6.09596857291
 01/03  24:00:00,56.15285446,6.09342574189
 01/04  01:00:00,55.386176747600004,6.09021113105
 01/04  02:00:00,55.380823147700006,3.22568
 01/04  03:00:00,56.6877305702,7.34787295359
 01/04  04:00:00,56.4673438517,4.76070034263
 01/04  05:00:00,56.953362266199996,9.13809007001
 01/04  06:00:00,57.792504423800004,30.8011309167
 01/04  07:00:00,64.2921474058,579.266558186
 01/04  08:00:00,128.742223532,484.69055157199995
 01/04  09:00:00,165.04228250399999,383.73365351300004
 01/04  10:00:00,165.022300125,325.25720889400003
 01/04  11:00:00,168.995570064,273.417434257
 01/04  12:00:00,169.75721615700002,212.83076382299998
 01/04  13:00:00,169.03449362799998,188.67620469999997
 01/04  14:00:00,165.061100202,178.29767609200002
 01/04  15:00:00,165.05484965899998,165.138465409
 01/04  16:00:00,163.022139407,160.87164526700002
 01/04  17:00:00,168.608848109,152.92759424
 01/04  18:00:00,128.198658145,201.325749655
 01/04  19:00:00,128.216481603,254.578489112
 01/04  20:00:00,128.446052975,289.496980628
 01/04  21:00:00,128.442215559,305.180092312
 01/04  22:00:00,55.449359235100005,11.8614338359
 01/04  23:00:00,55.3439398603,6.095620353180001
 01/04  24:00:00,56.1388584466,6.0933243484
 01/05  01:00:00,56.1966959412,7.182879452689999
 01/05  02:00:00,56.7450816829,5.8122348287
 01/05  03:00:00,56.4639741972,9.15189590262
 01/05  04:00:00,58.1317335391,35.0490543009
 01/05  05:00:00,58.3881131849,42.145194139699996
 01/05  06:00:00,59.564369017299995,72.1082511779
 01/05  07:00:00,64.3640827968,659.34499545
