Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.5731839753,0.0
 01/02  02:00:00,12.6328784009,0.33602386677900004
 01/02  03:00:00,12.707489481,1.10605028981
 01/02  04:00:00,12.7808450945,1.9289023795099998
 01/02  05:00:00,12.8465546778,2.87562678089
 01/02  06:00:00,12.9563063177,5.14478985502
 01/02  07:00:00,23.7234344887,214.481909147
 01/02  08:00:00,31.7827581698,180.763171604
 01/02  09:00:00,38.3579672145,159.038833966
 01/02  10:00:00,55.8215388989,129.502180738
 01/02  11:00:00,55.684534664,115.03565764700001
 01/02  12:00:00,55.5692061859,99.9482786362
 01/02  13:00:00,55.507741701,93.07441054969999
 01/02  14:00:00,55.4356465746,82.9036397251
 01/02  15:00:00,55.40201146850001,76.186962173
 01/02  16:00:00,55.4198192274,75.25648796819999
 01/02  17:00:00,60.992356444399995,82.4674819774
 01/02  18:00:00,63.803551263,91.19679623020001
 01/02  19:00:00,51.17525532609999,96.91290707809999
 01/02  20:00:00,51.242783529300006,107.37732235799999
 01/02  21:00:00,46.2617231051,113.41076189
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.579067540599999,0.0
 01/03  02:00:00,12.666868188599999,0.7986657540019999
 01/03  03:00:00,12.714790963599999,0.9497778412710001
 01/03  04:00:00,12.8225382426,2.73884740903
 01/03  05:00:00,12.8401904453,2.62076607608
 01/03  06:00:00,12.9463540052,5.14086016867
 01/03  07:00:00,23.7234344887,209.69231125599998
 01/03  08:00:00,31.7387742075,173.996547448
 01/03  09:00:00,38.3527647869,157.65775360799998
 01/03  10:00:00,55.865655125299995,133.998482501
 01/03  11:00:00,55.734230241300004,122.565414359
 01/03  12:00:00,55.6035733273,107.08608044100001
 01/03  13:00:00,55.5358209142,99.1685345416
 01/03  14:00:00,55.4946960446,92.84406997129999
 01/03  15:00:00,55.4956270325,90.8555035618
 01/03  16:00:00,55.5330026467,91.6008830246
 01/03  17:00:00,61.1030709463,98.7302780157
 01/03  18:00:00,63.938944963100006,110.04464848399999
 01/03  19:00:00,51.354672682,121.05534746100001
 01/03  20:00:00,51.4119062012,130.433171436
 01/03  21:00:00,46.409863348500004,134.384341985
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.6265284655,0.6432540597899999
 01/04  01:00:00,12.783738496,2.16545971271
 01/04  02:00:00,12.8824127281,3.34404576482
 01/04  03:00:00,13.032813112000001,6.53528242592
 01/04  04:00:00,13.1111485815,8.111220410960001
 01/04  05:00:00,13.1577842331,8.567331604889999
 01/04  06:00:00,13.2221253477,10.0451944024
 01/04  07:00:00,23.7234344887,229.37950988
 01/04  08:00:00,31.8447307084,194.503520822
 01/04  09:00:00,38.4897711902,173.872069575
 01/04  10:00:00,55.983685183199995,149.18117642200002
 01/04  11:00:00,55.8814001101,139.36050487100002
 01/04  12:00:00,55.7591022642,126.55338912200001
 01/04  13:00:00,55.7212838332,120.005425235
 01/04  14:00:00,55.69203988899999,113.734530545
 01/04  15:00:00,55.671156220200004,109.64403581200001
 01/04  16:00:00,55.6584506856,107.018405058
