Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,163.634721887,198.072979453
 01/01  02:00:00,158.284508969,150.437284607
 01/01  03:00:00,137.925692919,153.721385002
 01/01  04:00:00,131.703006325,145.969507298
 01/01  05:00:00,140.21604078,181.527008748
 01/01  06:00:00,158.960405915,226.151239826
 01/01  07:00:00,242.71846976400002,304.691307666
 01/01  08:00:00,316.923759352,587.9661736730001
 01/01  09:00:00,362.971699586,803.520656826
 01/01  10:00:00,289.074416147,695.1157075110001
 01/01  11:00:00,222.54065958900003,619.391073161
 01/01  12:00:00,210.25143621799998,542.362347385
 01/01  13:00:00,203.68979307400002,486.515388315
 01/01  14:00:00,186.90164085900003,483.84777582
 01/01  15:00:00,191.31662962400003,451.34983587199997
 01/01  16:00:00,186.37594694400002,462.624356939
 01/01  17:00:00,211.234373707,449.485494695
 01/01  18:00:00,246.395918862,432.574027634
 01/01  19:00:00,320.051678257,489.632449149
 01/01  20:00:00,346.04954478199994,550.752487349
 01/01  21:00:00,404.0986409,552.217086526
 01/01  22:00:00,362.98350023300003,519.97253957
 01/01  23:00:00,301.991727954,646.050755539
 01/01  24:00:00,213.303313537,495.742101779
 01/02  01:00:00,151.228557305,199.801234327
 01/02  02:00:00,137.988122984,152.44570524
 01/02  03:00:00,128.273903259,151.355064699
 01/02  04:00:00,126.67882266,149.645519095
 01/02  05:00:00,134.808759374,184.19168977099997
 01/02  06:00:00,171.576524509,295.674084982
 01/02  07:00:00,299.923932553,481.037682715
 01/02  08:00:00,376.97848541,751.0525060680001
 01/02  09:00:00,299.382707005,656.511740058
 01/02  10:00:00,266.577235082,615.08279098
 01/02  11:00:00,200.8595539,568.446777141
 01/02  12:00:00,184.04293660599998,499.66153647199997
 01/02  13:00:00,179.540585056,471.559228683
 01/02  14:00:00,183.38728947,462.58541903199995
 01/02  15:00:00,186.319046816,439.060288871
 01/02  16:00:00,180.95470972799998,492.909822615
 01/02  17:00:00,222.063944273,467.655386702
 01/02  18:00:00,270.687187131,496.69917820800003
 01/02  19:00:00,343.42453653,679.594184075
 01/02  20:00:00,351.883991075,546.744486989
 01/02  21:00:00,384.58302465400004,546.697406951
 01/02  22:00:00,375.141739625,678.0771737480001
 01/02  23:00:00,290.514615676,571.065076827
 01/02  24:00:00,219.21797234299999,434.027883556
 01/03  01:00:00,169.505511832,205.498730546
 01/03  02:00:00,146.049355686,158.56602581
 01/03  03:00:00,131.40413297,153.72803518799998
 01/03  04:00:00,125.829047894,157.934274096
 01/03  05:00:00,134.665781771,188.185442441
 01/03  06:00:00,172.14548850900002,301.741620861
 01/03  07:00:00,300.79495838,489.051159634
 01/03  08:00:00,378.558301777,788.731298952
 01/03  09:00:00,299.406846232,692.829604594
 01/03  10:00:00,258.41422870900004,620.7222137480001
 01/03  11:00:00,181.619032795,578.28006733
 01/03  12:00:00,179.62276249599998,516.862719382
 01/03  13:00:00,179.99693666,491.45686189699995
 01/03  14:00:00,171.961850415,509.06600670800003
 01/03  15:00:00,173.29093154,489.131226384
 01/03  16:00:00,173.73475582400002,468.367967333
 01/03  17:00:00,216.447442968,408.14445147099997
 01/03  18:00:00,266.836691982,410.045066212
