Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,43.2519253556,0.02
 01/01  02:00:00,42.3293272285,0.02
 01/01  03:00:00,45.006053690200005,1.1029838288200002
 01/01  04:00:00,42.7980266094,0.02
 01/01  05:00:00,50.0436189645,1.10304111024
 01/01  06:00:00,48.106245251000004,0.02
 01/01  07:00:00,51.6296186182,1.1030368073799999
 01/01  08:00:00,50.7764761004,0.02
 01/01  09:00:00,33.375920659,1.1030360919
 01/01  10:00:00,24.440799832,0.02
 01/01  11:00:00,24.9037367523,0.02
 01/01  12:00:00,22.3231757949,1.10309960021
 01/01  13:00:00,21.2677568919,1.10307771322
 01/01  14:00:00,18.7713521762,0.02
 01/01  15:00:00,18.7713521762,1.10308880879
 01/01  16:00:00,20.7485576698,0.02
 01/01  17:00:00,35.0348024154,1.1030206585299998
 01/01  18:00:00,39.0862149308,0.02
 01/01  19:00:00,38.7145664043,1.10301675019
 01/01  20:00:00,41.0887591596,0.02
 01/01  21:00:00,40.8437553329,0.02
 01/01  22:00:00,43.650950667,1.1031255467299999
 01/01  23:00:00,45.412333447399995,0.02
 01/01  24:00:00,44.2799170678,1.1029842326700001
 01/02  01:00:00,46.6608642799,0.02
 01/02  02:00:00,48.8660627828,1.10308257169
 01/02  03:00:00,47.1629153811,0.02
 01/02  04:00:00,49.2256314126,1.1030967521700001
 01/02  05:00:00,47.2570074279,0.02
 01/02  06:00:00,51.610004514399996,1.10323342283
 01/02  07:00:00,233.999867507,0.02
 01/02  08:00:00,206.368759272,12.1556594741
 01/02  09:00:00,210.333154518,4.32289994901
 01/02  10:00:00,184.16915494,2.18954753977
 01/02  11:00:00,161.792021221,2.18939092699
 01/02  12:00:00,156.817476173,3.2758738960000002
 01/02  13:00:00,153.46226445899998,3.2772702636699997
 01/02  14:00:00,147.21937681,3.27687245451
 01/02  15:00:00,142.002182934,2.18894810922
 01/02  16:00:00,140.881232325,2.18869067396
 01/02  17:00:00,154.62741481,2.1900666865200002
 01/02  18:00:00,155.807501036,2.26084269104
 01/02  19:00:00,129.999281283,3.8583371592
 01/02  20:00:00,130.616509909,9.04442406001
 01/02  21:00:00,125.301845231,8.77541050906
 01/02  22:00:00,125.84521918200001,6.976323124149999
 01/02  23:00:00,41.6166002114,1.10303019946
 01/02  24:00:00,38.9361841996,0.02
 01/03  01:00:00,38.9361841996,1.10303726249
 01/03  02:00:00,38.9361841996,0.02
 01/03  03:00:00,38.9361841996,1.10303573942
 01/03  04:00:00,38.9361841996,0.02
 01/03  05:00:00,38.9361841996,1.1030325739
 01/03  06:00:00,41.6166002114,0.02
 01/03  07:00:00,149.63174151,1.10313847309
 01/03  08:00:00,145.340762109,1.97026622405
 01/03  09:00:00,163.885717799,2.18900326824
 01/03  10:00:00,147.553087405,2.1893707445599997
 01/03  11:00:00,140.76781825700002,2.1895423838599997
 01/03  12:00:00,138.087261724,3.27546912551
 01/03  13:00:00,142.024553438,3.27730555116
 01/03  14:00:00,137.20905104,3.2763607627599995
 01/03  15:00:00,127.77198633200001,2.1890219912299997
 01/03  16:00:00,126.49738725700001,2.1889355722599997
 01/03  17:00:00,143.194366744,3.27516069182
 01/03  18:00:00,142.33065797700002,1.10416884278
 01/03  19:00:00,118.048275766,2.1877918722
 01/03  20:00:00,117.100999451,1.15120141028
 01/03  21:00:00,107.643960029,1.5476721221599998
 01/03  22:00:00,113.642658831,0.5154621823309999
 01/03  23:00:00,41.6166002114,1.1030974489299998
 01/03  24:00:00,38.9361841996,0.02
 01/04  01:00:00,38.9361841996,1.10303660199
 01/04  02:00:00,38.9361841996,0.02
 01/04  03:00:00,38.9361841996,1.10303387105
 01/04  04:00:00,38.9361841996,0.02
 01/04  05:00:00,38.9361841996,1.10302989296
 01/04  06:00:00,41.6166002114,0.02
 01/04  07:00:00,125.110311905,1.1032333408700001
 01/04  08:00:00,128.47553313,3.56868946067
 01/04  09:00:00,155.095952237,2.7256630056700004
 01/04  10:00:00,141.103785478,2.18942784492
 01/04  11:00:00,131.68058598,3.27448428622
 01/04  12:00:00,129.786795001,2.1906523242700002
 01/04  13:00:00,135.345443382,3.27705724017
 01/04  14:00:00,133.076567393,3.2772496102499997
 01/04  15:00:00,128.642535655,3.2739713478099994
 01/04  16:00:00,122.795950814,1.1045992173299999
 01/04  17:00:00,138.042889764,3.2751256909099995
 01/04  18:00:00,137.03415897,2.1881694989700002
 01/04  19:00:00,105.51191223100001,1.10392340652
 01/04  20:00:00,103.903436695,1.1035712487
 01/04  21:00:00,94.23085072,1.10358465951
 01/04  22:00:00,95.98486560799999,1.1031817429100002
 01/04  23:00:00,41.6166002114,0.02
 01/04  24:00:00,38.9361841996,1.10302830129
 01/05  01:00:00,38.9361841996,0.02
 01/05  02:00:00,38.9361841996,1.10303777006
 01/05  03:00:00,38.9361841996,0.02
 01/05  04:00:00,38.9361841996,1.1030356559999999
 01/05  05:00:00,38.9361841996,0.02
 01/05  06:00:00,41.6166002114,1.1031656788500002
 01/05  07:00:00,105.682179545,0.02
 01/05  08:00:00,115.593584944,2.18718847425
 01/05  09:00:00,146.92310632,2.1889204042299997
