Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,40.4785655223,47.739742828000004
 01/01  02:00:00,41.8160038577,54.88467809270001
 01/01  03:00:00,38.946169475,55.6750254604
 01/01  04:00:00,40.1645233152,56.3271820812
 01/01  05:00:00,42.5120933602,50.4214042634
 01/01  06:00:00,47.4235369161,61.6675231404
 01/01  07:00:00,66.1831797469,54.6257531429
 01/01  08:00:00,78.5362684991,64.5060477074
 01/01  09:00:00,94.74276624459999,75.2618116233
 01/01  10:00:00,80.0194845886,91.27402402930001
 01/01  11:00:00,57.2429492779,83.9846812567
 01/01  12:00:00,54.8126072041,75.6348858586
 01/01  13:00:00,54.4623328665,72.9292440901
 01/01  14:00:00,53.857111374,69.8713531208
 01/01  15:00:00,53.40634917770001,70.1860905394
 01/01  16:00:00,52.408227487299996,70.3075443005
 01/01  17:00:00,61.7533464531,49.934641454099996
 01/01  18:00:00,71.0077290262,25.8889738809
 01/01  19:00:00,84.57034736899999,31.7716692192
 01/01  20:00:00,85.3035232396,26.6295960223
 01/01  21:00:00,91.4548640625,36.6355074499
 01/01  22:00:00,89.0326617856,42.1671493764
 01/01  23:00:00,66.537303665,53.503787105600004
 01/01  24:00:00,45.3099946523,48.8865735948
 01/02  01:00:00,39.4439982655,54.3511155304
 01/02  02:00:00,39.9516329154,56.938398928699996
 01/02  03:00:00,39.8917034367,58.1724274916
 01/02  04:00:00,41.4266315184,53.9137966561
 01/02  05:00:00,44.3712671302,61.3045750554
 01/02  06:00:00,52.46071946560001,66.7749545387
 01/02  07:00:00,78.3071876039,71.432475533
 01/02  08:00:00,92.8735706484,67.5788112222
 01/02  09:00:00,78.68045762310001,76.3561012593
 01/02  10:00:00,74.1418363065,80.0388937486
 01/02  11:00:00,57.3536819983,82.0537955211
 01/02  12:00:00,56.171696116899994,72.24648989970001
 01/02  13:00:00,55.073759262399996,68.8523673595
 01/02  14:00:00,54.613034113599994,67.9658636363
 01/02  15:00:00,54.089402731999996,68.3432785534
 01/02  16:00:00,53.1767033362,69.4502144914
 01/02  17:00:00,62.734389933100005,51.7076034791
 01/02  18:00:00,75.0018989143,35.5964157461
 01/02  19:00:00,80.5541191872,51.7849087808
 01/02  20:00:00,82.91534453130001,49.07180232899999
 01/02  21:00:00,91.20498422860001,45.1059480567
 01/02  22:00:00,85.86980871989999,55.7128665481
 01/02  23:00:00,62.3489771818,53.3457409114
 01/02  24:00:00,45.775953818299996,48.7590826196
 01/03  01:00:00,42.135650271799996,49.167581274300005
 01/03  02:00:00,41.4777924478,49.7141080662
 01/03  03:00:00,40.4997421434,44.8074745486
 01/03  04:00:00,41.2408068942,51.428472653
 01/03  05:00:00,44.8247227857,56.9498987075
 01/03  06:00:00,53.6456172458,66.41734542489999
 01/03  07:00:00,78.8771294696,66.9077872636
 01/03  08:00:00,93.0041532147,74.28713737439999
 01/03  09:00:00,78.9995209018,69.0771601113
 01/03  10:00:00,74.1900358989,83.8468866614
 01/03  11:00:00,57.626087851099996,81.3595818926
 01/03  12:00:00,56.24494671229999,72.60836749090001
 01/03  13:00:00,54.4637847588,69.3596828964
 01/03  14:00:00,53.864041660699996,67.330347327
 01/03  15:00:00,54.1364576758,68.9910955606
 01/03  16:00:00,53.17969442850001,69.4702508455
 01/03  17:00:00,62.7392989243,51.2730765521
 01/03  18:00:00,74.9404237982,34.8513928554
 01/03  19:00:00,80.5542018092,51.400225651499994
 01/03  20:00:00,82.6829190959,41.3795678245
 01/03  21:00:00,91.00550370280001,49.06998621020001
 01/03  22:00:00,85.7115282455,55.3359357272
 01/03  23:00:00,61.980843405,51.230047246400005
 01/03  24:00:00,46.158264869499995,49.748517301999996
 01/04  01:00:00,42.6612330321,50.610289645200005
 01/04  02:00:00,41.9076320391,50.4588963129
 01/04  03:00:00,41.0457612484,45.326464574
 01/04  04:00:00,41.6482639154,50.9178238711
 01/04  05:00:00,43.8572696258,51.531184699899995
 01/04  06:00:00,50.9103062264,55.3586339313
 01/04  07:00:00,75.8274917558,54.000577681
 01/04  08:00:00,90.7428900005,64.92614805
 01/04  09:00:00,76.1085419609,61.2634591721
 01/04  10:00:00,71.1637516551,75.929079377
 01/04  11:00:00,55.149294402799995,75.2917892074
 01/04  12:00:00,54.7466072076,68.5001028767
 01/04  13:00:00,54.053825036000006,66.7248530343
 01/04  14:00:00,53.5090948828,64.98234401229999
 01/04  15:00:00,53.08975291229999,64.7120865878
 01/04  16:00:00,52.5518783727,66.5092247518
 01/04  17:00:00,62.475245530600006,49.7042942437
 01/04  18:00:00,74.6952179191,33.8101632763
 01/04  19:00:00,80.0124046042,49.1826481619
 01/04  20:00:00,81.9254930604,39.0178741459
 01/04  21:00:00,90.5837930025,47.1168912842
 01/04  22:00:00,85.3773269834,53.369749102200004
 01/04  23:00:00,61.1676391508,48.5224230851
 01/04  24:00:00,44.4745396613,43.8372843409
 01/05  01:00:00,40.7973823138,44.8427684471
 01/05  02:00:00,40.0869665027,45.63074893180001
 01/05  03:00:00,38.8339150355,39.792648586599995
 01/05  04:00:00,39.1968148875,45.5805986096
 01/05  05:00:00,41.2756320141,46.561997374300006
 01/05  06:00:00,48.5071874046,51.1624331436
 01/05  07:00:00,73.8295558713,50.1465801992
 01/05  08:00:00,89.2941293211,60.993459181300004
 01/05  09:00:00,74.4949364119,59.740890606
 01/05  10:00:00,69.9014524441,76.0723603296
 01/05  11:00:00,53.839562569799995,75.2461254642
 01/05  12:00:00,53.624643329499996,68.7367985986
 01/05  13:00:00,53.004962602700004,66.8011279513
 01/05  14:00:00,52.5140585408,65.3095188019
 01/05  15:00:00,52.2810321382,65.91840521569999
 01/05  16:00:00,51.5477568859,66.8616225706
 01/05  17:00:00,61.6565852337,50.598726865399996
 01/05  18:00:00,74.4334741623,36.804322307199996
 01/05  19:00:00,79.7848766425,52.5135005724
 01/05  20:00:00,81.68645924890001,45.804192300100006
 01/05  21:00:00,90.5632133007,40.596977843699996
 01/05  22:00:00,85.40508456069999,52.2828110296
 01/05  23:00:00,60.9035148381,48.0194486204
 01/05  24:00:00,44.5390130128,46.5291457958
 01/06  01:00:00,42.046185531599995,51.6230645108
 01/06  02:00:00,41.879302821399996,53.1810831684
 01/06  03:00:00,40.7031053278,51.8944747842
 01/06  04:00:00,38.560247854699995,34.120756241799995
 01/06  05:00:00,38.5745474832,31.0607586023
 01/06  06:00:00,45.42159113100001,34.7023575315
 01/06  07:00:00,71.4311245734,40.798025588499996
 01/06  08:00:00,89.1079599151,40.0716648518
 01/06  09:00:00,70.9979561952,52.139341091800006
 01/06  10:00:00,66.36709135310001,56.5079485026
 01/06  11:00:00,49.5494162311,62.2849428759
 01/06  12:00:00,49.8487187655,57.8152892026
 01/06  13:00:00,49.518554413000004,53.076494115200006
 01/06  14:00:00,49.329754872399995,52.6298485112
 01/06  15:00:00,49.063822978800005,55.6879491293
 01/06  16:00:00,48.669541940500004,61.5558752334
 01/06  17:00:00,59.0193674777,48.9589537751
 01/06  18:00:00,73.25636325859999,43.276845862600005
 01/06  19:00:00,79.9520386574,51.27060360270001
 01/06  20:00:00,82.4744649133,53.7323159239
 01/06  21:00:00,91.10425857930001,56.6795910029
 01/06  22:00:00,85.90361826709999,56.1021687588
 01/06  23:00:00,62.2666625155,53.575251698500004
 01/06  24:00:00,44.1455458427,48.540783124300006
 01/07  01:00:00,42.4221266402,51.00000091890001
 01/07  02:00:00,43.55096239149999,52.3308691801
 01/07  03:00:00,40.1100784032,52.962346548
 01/07  04:00:00,40.998031993000005,54.16306075479999
 01/07  05:00:00,43.8510447754,51.467769725
 01/07  06:00:00,49.3811654079,65.218619391
 01/07  07:00:00,68.02906112710001,57.846467976199996
 01/07  08:00:00,79.444577438,65.82142784930001
 01/07  09:00:00,95.4754032666,77.9679254854
 01/07  10:00:00,81.13416041010001,90.20551926370001
 01/07  11:00:00,58.4213705362,84.0456282563
 01/07  12:00:00,54.607719762200006,74.43786065319999
 01/07  13:00:00,53.609202533,70.9714858808
 01/07  14:00:00,52.8006945271,72.95715607609999
 01/07  15:00:00,51.76128688359999,65.7595270754
 01/07  16:00:00,51.551234534799995,69.8843296667
 01/07  17:00:00,62.9101840828,57.5405519924
 01/07  18:00:00,73.5895738326,45.9203786376
 01/07  19:00:00,86.767403304,53.40078258850001
 01/07  20:00:00,86.6408916899,61.0018102448
 01/07  21:00:00,91.9555518792,62.5598241793
 01/07  22:00:00,90.2759495624,64.2462493813
 01/07  23:00:00,70.9705296077,65.6210696069
 01/07  24:00:00,52.4507901108,66.8457115259
 01/08  01:00:00,48.955306649899995,64.4304469852
 01/08  02:00:00,50.1390921582,58.6543228428
 01/08  03:00:00,46.2881613168,62.2158082132
 01/08  04:00:00,46.226398081400006,59.587675884700005
 01/08  05:00:00,48.22961477850001,59.380923529899995
 01/08  06:00:00,52.9413167575,59.3057511957
 01/08  07:00:00,71.7642068186,66.1388825654
 01/08  08:00:00,83.2902637164,66.1475802841
 01/08  09:00:00,97.1582170969,85.0384206227
 01/08  10:00:00,82.0540359824,85.7578437863
 01/08  11:00:00,58.5230102508,79.9360822568
 01/08  12:00:00,55.5555128325,76.7986108371
 01/08  13:00:00,54.45761193479999,69.65077763810001
 01/08  14:00:00,53.651238899700004,67.05226602649999
 01/08  15:00:00,53.207607549799995,67.5337284953
 01/08  16:00:00,52.793161418400004,69.83999787180001
 01/08  17:00:00,63.255551916499996,53.9022557637
 01/08  18:00:00,73.2205614967,39.979419663200005
 01/08  19:00:00,85.5357386237,49.7286973483
 01/08  20:00:00,85.33282666720001,42.9580586365
 01/08  21:00:00,91.12799624440001,48.7506289842
 01/08  22:00:00,88.8460216493,48.0765915291
 01/08  23:00:00,66.8446309251,53.9228323459
 01/08  24:00:00,46.1073441474,42.0632225307
 01/09  01:00:00,39.9466985205,42.0472414194
 01/09  02:00:00,39.2326880994,42.4071639276
 01/09  03:00:00,37.7904517097,42.1215087568
 01/09  04:00:00,37.9386217492,36.2698839146
 01/09  05:00:00,39.694938613400005,42.266236000999996
 01/09  06:00:00,46.9325365204,47.08591968819999
 01/09  07:00:00,72.854652477,51.584975944300005
 01/09  08:00:00,89.8241612338,48.9268264295
 01/09  09:00:00,72.5490722948,59.9426877104
 01/09  10:00:00,68.03312222859999,70.45911920649999
 01/09  11:00:00,52.0080147559,64.6172433376
 01/09  12:00:00,51.8486599168,64.0885721464
 01/09  13:00:00,51.2362587208,62.295217684099995
 01/09  14:00:00,50.888641497600005,60.7865545186
 01/09  15:00:00,50.6402066185,61.042626963500005
 01/09  16:00:00,50.138398367,62.5528024949
 01/09  17:00:00,59.9458883968,45.36456546
 01/09  18:00:00,72.646064335,35.008322210799996
 01/09  19:00:00,79.1170866038,39.0820738822
 01/09  20:00:00,81.852395913,39.6715515239
 01/09  21:00:00,90.9040349712,41.1965191561
 01/09  22:00:00,85.58343578680001,46.8593542674
 01/09  23:00:00,60.757690011,41.6280755892
 01/09  24:00:00,41.128768178099996,37.3937133523
 01/10  01:00:00,37.4150647619,38.1898834261
 01/10  02:00:00,36.776496347,32.9480942459
 01/10  03:00:00,35.629811709,39.3606250454
 01/10  04:00:00,36.0392172859,39.8344865915
 01/10  05:00:00,37.943215230999996,40.182659669
 01/10  06:00:00,45.3105856388,39.2922170248
 01/10  07:00:00,71.83001704729999,49.57922344479999
 01/10  08:00:00,89.8626400835,52.98958992359999
 01/10  09:00:00,71.4832887311,53.183949287
 01/10  10:00:00,67.2387143383,70.6391526008
 01/10  11:00:00,51.218291334899995,70.4697821441
 01/10  12:00:00,51.1302711058,63.84405734479999
 01/10  13:00:00,50.8333136874,62.63240244479999
 01/10  14:00:00,50.6680620918,61.4718320018
 01/10  15:00:00,50.1530306972,61.0726310365
 01/10  16:00:00,49.676479871400005,62.8025975869
 01/10  17:00:00,59.7139781818,45.9860051358
 01/10  18:00:00,72.40608356979999,29.336015745
 01/10  19:00:00,79.08310954550001,45.334410052799996
 01/10  20:00:00,81.8710907616,41.3005100238
 01/10  21:00:00,90.94096507180001,38.0906368065
 01/10  22:00:00,85.6379199341,45.40868940399999
 01/10  23:00:00,60.732109003299996,35.4851327999
 01/10  24:00:00,40.9822044996,35.3794634825
 01/11  01:00:00,37.7265764488,39.3396948257
 01/11  02:00:00,37.5740177489,42.1223422031
 01/11  03:00:00,36.9538336962,44.8271052443
 01/11  04:00:00,38.2033149154,42.2421731922
 01/11  05:00:00,40.9723786556,50.496222417700004
 01/11  06:00:00,49.054686196300004,56.7063740105
 01/11  07:00:00,74.827461122,61.0656493863
 01/11  08:00:00,90.203645881,57.376680721999996
 01/11  09:00:00,74.3526299245,65.7093756477
 01/11  10:00:00,69.003373182,73.14194993390001
 01/11  11:00:00,51.7106639457,64.3382886402
 01/11  12:00:00,51.4212549367,59.958538456899994
 01/11  13:00:00,50.646979138599995,55.1505968709
 01/11  14:00:00,49.998657952100004,53.9737989251
 01/11  15:00:00,49.71914850939999,53.905184116899996
 01/11  16:00:00,49.0758222144,62.463702217299996
 01/11  17:00:00,58.8948968771,36.7067639677
 01/11  18:00:00,72.9355590208,36.624345877399996
 01/11  19:00:00,79.541629069,43.4725211217
 01/11  20:00:00,82.2123845248,45.7270709969
 01/11  21:00:00,91.1249253189,48.3599553865
 01/11  22:00:00,85.8735403635,55.4464735501
 01/11  23:00:00,61.56646222649999,50.5979052646
 01/11  24:00:00,43.2037602391,46.0499828434
 01/12  01:00:00,39.3824146522,47.9527505654
 01/12  02:00:00,39.2267291487,48.6430635057
 01/12  03:00:00,37.9278910714,40.9798924316
 01/12  04:00:00,38.8642807751,48.1722031735
 01/12  05:00:00,41.3651921027,50.5561402859
 01/12  06:00:00,49.44825828729999,58.1163651699
 01/12  07:00:00,75.8625706346,59.0562838696
 01/12  08:00:00,91.3652699181,69.27688708069999
 01/12  09:00:00,76.5045517771,66.4515926368
 01/12  10:00:00,71.45143289149999,80.657780171
 01/12  11:00:00,54.576916055,76.87043940630001
 01/12  12:00:00,53.247173220600004,66.99060666390001
 01/12  13:00:00,52.15242138,64.2549625874
 01/12  14:00:00,51.290111751800005,61.891807733
 01/12  15:00:00,50.430673096599996,61.1005216025
 01/12  16:00:00,49.660954119799996,62.2858710687
 01/12  17:00:00,58.001860228199995,47.726988794200004
 01/12  18:00:00,73.7745104912,41.6605689052
 01/12  19:00:00,80.3565641316,49.367121813000004
 01/12  20:00:00,82.85924439520001,52.7989046286
 01/12  21:00:00,91.2888407798,55.0642029112
 01/12  22:00:00,86.0643847008,55.466390798599996
 01/12  23:00:00,62.9101838299,57.1504582322
 01/12  24:00:00,46.745565328999994,58.9027133476
 01/13  01:00:00,44.394574348599996,57.2337892403
 01/13  02:00:00,44.759646447200005,54.77550014609999
 01/13  03:00:00,44.3025987446,61.6160547909
 01/13  04:00:00,45.555638022299995,62.948783695
 01/13  05:00:00,48.2231640244,63.8538368383
 01/13  06:00:00,56.017556856400006,63.090428663199994
 01/13  07:00:00,80.821658348,73.4978940292
 01/13  08:00:00,95.11770398770001,76.8062977281
 01/13  09:00:00,81.59782803520001,73.7331679521
 01/13  10:00:00,76.5932527604,88.53028114860001
 01/13  11:00:00,60.46546400770001,86.62831418620002
 01/13  12:00:00,59.878342511099994,79.3602160697
 01/13  13:00:00,58.17664773640001,75.3495619464
 01/13  14:00:00,56.5228329218,72.28558355199999
 01/13  15:00:00,55.4130412448,70.8306805163
 01/13  16:00:00,54.5938488585,71.708760573
 01/13  17:00:00,62.6899007239,55.356401921199996
 01/13  18:00:00,76.74821835590001,40.1112303653
 01/13  19:00:00,81.9827340793,55.595932779799995
 01/13  20:00:00,83.6285907895,50.6154745496
 01/13  21:00:00,91.253552374,46.8245254105
 01/13  22:00:00,85.8206401249,58.92094187399999
 01/13  23:00:00,63.6882470245,55.2327025766
 01/13  24:00:00,47.534365684399994,51.5797538884
 01/14  01:00:00,45.060880968999996,52.6036157024
 01/14  02:00:00,45.8534352641,53.36503974439999
 01/14  03:00:00,42.919187571100004,55.4034271414
 01/14  04:00:00,44.409009507200004,52.5623055704
 01/14  05:00:00,46.6654310309,58.840293414099996
 01/14  06:00:00,51.3098203651,63.6048098549
 01/14  07:00:00,69.5281976061,55.337557009799994
 01/14  08:00:00,80.27654071810001,63.317410951999996
 01/14  09:00:00,95.23331349520001,79.9754609882
 01/14  10:00:00,81.3676513769,83.57361502239999
 01/14  11:00:00,59.248231517600004,80.2313563762
 01/14  12:00:00,55.7741406257,76.3220179335
 01/14  13:00:00,53.7925501715,67.4993062118
 01/14  14:00:00,52.999313023999996,63.8323589059
 01/14  15:00:00,52.776119018500005,65.1340628128
 01/14  16:00:00,52.56290916729999,68.1410065095
 01/14  17:00:00,61.0273962362,52.0557633409
 01/14  18:00:00,72.5374383982,37.332764173499996
 01/14  19:00:00,85.0789064421,43.43072177810001
 01/14  20:00:00,84.99644374569999,51.880274084300005
 01/14  21:00:00,90.8038500046,53.7906886913
 01/14  22:00:00,88.8117020377,52.2299789213
 01/14  23:00:00,67.2517700301,57.9947606478
 01/14  24:00:00,48.692622399499996,50.21132982060001
 01/15  01:00:00,44.080493476499996,51.740931700299996
 01/15  02:00:00,44.5936440499,51.207375138500005
 01/15  03:00:00,41.2756452549,52.1091081544
 01/15  04:00:00,41.9396598386,46.510738274
 01/15  05:00:00,43.8786619542,52.103209820500005
 01/15  06:00:00,48.6312415616,52.2498636148
 01/15  07:00:00,67.1316741777,57.3855327818
 01/15  08:00:00,78.8322927913,62.5949174596
 01/15  09:00:00,93.9469012394,72.73379307729999
 01/15  10:00:00,79.4028046363,86.84185504959999
 01/15  11:00:00,57.1680130654,79.6298069129
 01/15  12:00:00,54.8281607222,78.35205866369999
 01/15  13:00:00,54.4117601163,71.3668342598
 01/15  14:00:00,53.675960251899994,68.6374524755
 01/15  15:00:00,53.0860818615,68.3036333848
 01/15  16:00:00,52.4252391361,69.3659131613
 01/15  17:00:00,60.6583825325,51.7155516382
 01/15  18:00:00,71.5614677631,34.273719014
 01/15  19:00:00,84.1490523666,37.9348441163
 01/15  20:00:00,84.6556700542,44.1026014804
 01/15  21:00:00,90.7870124072,44.501335394799995
 01/15  22:00:00,88.5133253457,45.0528040145
 01/15  23:00:00,66.1319324311,50.918191458500004
 01/15  24:00:00,44.379075637700005,40.2067637042
 01/16  01:00:00,39.7797007548,41.159684023400004
 01/16  02:00:00,40.6741810063,42.5988142246
 01/16  03:00:00,36.9361658614,42.8441155052
 01/16  04:00:00,37.3944140745,37.20871044
 01/16  05:00:00,39.1704543125,42.46978289
 01/16  06:00:00,43.6666524459,42.1227996956
 01/16  07:00:00,62.446309947399996,47.8806953435
 01/16  08:00:00,74.641895682,51.996469302399994
 01/16  09:00:00,92.81142977729999,63.2875909875
 01/16  10:00:00,76.4071221819,79.438608835
 01/16  11:00:00,54.290029931899994,73.5284756791
 01/16  12:00:00,52.0085694867,72.6440207821
 01/16  13:00:00,51.981661982700004,66.8701710853
 01/16  14:00:00,51.863978923599994,65.1450734851
 01/16  15:00:00,51.602331066000005,65.2479793759
 01/16  16:00:00,51.1905393626,66.39640918090001
 01/16  17:00:00,59.3999180076,48.1007453466
 01/16  18:00:00,70.5176048242,30.256424365500003
 01/16  19:00:00,83.90755567069999,33.6555476312
 01/16  20:00:00,84.7684564978,39.821998122
 01/16  21:00:00,90.97859710040001,36.97440668
 01/16  22:00:00,88.574862449,36.2147441246
 01/16  23:00:00,65.9532852867,40.9734748997
 01/16  24:00:00,42.824343126900004,28.5527693522
 01/17  01:00:00,35.4523655734,28.8270927602
 01/17  02:00:00,33.9607043033,28.4866471473
 01/17  03:00:00,32.4203777158,28.9257521552
 01/17  04:00:00,32.6925413807,23.1019179359
 01/17  05:00:00,34.3041438818,27.9063231375
 01/17  06:00:00,41.625446546599996,32.8485148527
 01/17  07:00:00,71.5931947792,38.9712011293
 01/17  08:00:00,89.8300814675,37.2298560451
 01/17  09:00:00,70.9251525977,49.46824277859999
 01/17  10:00:00,66.1803592258,60.2653772159
 01/17  11:00:00,48.07648616229999,53.5131593763
 01/17  12:00:00,48.1358588937,53.275050989200004
 01/17  13:00:00,47.936596933400004,58.0013868578
 01/17  14:00:00,47.911603972799995,53.1611640068
 01/17  15:00:00,47.8794074844,55.2970408062
 01/17  16:00:00,47.5529559379,57.821175095600005
 01/17  17:00:00,55.8052513677,41.0942295204
 01/17  18:00:00,72.3569777558,24.4106713615
 01/17  19:00:00,79.5608430061,38.7116028398
 01/17  20:00:00,82.4202456483,34.8001958955
 01/17  21:00:00,91.38915154530001,33.7736229885
 01/17  22:00:00,86.01885470020001,47.0463989216
 01/17  23:00:00,60.9116198158,42.265257691
 01/17  24:00:00,40.6823714836,36.910950845100004
 01/18  01:00:00,35.6542682042,37.0382696856
 01/18  02:00:00,34.405533633299996,37.4860025901
 01/18  03:00:00,33.0256697282,38.182815846
 01/18  04:00:00,33.568130766100005,33.0428161365
 01/18  05:00:00,35.7154548442,39.1986578026
 01/18  06:00:00,43.4241970479,44.9087063343
 01/18  07:00:00,72.31060269529999,49.9331011895
 01/18  08:00:00,90.1564559189,47.523083527
 01/18  09:00:00,71.413391676,58.740825681400004
 01/18  10:00:00,66.4059491783,69.7431587642
 01/18  11:00:00,49.05937575,62.9668412835
 01/18  12:00:00,48.9321979834,67.8962195381
 01/18  13:00:00,48.6236916171,59.4796405351
 01/18  14:00:00,48.642725731400006,58.532019547
 01/18  15:00:00,48.2367822642,51.200057049099996
 01/18  16:00:00,47.83342403020001,48.1755774439
 01/18  17:00:00,56.0301434382,31.052543168699998
 01/18  18:00:00,72.985537736,13.968098477
 01/18  19:00:00,80.2301592566,29.1306532692
 01/18  20:00:00,83.23979994300001,22.813822572
 01/18  21:00:00,92.6417456783,16.0166892053
 01/18  22:00:00,87.4815872626,27.4386585051
 01/18  23:00:00,61.9818035342,22.613916481700002
 01/18  24:00:00,40.950923354299995,18.8516139256
 01/19  01:00:00,35.507908132,19.7729435824
 01/19  02:00:00,33.6574922475,22.5272756811
 01/19  03:00:00,31.573803224200002,24.1775755459
 01/19  04:00:00,31.560527829699996,24.358742163400002
 01/19  05:00:00,33.1682985737,29.190069174899996
 01/19  06:00:00,40.875614955900005,30.4870890936
 01/19  07:00:00,72.2557557848,40.2825002715
 01/19  08:00:00,90.37641440899999,38.5053615478
