Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,261.984680616,802.7240000319999
 01/01  02:00:00,257.943691677,706.9132471
 01/01  03:00:00,263.19707994,986.9747142739999
 01/01  04:00:00,258.037043746,709.274495481
 01/01  05:00:00,275.483248089,973.6064475710001
 01/01  06:00:00,294.724099422,701.364585094
 01/01  07:00:00,348.81825609,960.083693271
 01/01  08:00:00,350.98056754699996,700.707057371
 01/01  09:00:00,321.776386318,830.813870674
 01/01  10:00:00,279.804355838,505.41723691
 01/01  11:00:00,235.877633644,623.62058649
 01/01  12:00:00,230.773261078,422.92358496
 01/01  13:00:00,235.67117619299998,522.589074459
 01/01  14:00:00,230.602951624,349.720228263
 01/01  15:00:00,235.473863787,441.53168988
 01/01  16:00:00,230.498461932,302.78658298700003
 01/01  17:00:00,318.595917938,494.22092451300006
 01/01  18:00:00,367.47896962699997,424.035672046
 01/01  19:00:00,372.573752609,680.120582649
 01/01  20:00:00,343.149397873,523.6531983890001
 01/01  21:00:00,348.25370115,777.976851004
 01/01  22:00:00,318.785838815,580.402232795
 01/01  23:00:00,299.46794338,836.45787274
 01/01  24:00:00,269.959390749,608.033374356
 01/02  01:00:00,312.68521262900003,841.960693284
 01/02  02:00:00,307.606640194,606.707348918
 01/02  03:00:00,312.792684042,878.9298749530001
 01/02  04:00:00,307.702315589,637.920952639
 01/02  05:00:00,325.097115397,887.551313938
 01/02  06:00:00,369.295135536,622.363667292
 01/02  07:00:00,433.806067286,3212.5569864
 01/02  08:00:00,546.695046991,4434.987499600001
 01/02  09:00:00,1058.58084226,2866.94810388
 01/02  10:00:00,1021.20418187,2305.3129778
 01/02  11:00:00,971.633687165,1891.28054281
 01/02  12:00:00,970.02670523,1640.00206516
 01/02  13:00:00,918.238407544,1409.12750398
 01/02  14:00:00,966.6638147,1255.03500806
 01/02  15:00:00,966.344454261,1217.40226192
 01/02  16:00:00,966.031178775,1125.76379113
 01/02  17:00:00,1049.51225737,1318.64184984
 01/02  18:00:00,954.4927623189999,1510.50936869
 01/02  19:00:00,756.0818827510001,1755.20366669
 01/02  20:00:00,732.133450015,1742.27723357
 01/02  21:00:00,583.4549013,1923.75775952
 01/02  22:00:00,560.448368435,2042.54207077
 01/02  23:00:00,350.153274614,5.91292513456
 01/02  24:00:00,317.44420976,30.697532002600003
 01/03  01:00:00,310.701613016,69.4186068754
 01/03  02:00:00,307.239952735,93.4861278307
 01/03  03:00:00,311.312141953,157.294124707
 01/03  04:00:00,307.40760594,204.400977166
 01/03  05:00:00,323.68551302,279.794809229
 01/03  06:00:00,369.03952339800003,266.486578129
 01/03  07:00:00,430.74889511599997,1806.04682732
 01/03  08:00:00,543.964835203,3506.26172079
 01/03  09:00:00,1055.95853803,1809.57098846
 01/03  10:00:00,1016.87881179,1298.99488761
 01/03  11:00:00,966.699235695,1115.32857605
 01/03  12:00:00,966.033999328,996.7991039330001
 01/03  13:00:00,915.7738983160001,963.17776396
 01/03  14:00:00,965.1122290430001,832.630542566
 01/03  15:00:00,965.2185828519999,911.7867157139999
 01/03  16:00:00,965.595043808,1027.47942453
 01/03  17:00:00,1040.55030848,1145.67302622
 01/03  18:00:00,955.008944915,1525.38488125
 01/03  19:00:00,757.895196841,1663.96655117
 01/03  20:00:00,734.956837381,1673.08671235
 01/03  21:00:00,585.873365196,1770.38028099
 01/03  22:00:00,561.471761274,1854.54108592
 01/03  23:00:00,350.55184323099996,4.34861474864
 01/03  24:00:00,320.64105608299997,41.6080871057
 01/04  01:00:00,306.786465793,68.2954629083
 01/04  02:00:00,311.320088335,141.351460564
 01/04  03:00:00,307.40441313599996,172.547854713
 01/04  04:00:00,311.54079903,296.118964078
 01/04  05:00:00,319.795774488,296.919901133
 01/04  06:00:00,373.32279476400004,444.665280512
 01/04  07:00:00,430.821114014,1790.7736149999998
 01/04  08:00:00,544.785442986,3688.89633486
 01/04  09:00:00,1057.90933556,2300.37633539
 01/04  10:00:00,1021.03280509,2066.64749577
 01/04  11:00:00,971.990231163,1943.60792025
 01/04  12:00:00,971.8671454089999,1829.11947171
 01/04  13:00:00,922.0437351530001,1808.51039897
 01/04  14:00:00,971.736693815,1682.2177635000003
 01/04  15:00:00,971.656327025,1570.75136575
 01/04  16:00:00,971.6978997030001,1583.58767317
 01/04  17:00:00,1046.34333998,1708.85701424
 01/04  18:00:00,959.292390035,1879.83169757
 01/04  19:00:00,760.151352478,2093.37927377
 01/04  20:00:00,735.7627024430001,2184.95793031
 01/04  21:00:00,586.419172061,2334.85932563
 01/04  22:00:00,561.992374511,2380.81716415
 01/04  23:00:00,362.12273176699995,45.0804037651
 01/04  24:00:00,323.64214042099997,158.748619824
 01/05  01:00:00,307.60620412099996,251.859789888
 01/05  02:00:00,311.816758657,391.670649229
 01/05  03:00:00,307.821916788,402.735611194
 01/05  04:00:00,312.092801245,569.661394451
 01/05  05:00:00,320.211453825,501.624534612
 01/05  06:00:00,373.862784098,662.783420577
 01/05  07:00:00,431.545729171,1942.98996238
 01/05  08:00:00,545.323645406,3798.93597153
 01/05  09:00:00,1058.22463129,2533.09712866
 01/05  10:00:00,1021.10383729,2148.04811829
 01/05  11:00:00,972.0122821030001,1956.66101579
 01/05  12:00:00,971.875734283,1804.29028289
 01/05  13:00:00,922.063845004,1798.4747267
 01/05  14:00:00,971.727371743,1659.51379479
 01/05  15:00:00,971.624444557,1523.53149484
 01/05  16:00:00,971.594579972,1463.29605578
 01/05  17:00:00,1046.25014897,1584.14423801
 01/05  18:00:00,959.218138578,1803.59663717
 01/05  19:00:00,760.0707305660001,2030.9917718
 01/05  20:00:00,735.67269685,2125.83404049
 01/05  21:00:00,586.344716876,2287.1485584
 01/05  22:00:00,561.968163981,2378.08157905
 01/05  23:00:00,362.12716026199996,46.4243451482
 01/05  24:00:00,323.654542804,163.270062427
 01/06  01:00:00,307.62022269,249.815813656
 01/06  02:00:00,311.85360153,397.263872
 01/06  03:00:00,307.854279947,407.606592875
 01/06  04:00:00,312.143831334,573.65519907
 01/06  05:00:00,320.233296953,498.23731631699997
 01/06  06:00:00,373.919097244,677.721792625
 01/06  07:00:00,431.65815005400003,1966.65466784
 01/06  08:00:00,545.4843852490001,3859.45263066
 01/06  09:00:00,1058.30860611,2615.4135793
 01/06  10:00:00,1021.17511171,2208.70644535
 01/06  11:00:00,972.03383228,1985.59119278
 01/06  12:00:00,971.8545048860001,1800.40930889
 01/06  13:00:00,921.98555688,1743.73402862
 01/06  14:00:00,971.6338832619999,1575.25980342
 01/06  15:00:00,971.5234007180001,1424.3063935
 01/06  16:00:00,971.498063532,1362.30635647
 01/06  17:00:00,1046.16148514,1477.67489696
 01/06  18:00:00,959.15367893,1740.30437268
 01/06  19:00:00,760.019597756,2001.11362587
 01/06  20:00:00,735.67325591,2148.3069864999998
 01/06  21:00:00,586.381015486,2362.47263713
 01/06  22:00:00,562.010503151,2469.45923322
 01/06  23:00:00,361.594121301,49.7363957227
 01/06  24:00:00,323.668471914,165.904195926
 01/07  01:00:00,257.84755169,272.754696638
 01/07  02:00:00,262.122280647,435.185907523
 01/07  03:00:00,258.058759943,410.83977936699995
 01/07  04:00:00,262.340661603,574.734152533
 01/07  05:00:00,270.415022181,503.478013465
 01/07  06:00:00,299.198496092,692.7191731219999
 01/07  07:00:00,431.63622092800006,1954.22406064
 01/07  08:00:00,445.850205409,3938.0205045000002
 01/07  09:00:00,659.826552012,2807.84212631
 01/07  10:00:00,622.683389538,2370.57242028
 01/07  11:00:00,573.504785218,2120.40382897
 01/07  12:00:00,573.293919513,1927.24133527
 01/07  13:00:00,573.126734135,1760.78595897
 01/07  14:00:00,572.851138729,1603.10875271
 01/07  15:00:00,322.300129747,1519.67460132
 01/07  16:00:00,322.588634536,1678.17422385
 01/07  17:00:00,398.55416557,1846.77099069
 01/07  18:00:00,386.317959705,2056.59895226
 01/07  19:00:00,357.13244512800003,18.1307151057
 01/07  20:00:00,342.62173559400003,51.0955004342
 01/07  21:00:00,346.974404886,109.62236429299999
 01/07  22:00:00,318.62175154,134.537302538
 01/07  23:00:00,298.23548857099996,212.25880586
 01/07  24:00:00,269.840803025,223.105791907
 01/08  01:00:00,261.674843764,308.139657794
 01/08  02:00:00,257.691133739,291.277454632
 01/08  03:00:00,261.779450987,397.460379863
 01/08  04:00:00,257.80895539700003,377.30894461400004
 01/08  05:00:00,274.12404555,480.75157618199995
 01/08  06:00:00,294.535430443,418.57928529199995
 01/08  07:00:00,347.53652404900004,529.30903902
 01/08  08:00:00,350.921161242,497.36835401
 01/08  09:00:00,320.697836025,500.247264513
 01/08  10:00:00,279.91410961099996,371.125659045
 01/08  11:00:00,235.00247466599998,384.120782125
 01/08  12:00:00,230.95347340799998,314.932043162
 01/08  13:00:00,234.91722595599998,336.33400828
 01/08  14:00:00,230.852167378,266.56064407599996
 01/08  15:00:00,234.80444202900003,287.587947646
 01/08  16:00:00,230.76676119400003,226.623043248
 01/08  17:00:00,309.37804380299997,323.044219851
 01/08  18:00:00,367.75273213699995,333.072413582
 01/08  19:00:00,371.88874520699994,466.86936979800004
 01/08  20:00:00,343.454897721,436.857931875
 01/08  21:00:00,347.604252785,575.168536755
 01/08  22:00:00,319.173315849,536.718530473
 01/08  23:00:00,298.88168223599996,661.9228410000001
 01/08  24:00:00,270.436532417,604.401628083
 01/09  01:00:00,312.178993157,703.5529754239999
 01/09  02:00:00,308.223359103,666.087974402
 01/09  03:00:00,312.354857557,754.081227808
 01/09  04:00:00,308.343689301,694.8009125369999
 01/09  05:00:00,324.68100714400003,772.792086236
 01/09  06:00:00,369.97870756099996,696.783404607
 01/09  07:00:00,433.122215971,2677.49720907
 01/09  08:00:00,546.833729321,4346.12879627
 01/09  09:00:00,1058.76545871,2942.82526055
 01/09  10:00:00,1021.46772369,2485.19587185
 01/09  11:00:00,972.23436908,2207.7198704
 01/09  12:00:00,972.0607620389999,2018.37454603
 01/09  13:00:00,922.2106856610001,1984.33203646
 01/09  14:00:00,971.846003631,1817.79894571
 01/09  15:00:00,971.721105456,1662.90822974
 01/09  16:00:00,971.6346994689999,1551.45613826
 01/09  17:00:00,1046.25267554,1605.88472129
 01/09  18:00:00,959.2542728589999,1859.39229507
 01/09  19:00:00,760.077882033,2082.01608978
 01/09  20:00:00,735.7134403839999,2182.03271026
 01/09  21:00:00,586.385938766,2367.23875724
 01/09  22:00:00,561.952965781,2396.329298
 01/09  23:00:00,361.35254182,35.1509353858
 01/09  24:00:00,323.57080903,130.157846558
 01/10  01:00:00,307.53495051,215.671216732
 01/10  02:00:00,311.763265656,358.59973982
 01/10  03:00:00,307.775321259,375.37020746
 01/10  04:00:00,311.983816828,509.733336932
 01/10  05:00:00,320.134085379,464.275073344
 01/10  06:00:00,373.78867630300005,632.001731127
 01/10  07:00:00,431.542009905,1954.94810861
 01/10  08:00:00,545.149591821,3823.81945046
 01/10  09:00:00,1057.98796306,2382.67697384
 01/10  10:00:00,1020.8365402000001,1907.09020031
 01/10  11:00:00,971.695368343,1620.08743912
 01/10  12:00:00,971.3191439010001,1395.57026857
 01/10  13:00:00,919.340120148,1164.27702
 01/10  14:00:00,967.8893643910001,1007.11172929
 01/10  15:00:00,966.9286275689999,996.886919942
 01/10  16:00:00,966.450773116,973.589455963
 01/10  17:00:00,1041.7665703,1173.83323908
 01/10  18:00:00,955.591270298,1322.20958746
 01/10  19:00:00,756.683601309,1380.62482008
 01/10  20:00:00,732.2906937480001,1414.84017531
 01/10  21:00:00,582.22216248,1413.4475005000002
 01/10  22:00:00,556.5967153180001,1306.52651851
 01/10  23:00:00,349.35700343699995,4.36198850782
 01/10  24:00:00,301.981986367,7.93374948265
 01/11  01:00:00,289.367544581,9.039747939889999
 01/11  02:00:00,299.27346856099996,32.1249821462
 01/11  03:00:00,305.214608157,44.569788018100006
 01/11  04:00:00,309.601691563,71.5462569587
 01/11  05:00:00,317.47902124,75.1196755372
 01/11  06:00:00,371.231114934,107.134410395
 01/11  07:00:00,429.61805821400003,1167.84910022
 01/11  08:00:00,537.6655767469999,1948.13840488
 01/11  09:00:00,1051.01506331,1338.0508254000001
 01/11  10:00:00,1014.0101392999999,1082.39888493
 01/11  11:00:00,964.7942438389999,905.589991888
 01/11  12:00:00,964.494531589,765.768059211
 01/11  13:00:00,914.6341540289999,793.8767254310001
 01/11  14:00:00,964.328518104,723.3253082089999
 01/11  15:00:00,964.269110312,699.916986165
 01/11  16:00:00,964.299080645,732.6101587410001
 01/11  17:00:00,1038.86868766,776.8093008110001
 01/11  18:00:00,951.718228495,825.984538873
 01/11  19:00:00,752.3848549080001,857.510145385
 01/11  20:00:00,727.96922019,886.531723557
 01/11  21:00:00,578.67379187,1061.03842429
 01/11  22:00:00,554.305256996,1113.85825885
 01/11  23:00:00,349.35700467099997,2.19103943555
 01/11  24:00:00,299.992245852,4.361968582759999
 01/12  01:00:00,288.961439924,6.9457629829
 01/12  02:00:00,289.360751809,10.1375997108
 01/12  03:00:00,289.76002096900004,15.496373072999999
