Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,109.522217295,109.463909016
 01/02  02:00:00,100.42724816799999,99.2641699789
 01/02  03:00:00,120.09777561700001,127.49332445200001
 01/02  04:00:00,103.52423084700001,103.71992210799999
 01/02  05:00:00,147.286806966,145.233426553
 01/02  06:00:00,174.54615889299998,194.941938135
 01/02  07:00:00,235.181427707,217.153189331
 01/02  08:00:00,245.731615358,197.55380384400002
 01/02  09:00:00,242.05459650900002,180.627600507
 01/02  10:00:00,247.239926038,175.687792186
 01/02  11:00:00,242.02892780599998,152.275474404
 01/02  12:00:00,239.719789543,145.09963888
 01/02  13:00:00,227.20170107299998,135.617118499
 01/02  14:00:00,236.306116292,121.213355381
 01/02  15:00:00,236.25444634599998,125.79434188
 01/02  16:00:00,234.83299954900002,116.511476731
 01/02  17:00:00,242.898402646,133.69453445899998
 01/02  18:00:00,248.676598915,134.058229899
 01/02  19:00:00,154.013361039,88.12477602690001
 01/02  20:00:00,154.477698306,100.315261611
 01/02  21:00:00,134.89461480399999,105.210162739
 01/02  22:00:00,116.698204227,91.1991085094
 01/02  23:00:00,91.93618233069999,81.66905678100001
 01/02  24:00:00,110.251024642,106.31369205200001
 01/03  01:00:00,96.977894366,87.8641622766
 01/03  02:00:00,114.969637645,112.535224005
 01/03  03:00:00,101.24134049700001,93.6437383733
 01/03  04:00:00,118.88085184,117.37326942799999
 01/03  05:00:00,139.75976180799998,131.758877154
 01/03  06:00:00,185.603501483,192.608385924
 01/03  07:00:00,232.624391282,209.276095181
 01/03  08:00:00,244.984200561,193.84719676900002
 01/03  09:00:00,242.56907940099998,191.82504847799999
 01/03  10:00:00,246.849014512,169.09937009700002
 01/03  11:00:00,242.241448259,163.726021058
 01/03  12:00:00,240.97960288299998,142.545148273
 01/03  13:00:00,228.71459178900002,141.202116496
 01/03  14:00:00,236.7717988,132.68433190000002
 01/03  15:00:00,235.350063385,118.935489106
 01/03  16:00:00,234.24379923599997,129.39464756299998
 01/03  17:00:00,243.489257456,128.544449889
 01/03  18:00:00,249.32018470900002,143.483102396
 01/03  19:00:00,153.846526904,88.5246815842
 01/03  20:00:00,154.005878102,92.0059498064
 01/03  21:00:00,134.679045384,105.310177939
 01/03  22:00:00,116.91683779799999,90.7218093428
 01/03  23:00:00,91.7178920677,80.4515169485
 01/03  24:00:00,109.404860647,102.936550093
 01/04  01:00:00,95.63998865479999,83.9089977166
 01/04  02:00:00,112.78136582799999,105.938314316
 01/04  03:00:00,98.5692123302,85.9715987878
 01/04  04:00:00,115.234642515,108.099847415
 01/04  05:00:00,135.032159642,121.92138898799999
 01/04  06:00:00,180.08787796400003,189.65353425400002
 01/04  07:00:00,227.072654195,190.98858956599997
 01/04  08:00:00,239.652487246,182.233768622
 01/04  09:00:00,237.98192092099998,162.126352717
 01/04  10:00:00,244.141305224,157.15633100899998
 01/04  11:00:00,239.248520027,136.20923853899998
 01/04  12:00:00,236.785813865,137.64864820399998
 01/04  13:00:00,224.563832327,122.45025703299999
 01/04  14:00:00,232.474480543,121.96784074799999
 01/04  15:00:00,230.570069982,118.986519395
 01/04  16:00:00,228.27137198,109.29274922100001
 01/04  17:00:00,238.159528697,118.92493164
 01/04  18:00:00,243.013295178,112.512056464
 01/04  19:00:00,147.764259445,85.2269131447
 01/04  20:00:00,146.86239631799998,90.3621741451
 01/04  21:00:00,127.11784688700001,103.04634685299999
 01/04  22:00:00,104.86563016,97.3500661673
 01/04  23:00:00,78.6489596796,78.7200609579
 01/04  24:00:00,98.5008965833,100.760310483
 01/05  01:00:00,86.4251419678,82.0022472612
 01/05  02:00:00,101.710167938,103.509581235
 01/05  03:00:00,89.45535671420001,84.124586041
 01/05  04:00:00,104.55045035200001,106.15030211
 01/05  05:00:00,122.77207996899999,119.635994955
 01/05  06:00:00,162.020426306,187.007186308
 01/05  07:00:00,212.132767419,177.04990744
 01/05  08:00:00,225.54697469,158.678766193
 01/05  09:00:00,223.08228106200002,147.282806298
 01/05  10:00:00,230.715685465,147.062912314
 01/05  11:00:00,226.36142316299998,139.029021329
 01/05  12:00:00,225.625385483,123.29398345799999
 01/05  13:00:00,214.62388863,126.80857672200001
 01/05  14:00:00,222.939381974,116.159657729
 01/05  15:00:00,223.002201446,123.886724345
 01/05  16:00:00,223.602388315,123.04486955700001
 01/05  17:00:00,230.520284291,113.62794305700001
 01/05  18:00:00,238.08734380599998,113.039350275
 01/05  19:00:00,143.13683413299998,86.6330885366
 01/05  20:00:00,142.810350638,100.43452159
 01/05  21:00:00,121.349250059,104.783655236
 01/05  22:00:00,101.882746356,89.96411974879999
 01/05  23:00:00,75.9246412725,79.6162486138
 01/05  24:00:00,92.155288497,101.463333707
 01/06  01:00:00,79.0586533266,82.5350626643
 01/06  02:00:00,93.0673464117,103.89770735799999
 01/06  03:00:00,83.96483981850001,84.317533679
 01/06  04:00:00,99.3671749561,105.939265851
 01/06  05:00:00,119.43326731,119.805009475
 01/06  06:00:00,161.333501092,187.46473590000002
 01/06  07:00:00,209.86282257,178.88637025900002
 01/06  08:00:00,224.12607987400003,158.901100732
 01/06  09:00:00,221.073110795,153.975804385
 01/06  10:00:00,226.432782713,131.387475296
 01/06  11:00:00,224.06523721099998,130.9062558
 01/06  12:00:00,226.473085579,128.51933139
 01/06  13:00:00,215.92453447900002,117.80474759
 01/06  14:00:00,230.283207988,121.705288085
 01/06  15:00:00,233.758619047,110.051139186
 01/06  16:00:00,232.751780617,121.078437455
 01/06  17:00:00,239.874283131,116.874987496
 01/06  18:00:00,248.843251421,126.199318785
 01/06  19:00:00,156.241551825,85.67226470920001
 01/06  20:00:00,157.095832569,90.50405164790001
 01/06  21:00:00,135.93669114,103.785370518
 01/06  22:00:00,113.22762445,89.4869592824
 01/06  23:00:00,90.4491650283,79.5919324043
 01/06  24:00:00,107.81742849999999,101.96215327
 01/07  01:00:00,94.2681797127,83.32491538880001
 01/07  02:00:00,112.033716786,105.73575572899999
 01/07  03:00:00,97.8319049858,85.8710595724
 01/07  04:00:00,115.968583603,116.760665464
 01/07  05:00:00,122.61095977,127.76252365
 01/07  06:00:00,128.72641395600002,128.838663642
 01/07  07:00:00,156.389872898,163.375219959
 01/07  08:00:00,226.833204107,226.217039349
 01/07  09:00:00,208.376172331,215.14055404099997
 01/07  10:00:00,224.113830925,193.398738711
 01/07  11:00:00,220.276403455,180.66895661400002
 01/07  12:00:00,217.48914748099997,180.719989363
 01/07  13:00:00,206.521424095,163.505432529
 01/07  14:00:00,204.855864876,153.610519549
 01/07  15:00:00,201.96481930599998,148.091616426
 01/07  16:00:00,161.420973596,95.05679062530001
 01/07  17:00:00,169.83458225299998,112.751410763
 01/07  18:00:00,165.690164057,119.53554352299999
 01/07  19:00:00,126.737421269,108.708101392
 01/07  20:00:00,130.893869646,111.128155792
 01/07  21:00:00,115.31630936799999,119.908265355
 01/07  22:00:00,106.89197278299999,100.914340654
 01/07  23:00:00,96.5967648142,86.9285616093
 01/07  24:00:00,113.6770758,109.27702276
 01/08  01:00:00,96.36100199239999,89.31490535370001
 01/08  02:00:00,114.50929709,112.44122967
 01/08  03:00:00,98.6818285037,91.07626107370001
 01/08  04:00:00,116.508464156,114.198271655
 01/08  05:00:00,98.483137807,92.4284574198
 01/08  06:00:00,116.51166259799999,115.621643063
 01/08  07:00:00,100.385732235,93.43650779459999
 01/08  08:00:00,111.98659125799999,116.51672428200001
 01/08  09:00:00,112.06591086899999,90.770918222
 01/08  10:00:00,126.12932910100001,108.27358760799999
 01/08  11:00:00,107.803021884,85.3126819041
 01/08  12:00:00,121.752040313,102.80245095
 01/08  13:00:00,105.85651842600001,82.2086007736
 01/08  14:00:00,119.152065935,101.24302204799999
 01/08  15:00:00,102.423258075,82.2556932282
 01/08  16:00:00,115.94767573899999,110.43369278899999
 01/08  17:00:00,92.24165567930001,84.4876678033
 01/08  18:00:00,104.378092217,109.348908915
 01/08  19:00:00,89.24014896450001,90.272118727
 01/08  20:00:00,102.692454699,113.175767971
 01/08  21:00:00,89.3410551232,91.7514168917
 01/08  22:00:00,107.637360681,114.078757009
 01/08  23:00:00,93.53312317540001,92.2880146573
 01/08  24:00:00,109.42487776799999,114.881333883
 01/09  01:00:00,93.6552137675,91.91316935969999
 01/09  02:00:00,108.272125014,113.87447797899999
 01/09  03:00:00,92.98604685120002,91.9586772022
 01/09  04:00:00,106.23516773600001,114.27486115200001
 01/09  05:00:00,117.704183786,130.806826996
 01/09  06:00:00,167.76354684,198.843989069
 01/09  07:00:00,212.909206447,164.462240347
 01/09  08:00:00,222.31498905599997,142.963163065
 01/09  09:00:00,219.25481505,144.461880466
 01/09  10:00:00,224.084169917,129.580604083
 01/09  11:00:00,221.08535613700002,131.609050157
 01/09  12:00:00,220.345950626,118.572535795
 01/09  13:00:00,208.60945271,124.18768141
 01/09  14:00:00,219.981907676,120.29949433799999
 01/09  15:00:00,218.435707343,109.292235026
 01/09  16:00:00,217.13350310299998,116.840317045
 01/09  17:00:00,220.397916751,109.889627009
 01/09  18:00:00,224.27183162900002,119.82270114299999
 01/09  19:00:00,132.931996577,83.8073330113
 01/09  20:00:00,135.356662008,89.1426101326
 01/09  21:00:00,117.114388656,102.858927504
 01/09  22:00:00,96.8335542024,86.27343449600001
 01/09  23:00:00,73.1974913487,78.4719923935
 01/09  24:00:00,84.632631389,100.413793361
 01/10  01:00:00,73.61463885159999,82.14894451079999
 01/10  02:00:00,83.74223315409999,103.326522574
 01/10  03:00:00,74.2777780615,83.990429179
 01/10  04:00:00,89.8213372634,105.89642460200001
 01/10  05:00:00,109.112353614,119.288453907
 01/10  06:00:00,139.193795498,188.190879773
 01/10  07:00:00,195.294411898,176.56051077
 01/10  08:00:00,210.631008919,146.925453026
 01/10  09:00:00,207.97699367099997,133.828339425
 01/10  10:00:00,214.285512983,131.038196524
 01/10  11:00:00,211.470256711,117.850980057
 01/10  12:00:00,211.58852243400003,121.41710347799999
 01/10  13:00:00,204.194441167,108.567213136
 01/10  14:00:00,216.33542005299998,115.868171049
 01/10  15:00:00,216.632939585,114.14437684
 01/10  16:00:00,214.43052230799998,105.68472009700001
 01/10  17:00:00,220.50015755,116.371140889
 01/10  18:00:00,229.35578990000002,108.601209594
 01/10  19:00:00,140.493618555,81.99632567180001
 01/10  20:00:00,140.682592551,87.7953564346
 01/10  21:00:00,118.478099878,109.948525136
 01/10  22:00:00,98.36181188350001,85.34409417090001
 01/10  23:00:00,74.6607541045,77.3883764403
