Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,161.994903008,225.43461405
 01/01  02:00:00,155.526301074,170.812928764
 01/01  03:00:00,134.92431165600001,169.86091232
 01/01  04:00:00,133.48834962,167.193653623
 01/01  05:00:00,141.04283387799998,205.10229032799998
 01/01  06:00:00,159.977057485,246.44792319599998
 01/01  07:00:00,268.931659517,346.449933955
 01/01  08:00:00,338.42876179900003,744.8646427130001
 01/01  09:00:00,348.778467728,969.271759166
 01/01  10:00:00,299.304003315,801.557555277
 01/01  11:00:00,246.525472268,705.5988865630001
 01/01  12:00:00,242.465726633,630.790302315
 01/01  13:00:00,217.56476711599998,552.778048718
 01/01  14:00:00,191.187715687,500.054868044
 01/01  15:00:00,188.936604766,532.514971013
 01/01  16:00:00,186.65155996400003,565.448367851
 01/01  17:00:00,221.712683931,527.7362814759999
 01/01  18:00:00,264.54886892400003,503.25650396300006
 01/01  19:00:00,337.300556762,562.2585998330001
 01/01  20:00:00,353.353314566,612.939202554
 01/01  21:00:00,382.007399249,605.5752145609999
 01/01  22:00:00,355.18451092099997,602.79465707
 01/01  23:00:00,300.431307684,760.032639978
 01/01  24:00:00,213.502455394,563.925979
 01/02  01:00:00,150.577981496,224.175323939
 01/02  02:00:00,135.513441266,175.288164263
 01/02  03:00:00,124.443315276,169.855686112
 01/02  04:00:00,122.11368794399999,161.474828161
 01/02  05:00:00,127.989294918,207.8740821
 01/02  06:00:00,161.763546089,332.47341748
 01/02  07:00:00,286.747525369,540.799860859
 01/02  08:00:00,367.955354931,956.61602243
 01/02  09:00:00,293.495444887,884.8735929339999
 01/02  10:00:00,262.800474921,787.555066217
 01/02  11:00:00,209.75380389,723.83639298
 01/02  12:00:00,212.400606599,647.191569124
 01/02  13:00:00,219.471605026,641.612318265
 01/02  14:00:00,218.492841187,624.804672343
 01/02  15:00:00,218.19447636299998,624.757472234
 01/02  16:00:00,207.33652449599998,629.149408216
 01/02  17:00:00,225.543686071,601.644970293
 01/02  18:00:00,271.908307171,677.1777649630001
 01/02  19:00:00,341.763837507,909.311483592
 01/02  20:00:00,347.40899409900004,792.804263537
 01/02  21:00:00,378.112445794,807.257009633
 01/02  22:00:00,365.10759455,955.324913676
 01/02  23:00:00,276.740939867,870.568349959
 01/02  24:00:00,184.091622971,738.299593334
 01/03  01:00:00,130.607289841,270.79935540400004
 01/03  02:00:00,117.13063810700001,213.917855366
 01/03  03:00:00,107.45318659899999,206.348712132
 01/03  04:00:00,106.50964401600001,197.19990086099997
 01/03  05:00:00,114.02918707799999,242.67566207099998
 01/03  06:00:00,145.45595999,365.41839426800004
 01/03  07:00:00,271.604417288,573.17529944
 01/03  08:00:00,352.615941566,1172.86571382
 01/03  09:00:00,277.273922368,1095.41223556
 01/03  10:00:00,246.33820996400001,949.642251775
 01/03  11:00:00,204.997446726,839.938106745
 01/03  12:00:00,213.38123169,728.099871018
 01/03  13:00:00,218.23999427099997,708.686629639
 01/03  14:00:00,208.97927699599998,695.940135861
 01/03  15:00:00,195.16595708900002,671.702536197
 01/03  16:00:00,179.833542038,702.532645024
 01/03  17:00:00,209.612931094,680.724654793
 01/03  18:00:00,263.219305836,731.636083904
 01/03  19:00:00,335.841218255,933.711886293
 01/03  20:00:00,342.81886010799997,782.691180255
 01/03  21:00:00,373.6849766,780.5917696739999
 01/03  22:00:00,363.386506776,937.554282458
 01/03  23:00:00,278.202005367,826.972189352
 01/03  24:00:00,186.935095758,668.27900473
 01/04  01:00:00,134.49671277,261.444478232
 01/04  02:00:00,121.382601792,204.73216189
 01/04  03:00:00,111.00540302200001,196.52309230000003
 01/04  04:00:00,110.135351282,186.67708551400003
 01/04  05:00:00,116.94275095,231.360821002
 01/04  06:00:00,151.066755336,354.01860777300004
 01/04  07:00:00,277.638447779,562.474933103
 01/04  08:00:00,357.79196250800004,1050.10322663
 01/04  09:00:00,279.758136195,985.026063984
 01/04  10:00:00,247.56295093900002,878.734281357
 01/04  11:00:00,202.240238008,795.745963598
 01/04  12:00:00,209.546253274,692.701215335
 01/04  13:00:00,217.18399428799998,666.304268423
 01/04  14:00:00,212.162483433,639.810898724
 01/04  15:00:00,209.182637723,626.779085257
 01/04  16:00:00,198.30484856799998,635.398702511
 01/04  17:00:00,217.582639892,612.478754338
 01/04  18:00:00,264.13598492299997,714.4511834489999
 01/04  19:00:00,333.245337125,956.1591246219999
 01/04  20:00:00,339.978449032,825.9313256419999
 01/04  21:00:00,371.996504645,812.4305694310001
 01/04  22:00:00,360.642575206,973.7267372489999
 01/04  23:00:00,273.430250021,870.9036537960001
 01/04  24:00:00,180.625718392,743.671297799
 01/05  01:00:00,127.88728441399999,274.297777335
 01/05  02:00:00,116.945973369,217.505621628
 01/05  03:00:00,107.454656471,203.796734478
 01/05  04:00:00,106.341776004,207.84523731
 01/05  05:00:00,112.51172997200001,247.61884910900002
 01/05  06:00:00,144.344296655,371.416213335
 01/05  07:00:00,265.836016951,579.832745475
 01/05  08:00:00,347.523459015,1200.88356284
 01/05  09:00:00,271.80613626400003,1127.7490633
 01/05  10:00:00,241.90002396,991.160927256
 01/05  11:00:00,189.996283195,899.653252653
 01/05  12:00:00,184.036823352,802.623863538
 01/05  13:00:00,193.703196429,772.0699403210001
 01/05  14:00:00,191.994455728,739.808203685
 01/05  15:00:00,195.411134365,729.6565959039999
 01/05  16:00:00,186.40584834900002,736.228257578
 01/05  17:00:00,209.102282323,726.68848269
 01/05  18:00:00,250.925266968,825.7881159410001
 01/05  19:00:00,320.410626971,1062.57943978
 01/05  20:00:00,326.491204511,942.713227827
 01/05  21:00:00,358.39497927800005,928.782863337
 01/05  22:00:00,348.644659459,1083.13126878
 01/05  23:00:00,263.406778772,972.3825349289999
 01/05  24:00:00,173.48174929700002,830.42500947
 01/06  01:00:00,125.13746663100001,287.694874699
 01/06  02:00:00,115.089558794,228.953625843
 01/06  03:00:00,104.835243795,221.28244175400002
 01/06  04:00:00,103.497210118,219.105680996
 01/06  05:00:00,111.47201883299999,257.043019613
 01/06  06:00:00,143.237642,378.99535971800003
 01/06  07:00:00,258.349387376,595.489593405
 01/06  08:00:00,339.858728576,1278.40596209
 01/06  09:00:00,265.409630115,1176.85029146
 01/06  10:00:00,239.81245487099997,1033.86278122
 01/06  11:00:00,198.72728614,936.8549067639999
 01/06  12:00:00,205.828336823,830.251259138
 01/06  13:00:00,209.15603798799998,799.2581673430001
 01/06  14:00:00,200.83220912599998,782.091402573
 01/06  15:00:00,198.86296558400002,759.669070947
 01/06  16:00:00,189.23944964900002,757.261176706
 01/06  17:00:00,210.995413632,730.24127649
 01/06  18:00:00,252.125310015,827.160243459
 01/06  19:00:00,315.040163732,1059.95500409
 01/06  20:00:00,321.302514816,934.549745873
 01/06  21:00:00,354.204449059,927.32620529
 01/06  22:00:00,344.828136911,1070.68821966
 01/06  23:00:00,259.56466852,962.2431721339999
 01/06  24:00:00,173.459842332,826.3326715139999
 01/07  01:00:00,128.076247732,287.070369446
 01/07  02:00:00,125.365718555,228.368063339
 01/07  03:00:00,105.355640135,215.065604212
 01/07  04:00:00,103.394340974,219.29923808
 01/07  05:00:00,110.24865821899999,258.300584148
 01/07  06:00:00,123.520263913,310.183180915
 01/07  07:00:00,209.198339382,412.416360149
 01/07  08:00:00,264.874019938,1149.37448026
 01/07  09:00:00,325.71692074,1352.66538895
 01/07  10:00:00,276.367980697,1132.24818544
 01/07  11:00:00,219.725363916,1000.92506703
 01/07  12:00:00,217.32210409299998,894.238000328
 01/07  13:00:00,217.50454077900002,784.680219681
 01/07  14:00:00,208.930653855,763.320334153
 01/07  15:00:00,204.836843507,743.3242884619999
 01/07  16:00:00,190.801033918,746.069170387
 01/07  17:00:00,215.183201216,733.404482711
 01/07  18:00:00,248.711253193,786.2993545180001
 01/07  19:00:00,318.440989731,851.950771232
 01/07  20:00:00,322.079008871,930.630162721
 01/07  21:00:00,342.815665102,945.51182883
 01/07  22:00:00,335.093278195,917.019631382
 01/07  23:00:00,280.308556223,1053.09872453
 01/07  24:00:00,184.839675321,865.22513975
 01/08  01:00:00,141.071033917,280.90197078
 01/08  02:00:00,137.96662652,220.146702111
 01/08  03:00:00,118.707246404,210.335012674
 01/08  04:00:00,117.27654047200001,205.98640950599997
 01/08  05:00:00,124.162244573,243.16015321
 01/08  06:00:00,137.48761554700002,290.02884260900004
 01/08  07:00:00,213.83515259599997,381.26305228900003
 01/08  08:00:00,284.10622354599997,921.9768167939999
 01/08  09:00:00,334.325648452,1176.62959046
 01/08  10:00:00,263.43075382,978.0089985210001
 01/08  11:00:00,210.262330505,845.2691700460001
 01/08  12:00:00,207.751498927,748.8700619780001
 01/08  13:00:00,208.53700578599998,652.6095624669999
 01/08  14:00:00,191.21687317200002,649.089898909
 01/08  15:00:00,189.064728283,643.331870792
 01/08  16:00:00,181.03337003,649.361905273
 01/08  17:00:00,208.774464934,622.576340836
 01/08  18:00:00,249.709949762,635.281483951
 01/08  19:00:00,323.268861945,667.8873642269999
 01/08  20:00:00,340.938060431,718.6749198660001
 01/08  21:00:00,370.757484016,692.199493938
 01/08  22:00:00,344.10264661,680.683084207
 01/08  23:00:00,290.157183258,822.790221549
