Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,20.043533143199998,96.45542147559999
 01/01  02:00:00,19.5741533626,98.1589736816
 01/01  03:00:00,21.1259550987,135.01794863700002
 01/01  04:00:00,19.89126997,114.22592319700001
 01/01  05:00:00,21.3845560366,147.638289184
 01/01  06:00:00,20.043664485,122.601345353
 01/01  07:00:00,21.5070413301,153.400779527
 01/01  08:00:00,15.6370836772,125.876156264
 01/01  09:00:00,12.3661270996,145.017450464
 01/01  10:00:00,10.667125882999999,103.23372980100001
 01/01  11:00:00,11.4379220222,108.522315158
 01/01  12:00:00,10.153635654,78.1567925941
 01/01  13:00:00,11.3912333898,102.53018438
 01/01  14:00:00,10.3815101806,83.6469407559
 01/01  15:00:00,11.700937521099998,108.196153971
 01/01  16:00:00,10.2841466267,78.7365436635
 01/01  17:00:00,17.3544954794,100.273482011
 01/01  18:00:00,19.208297253199998,78.71151865739999
 01/01  19:00:00,20.3818620061,102.143145713
 01/01  20:00:00,19.2301378638,80.0192149639
 01/01  21:00:00,20.4942399667,103.598353802
 01/01  22:00:00,19.2578663002,77.0456272086
 01/01  23:00:00,20.4008404194,98.55898785059999
 01/01  24:00:00,19.1879511978,72.6293345659
 01/02  01:00:00,20.239489163,91.333032964
 01/02  02:00:00,19.0864965052,67.8567051111
 01/02  03:00:00,20.1049464981,86.649323952
 01/02  04:00:00,18.9168027513,63.7030729213
 01/02  05:00:00,19.9817153374,85.4853192852
 01/02  06:00:00,18.999176241199997,67.07346976550001
 01/02  07:00:00,27.9613203764,111.88058134200001
 01/02  08:00:00,43.6198891528,84.6554847838
 01/02  09:00:00,58.6616640063,74.7506397305
 01/02  10:00:00,70.6853169374,66.6914389333
 01/02  11:00:00,70.6853169374,56.154015146199995
 01/02  12:00:00,70.6853169374,45.275057921800006
 01/02  13:00:00,64.1924926629,41.0374424345
 01/02  14:00:00,70.6853169374,41.3668705116
 01/02  15:00:00,70.6853169374,42.2282332281
 01/02  16:00:00,70.6853169374,44.1800791252
 01/02  17:00:00,75.1468169374,51.9513174374
 01/02  18:00:00,32.2257265352,52.915046431
 01/02  19:00:00,18.2511864509,54.1488322641
 01/02  20:00:00,19.4833009463,78.0000079567
 01/02  21:00:00,18.6576284402,61.596576660699995
 01/02  22:00:00,20.1232301467,87.2602649216
 01/02  23:00:00,19.1417744309,72.9012716166
 01/02  24:00:00,20.4145079067,102.063104813
 01/03  01:00:00,19.3424475648,84.40736463489999
 01/03  02:00:00,20.5399103214,109.25082802
 01/03  03:00:00,19.4050010373,88.38646669139999
 01/03  04:00:00,20.6138933017,112.536887596
 01/03  05:00:00,19.4761012656,92.7910733227
 01/03  06:00:00,20.7696347442,120.29816542799999
 01/03  07:00:00,27.9613203764,144.973027549
 01/03  08:00:00,43.9898928779,132.43624354899998
 01/03  09:00:00,59.0068657013,119.92784557700001
 01/03  10:00:00,70.9809145721,104.042689182
 01/03  11:00:00,70.9809145721,93.19095199430001
 01/03  12:00:00,70.9809145721,84.6820739266
 01/03  13:00:00,64.42642301020001,79.5060368703
 01/03  14:00:00,70.610910847,69.8433598516
 01/03  15:00:00,70.6357128771,66.1632699643
 01/03  16:00:00,70.6481138922,65.9440273816
 01/03  17:00:00,75.1096138922,70.7702026677
 01/03  18:00:00,32.9114832901,65.1215891837
 01/03  19:00:00,19.1160878176,77.7728618498
 01/03  20:00:00,20.3440467996,105.828510846
 01/03  21:00:00,19.4146104181,91.672424319
 01/03  22:00:00,20.5564955803,114.74092094
 01/03  23:00:00,19.530997283599998,97.1295241051
 01/03  24:00:00,20.6586021504,119.22484572799999
 01/04  01:00:00,19.6091238187,100.778601833
 01/04  02:00:00,20.742290618,122.50167054
 01/04  03:00:00,19.6654030223,103.069168329
 01/04  04:00:00,20.781158134400002,124.392656316
 01/04  05:00:00,19.703680595,105.134738899
 01/04  06:00:00,20.832264723199998,126.500014811
 01/04  07:00:00,27.9613203764,147.710967318
 01/04  08:00:00,43.9898928779,130.375387344
 01/04  09:00:00,59.0068657013,108.27643605899999
 01/04  10:00:00,70.9192472846,82.064421037
 01/04  11:00:00,70.610910847,69.1619472962
 01/04  12:00:00,70.6357128771,63.312010783699996
 01/04  13:00:00,64.1552896177,63.7957267555
 01/04  14:00:00,70.6605149072,63.669894171
 01/04  15:00:00,70.6605149072,64.9861950569
 01/04  16:00:00,70.6605149072,66.4058201289
 01/04  17:00:00,75.1096138922,69.9246461023
 01/04  18:00:00,32.7386978388,62.5735969725
 01/04  19:00:00,19.041833162,73.4663148452
 01/04  20:00:00,20.311523481,103.085958693
 01/04  21:00:00,19.423421978900002,91.5289347623
 01/04  22:00:00,20.6898973727,120.690848586
 01/04  23:00:00,19.7349421396,106.855551728
 01/04  24:00:00,20.9572059592,131.815495648
 01/05  01:00:00,19.881027799,113.34211446399999
 01/05  02:00:00,21.1441493618,139.541869502
 01/05  03:00:00,20.0728828001,121.91811133799999
 01/05  04:00:00,21.4240159339,151.747328194
 01/05  05:00:00,20.3536447459,136.313846292
 01/05  06:00:00,21.7103800935,163.968027955
 01/05  07:00:00,27.9613203764,193.060265275
 01/05  08:00:00,43.9898928779,173.838220593
 01/05  09:00:00,59.0068657013,152.31179946
 01/05  10:00:00,70.9809145721,134.721400542
 01/05  11:00:00,70.9809145721,127.505752321
 01/05  12:00:00,70.9809145721,122.867787996
 01/05  13:00:00,64.4880902977,124.02360129600001
 01/05  14:00:00,70.9809145721,118.43984979
 01/05  15:00:00,70.9809145721,117.94033959
 01/05  16:00:00,70.9809145721,118.19159901399999
 01/05  17:00:00,75.4424145721,119.84816843700001
 01/05  18:00:00,34.250913712199996,118.27804999600001
 01/05  19:00:00,19.898053724500002,120.89093393200001
 01/05  20:00:00,21.3023059914,150.048207151
 01/05  21:00:00,20.1184638426,129.109400019
 01/05  22:00:00,21.4714871574,155.86179376799998
 01/05  23:00:00,20.2258444674,132.94359816899998
 01/05  24:00:00,21.554876561100002,158.59902103
 01/06  01:00:00,20.256027102,134.43315949200002
 01/06  02:00:00,21.585220389299998,160.390558817
