Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.5328148845,89.52591578209999
 01/01  02:00:00,9.4515043259,3.59316436245
 01/01  03:00:00,9.46413316621,3.0211
 01/01  04:00:00,9.47457698308,3.0211
 01/01  05:00:00,9.62289456403,3.5931702781
 01/01  06:00:00,13.6733113398,101.060282661
 01/01  07:00:00,28.1560300122,104.87972358
 01/01  08:00:00,26.8397284957,108.786642371
 01/01  09:00:00,20.5750284723,101.988758018
 01/01  10:00:00,20.5850868595,98.9872590099
 01/01  11:00:00,25.5763795048,113.79779272399999
 01/01  12:00:00,26.7325184412,113.331350301
 01/01  13:00:00,25.7903859738,102.844134005
 01/01  14:00:00,25.5878555664,96.3427916379
 01/01  15:00:00,20.5963195726,87.0912331186
 01/01  16:00:00,20.5858806902,88.6758024121
 01/01  17:00:00,22.4013055234,93.2296901145
 01/01  18:00:00,28.033852938600003,95.2129987561
 01/01  19:00:00,28.033844523400003,94.7654041715
 01/01  20:00:00,28.176822080700003,94.7103566374
 01/01  21:00:00,23.167361202600002,94.936452567
 01/01  22:00:00,23.1057273148,94.6761674597
 01/01  23:00:00,23.002798139899998,92.6598548412
 01/01  24:00:00,24.2072664159,78.41740166619999
 01/02  01:00:00,13.732518971900001,86.1983858623
 01/02  02:00:00,9.44936484722,3.0211
 01/02  03:00:00,9.46380527771,3.5931520477599994
 01/02  04:00:00,9.47580989865,3.0211
 01/02  05:00:00,9.62484158099,3.59315798301
 01/02  06:00:00,13.674074318699999,98.185502159
 01/02  07:00:00,28.1561369191,100.377722231
 01/02  08:00:00,26.8400765243,105.205195788
 01/02  09:00:00,20.5758650458,97.8059914631
 01/02  10:00:00,20.5862009191,89.59266625059999
 01/02  11:00:00,25.579879026,97.8086350784
 01/02  12:00:00,26.736698847,98.6300441825
 01/02  13:00:00,25.799145733099998,86.6235741991
 01/02  14:00:00,25.598924655900003,78.070486192
 01/02  15:00:00,20.601465074700002,69.82655553890001
 01/02  16:00:00,20.588114605999998,70.1991258259
 01/02  17:00:00,22.4040325152,74.9692717554
 01/02  18:00:00,28.041102500700003,77.0065019318
 01/02  19:00:00,28.0423881711,81.0740830918
 01/02  20:00:00,28.184287009699997,83.7002004849
 01/02  21:00:00,23.1712848538,82.19597134189999
 01/02  22:00:00,23.107156962199998,84.8359276181
 01/02  23:00:00,23.003198832600003,82.3746633629
 01/02  24:00:00,24.2072601981,66.3119841618
 01/03  01:00:00,13.731906466400002,72.6573706562
 01/03  02:00:00,9.46152469498,3.59318094446
 01/03  03:00:00,9.48315679256,3.0211
 01/03  04:00:00,9.498561489510001,3.0211
 01/03  05:00:00,10.1676774963,3.5931868553099995
 01/03  06:00:00,14.1926707356,68.2833216385
 01/03  07:00:00,28.386821037399997,71.3361974535
 01/03  08:00:00,26.8465377427,79.6808516887
 01/03  09:00:00,20.5814358474,72.17288644199999
 01/03  10:00:00,20.5952628178,66.4923004578
 01/03  11:00:00,25.5920722131,78.5913156213
 01/03  12:00:00,26.7479648516,82.02865773319999
 01/03  13:00:00,25.8133339175,73.1240462806
 01/03  14:00:00,25.6079154417,69.5546642344
 01/03  15:00:00,20.6074270892,63.22597035
 01/03  16:00:00,20.5921729778,65.1653164924
 01/03  17:00:00,22.4073896477,70.152727962
 01/03  18:00:00,28.043498736,72.9850941808
 01/03  19:00:00,28.0451684566,75.8721606244
 01/03  20:00:00,28.0435160941,76.3214963412
 01/03  21:00:00,23.0384848679,77.3700211431
 01/03  22:00:00,23.0042375835,79.809871784
 01/03  23:00:00,23.003250478400002,81.4091643262
 01/03  24:00:00,24.2072686412,69.525331974
 01/04  01:00:00,13.730657525,78.0004148097
 01/04  02:00:00,9.45773892894,3.0211
 01/04  03:00:00,9.47390900967,3.59317300411
 01/04  04:00:00,9.48555766936,3.0211
 01/04  05:00:00,9.63437314138,3.0211
 01/04  06:00:00,13.6763738489,91.54518905379999
 01/04  07:00:00,28.156170383499997,96.2256844142
 01/04  08:00:00,26.8400178619,103.393091985
 01/04  09:00:00,20.5756049788,96.3427035759
 01/04  10:00:00,20.5857495011,95.18497114540001
 01/04  11:00:00,25.5759831423,110.915342479
 01/04  12:00:00,26.7299239408,115.39789202200001
 01/04  13:00:00,25.7883303161,108.39709197799999
 01/04  14:00:00,25.5881460609,104.951953196
 01/04  15:00:00,20.5961735551,100.32648609600001
 01/04  16:00:00,20.5852837392,102.167759769
 01/04  17:00:00,22.4007352527,108.487913805
 01/04  18:00:00,28.0335940536,111.221008445
 01/04  19:00:00,28.033652310300003,113.719900445
 01/04  20:00:00,28.1763752202,115.44118595799999
 01/04  21:00:00,23.1667934606,114.403211621
 01/04  22:00:00,23.105440392,115.04549822799999
 01/04  23:00:00,23.002497008800002,114.32494914600001
 01/04  24:00:00,24.207271030700003,100.5167594
 01/05  01:00:00,13.732467598800001,107.991483761
 01/05  02:00:00,9.438218404319999,3.5931914240400005
 01/05  03:00:00,9.44742818393,3.0211
 01/05  04:00:00,9.459141227569999,3.5931825831300004
 01/05  05:00:00,10.2912915762,28.5198488729
 01/05  06:00:00,13.669513441500001,115.443372864
 01/05  07:00:00,28.1558911,117.32955016700001
 01/05  08:00:00,26.839548493600002,124.354488628
 01/05  09:00:00,20.5751749776,116.574575854
