Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.6255926921,52.035252667200005
 01/01  02:00:00,9.482095539089999,3.0211
 01/01  03:00:00,9.50580479916,3.59315757371
 01/01  04:00:00,9.51794970111,3.0211
 01/01  05:00:00,9.66902504349,3.5931635001599997
 01/01  06:00:00,13.7733075523,53.3647936643
 01/01  07:00:00,28.2494970024,56.979934120500005
 01/01  08:00:00,27.573760973200002,60.4821817383
 01/01  09:00:00,20.676394156700002,53.3078204415
 01/01  10:00:00,20.687389779100002,50.5551095497
 01/01  11:00:00,25.6895769244,65.4551625857
 01/01  12:00:00,26.8594257585,66.0035036008
 01/01  13:00:00,25.9460512686,55.7958569297
 01/01  14:00:00,25.7554067506,49.679401480200006
 01/01  15:00:00,20.763499809200002,37.1942364921
 01/01  16:00:00,20.7517154829,35.060700399999995
 01/01  17:00:00,20.6649463165,40.7329859981
 01/01  18:00:00,28.1845373643,47.9358937787
 01/01  19:00:00,28.1776096442,50.3627675416
 01/01  20:00:00,28.3105207125,53.110509449300004
 01/01  21:00:00,23.2882405696,50.480996079700006
 01/01  22:00:00,23.2144925676,52.0995414923
 01/01  23:00:00,23.107561274000002,50.40144237
 01/01  24:00:00,24.306376364600002,36.5705508275
 01/02  01:00:00,13.824528578299999,41.8496807771
 01/02  02:00:00,9.48957450514,3.59319360857
 01/02  03:00:00,9.51456353087,3.0211
 01/02  04:00:00,9.52763892171,3.5931477790699993
 01/02  05:00:00,9.677919027489999,3.0211
 01/02  06:00:00,13.7787047703,52.626775530100005
 01/02  07:00:00,28.2535408705,55.806527850200006
 01/02  08:00:00,27.576878466100002,63.3550189547
 01/02  09:00:00,20.681678343399998,54.4477125133
 01/02  10:00:00,20.7058151583,47.9219853218
 01/02  11:00:00,25.7340004232,54.9787930226
 01/02  12:00:00,26.8844519188,54.5604712711
 01/02  13:00:00,25.9895925393,46.8083014319
 01/02  14:00:00,25.792101009,42.0998102924
 01/02  15:00:00,20.7987613119,31.476907095399998
 01/02  16:00:00,20.7836125243,31.0557131629
 01/02  17:00:00,20.689720631300002,36.9466870352
 01/02  18:00:00,28.2148753408,42.0933128863
 01/02  19:00:00,28.2095899887,45.569546653100005
 01/02  20:00:00,28.338683903899998,49.6233108171
 01/02  21:00:00,23.302905630100003,50.2804158077
 01/02  22:00:00,23.232166361799997,49.6830930124
 01/02  23:00:00,23.125290469299998,47.65088677479999
 01/02  24:00:00,24.3161322521,35.102024712399995
