Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,133.993530521,62.5422610408
 01/01  02:00:00,131.72213997,68.1937253691
 01/01  03:00:00,150.43338480399999,110.535000289
 01/01  04:00:00,135.578183723,86.4478889179
 01/01  05:00:00,155.118537874,139.986646993
 01/01  06:00:00,137.100898585,95.3047058664
 01/01  07:00:00,151.265164775,142.19418243799998
 01/01  08:00:00,127.08467521,80.4925004559
 01/01  09:00:00,107.625701905,93.6373787776
 01/01  10:00:00,111.49565187799999,62.336414751599996
 01/01  11:00:00,105.131297707,53.7383157599
 01/01  12:00:00,105.003168052,32.1734822077
 01/01  13:00:00,105.104109958,39.3709494684
 01/01  14:00:00,103.94043438,18.6800752002
 01/01  15:00:00,103.10365136600001,12.410080193099999
 01/01  16:00:00,100.63274192700001,5.449622025580001
 01/01  17:00:00,100.789102544,14.4886210645
 01/01  18:00:00,116.055495049,6.43859061136
 01/01  19:00:00,119.014476334,6.92595401606
 01/01  20:00:00,122.090439749,16.3553529731
 01/01  21:00:00,122.86385020200001,21.4842793965
 01/01  22:00:00,122.32025339399999,39.7439398497
 01/01  23:00:00,122.337362009,38.1903305488
 01/01  24:00:00,123.007423143,41.7694990203
 01/02  01:00:00,122.34882138200001,48.598450706
 01/02  02:00:00,132.298916903,65.50056340479999
 01/02  03:00:00,130.955410972,70.49692754680001
 01/02  04:00:00,130.995356611,74.8122648279
 01/02  05:00:00,136.430098009,96.7558817521
 01/02  06:00:00,147.439447865,99.6765622632
 01/02  07:00:00,197.413706587,2698.3081929
 01/02  08:00:00,367.751894358,1993.45950985
 01/02  09:00:00,447.280811125,1596.38780706
 01/02  10:00:00,446.665814265,1292.52980685
 01/02  11:00:00,451.341597373,962.017763672
 01/02  12:00:00,451.916533818,739.6007613239999
 01/02  13:00:00,450.92437412099997,712.7514411569999
 01/02  14:00:00,445.115065328,714.380825523
 01/02  15:00:00,445.418814281,638.666991199
 01/02  16:00:00,437.38289568,530.919280669
 01/02  17:00:00,432.03206806199995,508.527307227
 01/02  18:00:00,367.312930384,704.080672692
 01/02  19:00:00,370.47243659300005,807.4953538980001
 01/02  20:00:00,371.201556086,904.9055838239999
 01/02  21:00:00,371.79970314300004,1050.29623359
 01/02  22:00:00,117.65542369200001,13.525749193800001
 01/02  23:00:00,117.439016289,13.4839348579
 01/02  24:00:00,118.516544918,4.85426
 01/03  01:00:00,117.859561179,13.5662145058
 01/03  02:00:00,118.968045123,5.18991146111
 01/03  03:00:00,118.97640529600001,5.242106153419999
 01/03  04:00:00,118.61264449299999,5.24393513675
 01/03  05:00:00,121.103124416,14.096972770899999
 01/03  06:00:00,121.13301909200001,5.6918372576600005
 01/03  07:00:00,195.12642101900002,1555.70559746
