Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,817.050131125,653.442009485
 01/01  02:00:00,908.649355602,661.500197906
 01/01  03:00:00,922.079846475,665.3110186380001
 01/01  04:00:00,926.811361595,667.459510828
 01/01  05:00:00,940.307173591,659.193453267
 01/01  06:00:00,939.5670306789999,668.181211628
 01/01  07:00:00,1011.4310347,612.6473509140001
 01/01  08:00:00,1015.19452967,609.429244323
 01/01  09:00:00,1085.18890873,613.502031541
 01/01  10:00:00,1083.4144263,592.2135532130001
 01/01  11:00:00,1096.54372396,621.842441838
 01/01  12:00:00,1088.4481162,609.799995339
 01/01  13:00:00,1050.39603508,614.068435402
 01/01  14:00:00,1015.63979166,589.154663726
 01/01  15:00:00,964.713076564,585.063073141
 01/01  16:00:00,921.249537001,603.330999849
 01/01  17:00:00,875.094848725,635.224215251
 01/01  18:00:00,832.266172715,662.3488145030001
 01/01  19:00:00,804.824831475,691.5335143560001
 01/01  20:00:00,797.532757878,669.339957278
 01/01  21:00:00,756.151457648,715.0757206630001
 01/01  22:00:00,748.9260762439999,709.764438825
 01/01  23:00:00,740.7351144830001,710.618511744
 01/01  24:00:00,734.0820657,707.605595491
 01/02  01:00:00,724.658835737,699.4383230469999
 01/02  02:00:00,714.990239332,721.639764789
 01/02  03:00:00,700.031521187,740.274380208
 01/02  04:00:00,681.27870142,773.967109697
 01/02  05:00:00,758.801770532,748.226768977
 01/02  06:00:00,780.787341439,1304.64101796
 01/02  07:00:00,981.431951488,895.0099492219999
 01/02  08:00:00,1094.22576135,828.455567868
 01/02  09:00:00,1145.08123866,777.632014773
 01/02  10:00:00,1223.55804307,697.6036942039999
 01/02  11:00:00,1325.98769535,691.567202456
 01/02  12:00:00,1455.9204784,658.405655251
 01/02  13:00:00,1449.86704773,625.8043014880001
 01/02  14:00:00,1508.41487349,590.334431196
 01/02  15:00:00,1512.14602441,564.186806583
 01/02  16:00:00,1512.9769954,573.7334856690001
 01/02  17:00:00,1518.71076255,584.268490949
 01/02  18:00:00,1532.64397635,578.262606261
 01/02  19:00:00,1264.77582247,524.516543861
 01/02  20:00:00,1253.2244622,501.245781473
 01/02  21:00:00,1113.57740172,551.727631196
 01/02  22:00:00,1074.88633974,528.092733325
 01/02  23:00:00,1009.91220896,529.46184739
 01/02  24:00:00,1001.05759277,525.938731494
 01/03  01:00:00,963.712972313,525.368546002
 01/03  02:00:00,946.0642487439999,531.56884653
 01/03  03:00:00,935.5495990210001,535.789287908
 01/03  04:00:00,935.3079175739999,540.197808128
 01/03  05:00:00,1025.57151341,517.489200107
 01/03  06:00:00,1027.80985477,904.660256969
 01/03  07:00:00,1253.81021175,630.438786651
 01/03  08:00:00,1375.85769938,603.356915058
 01/03  09:00:00,1406.81104466,607.55120812
 01/03  10:00:00,1437.60020337,590.874118137
 01/03  11:00:00,1446.81965237,599.438539679
 01/03  12:00:00,1453.53929154,586.69566972
 01/03  13:00:00,1419.04083651,570.0763514719999
 01/03  14:00:00,1462.57703817,544.763559324
 01/03  15:00:00,1470.42915397,522.353873943
 01/03  16:00:00,1472.16659017,529.121206362
 01/03  17:00:00,1477.00236556,544.314522494
 01/03  18:00:00,1491.4063452999999,534.549333735
 01/03  19:00:00,1221.79671966,504.97514921699997
 01/03  20:00:00,1213.6114063,480.795878866
 01/03  21:00:00,1079.02592579,521.349729369
 01/03  22:00:00,1037.76941929,513.196574078
 01/03  23:00:00,968.2265417389999,518.29484713
 01/03  24:00:00,969.562022512,507.919025812
 01/04  01:00:00,962.8132601760001,500.774212364
 01/04  02:00:00,973.8709363439999,502.0435788
 01/04  03:00:00,979.959919076,503.04971063
 01/04  04:00:00,973.1304531769999,494.98287054599996
 01/04  05:00:00,1063.59940508,482.70223429199996
 01/04  06:00:00,1059.51708337,781.979234321
 01/04  07:00:00,1282.65848082,561.8242110909999
 01/04  08:00:00,1401.03873605,539.773251682
 01/04  09:00:00,1434.80908077,537.947812034
 01/04  10:00:00,1477.99918581,507.86234273900004
 01/04  11:00:00,1491.1576033,522.3452954759999
 01/04  12:00:00,1507.12551674,523.042843956
 01/04  13:00:00,1471.38642394,500.14336960199995
 01/04  14:00:00,1515.73999338,487.16979508599997
 01/04  15:00:00,1505.7815372000002,449.273233413
 01/04  16:00:00,1508.93088776,470.614790766
 01/04  17:00:00,1503.96892706,509.43391123099997
 01/04  18:00:00,1506.39513914,496.82162220699996
 01/04  19:00:00,1227.23591184,503.641962615
 01/04  20:00:00,1209.31196164,475.389642593
 01/04  21:00:00,1026.28723483,518.485090235
 01/04  22:00:00,964.5941909060001,513.397742849
 01/04  23:00:00,872.83528346,521.145731531
 01/04  24:00:00,839.427103985,514.868743387
 01/05  01:00:00,816.540335366,510.885947293
 01/05  02:00:00,812.449265156,516.315803733
 01/05  03:00:00,809.498738548,512.9695811830001
 01/05  04:00:00,800.184692788,532.252924701
 01/05  05:00:00,869.6445452410001,525.366040291
 01/05  06:00:00,892.502112045,825.912703835
 01/05  07:00:00,1089.2691358,617.15388614
 01/05  08:00:00,1174.80858966,609.933425277
 01/05  09:00:00,1241.17949685,582.504941708
 01/05  10:00:00,1373.14482817,540.5601179509999
 01/05  11:00:00,1456.74224779,556.246008488
 01/05  12:00:00,1474.8117948,550.0650196280001
 01/05  13:00:00,1433.72792419,514.515573818
 01/05  14:00:00,1473.83727017,508.51930264199996
 01/05  15:00:00,1482.81584474,467.32635464099997
 01/05  16:00:00,1490.74147631,458.640244527
 01/05  17:00:00,1499.32496973,504.024023222
 01/05  18:00:00,1509.67142789,496.90763155
 01/05  19:00:00,1232.50869008,506.635542858
 01/05  20:00:00,1211.66008052,479.269139279
 01/05  21:00:00,985.1299365130001,524.213854198
 01/05  22:00:00,929.39482015,517.788982488
 01/05  23:00:00,900.488000447,522.842650938
 01/05  24:00:00,932.201417817,513.696156294
 01/06  01:00:00,974.5910733869999,507.37773856300004
 01/06  02:00:00,972.9315559710001,513.3619123430001
 01/06  03:00:00,941.634904852,510.762675064
 01/06  04:00:00,962.921386838,522.2844822540001
 01/06  05:00:00,1070.80323448,501.827860611
 01/06  06:00:00,1079.57267101,809.45755628
 01/06  07:00:00,1312.54962674,587.48501509
 01/06  08:00:00,1436.74970025,564.294811001
 01/06  09:00:00,1469.47373234,566.001730555
 01/06  10:00:00,1503.09410564,537.719019549
 01/06  11:00:00,1508.07062061,553.9782505730001
 01/06  12:00:00,1507.75923399,548.71845116
 01/06  13:00:00,1463.88553474,518.880025908
 01/06  14:00:00,1491.33233827,515.8542220319999
 01/06  15:00:00,1480.31930668,487.39350081699996
 01/06  16:00:00,1470.89549856,487.60645615
 01/06  17:00:00,1476.71129784,521.735854375
 01/06  18:00:00,1492.0862422,496.316884221
 01/06  19:00:00,1224.00593348,499.90311006900004
 01/06  20:00:00,1216.66965785,465.423474235
 01/06  21:00:00,1086.59617964,504.15883221800004
 01/06  22:00:00,1051.490985,495.16130848
 01/06  23:00:00,988.082946091,498.921780992
 01/06  24:00:00,991.730755964,489.47853960199996
 01/07  01:00:00,981.148616005,484.5103485
 01/07  02:00:00,981.105214972,487.907372985
 01/07  03:00:00,979.530270847,482.91558519
 01/07  04:00:00,978.212489818,495.931743594
 01/07  05:00:00,982.154697922,492.510677405
 01/07  06:00:00,967.204768886,506.96729197199994
 01/07  07:00:00,1028.20428987,464.106374628
 01/07  08:00:00,1147.11854209,749.600006667
 01/07  09:00:00,1142.43561476,649.01335024
 01/07  10:00:00,1244.04399794,621.0617084630001
 01/07  11:00:00,1221.9987819,627.220231549
 01/07  12:00:00,1195.71867366,623.297555698
 01/07  13:00:00,1138.32529966,617.170515299
 01/07  14:00:00,1112.74876454,602.109206226
 01/07  15:00:00,1109.90766817,586.9731796140001
 01/07  16:00:00,983.181653432,470.17916523199995
 01/07  17:00:00,963.181512209,517.436312573
