Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,19.1679609375,70.5914862159
 01/01  02:00:00,18.0538693967,49.6721747464
 01/01  03:00:00,18.6806358197,61.641489863800004
 01/01  04:00:00,17.7135063026,43.309840894
 01/01  05:00:00,18.4443885415,57.2353944729
 01/01  06:00:00,17.663350264400002,42.421884438
 01/01  07:00:00,18.4241685966,56.9119812273
 01/01  08:00:00,14.6839912554,42.3568717518
 01/01  09:00:00,9.47756629529,56.4742583309
 01/01  10:00:00,8.612216036469999,40.026965240900005
 01/01  11:00:00,9.20724307148,51.337751978
 01/01  12:00:00,8.50758385083,38.0454385782
 01/01  13:00:00,9.21953424225,51.5599074703
 01/01  14:00:00,8.53445234338,38.5568706777
 01/01  15:00:00,9.428833028560001,55.4962088923
 01/01  16:00:00,8.86409257503,44.7570634602
 01/01  17:00:00,9.98052902879,65.9614000979
 01/01  18:00:00,16.776403991,53.7113736633
 01/01  19:00:00,19.4650655636,76.5779162506
 01/01  20:00:00,18.552170073800003,59.104859008599995
 01/01  21:00:00,19.716889790299998,81.3223302048
 01/01  22:00:00,18.7165362163,62.191115528000005
 01/01  23:00:00,19.8686099404,84.2123777832
 01/01  24:00:00,18.8931492321,64.57803479020001
 01/02  01:00:00,20.175266583,90.70410079
 01/02  02:00:00,19.1015619254,73.6478255775
 01/02  03:00:00,20.4344071104,104.188413668
 01/02  04:00:00,19.409796761,91.50510466719999
 01/02  05:00:00,20.8488898616,124.61282733899999
 01/02  06:00:00,19.6456621626,104.97476009100001
 01/02  07:00:00,24.4418804796,170.104962555
 01/02  08:00:00,41.9576196477,144.071606434
 01/02  09:00:00,55.4874258045,117.299976501
 01/02  10:00:00,67.3353441863,85.5163467685
 01/02  11:00:00,67.3094819869,65.0319824274
 01/02  12:00:00,67.3466850321,42.832786239499995
 01/02  13:00:00,60.8538607576,24.5458886555
 01/02  14:00:00,67.3466850321,11.5510091837
 01/02  15:00:00,67.3466850321,7.73229738985
 01/02  16:00:00,67.3466850321,9.57929531599
 01/02  17:00:00,67.3466850321,15.0896171828
 01/02  18:00:00,29.2256485921,23.477156323600003
 01/02  19:00:00,16.9656737691,28.2849811046
 01/02  20:00:00,17.8707305587,45.3245332384
 01/02  21:00:00,17.3896537868,36.4816424438
 01/02  22:00:00,18.0775905135,49.4191887159
 01/02  23:00:00,17.3606689046,36.0830162525
 01/02  24:00:00,18.087930069400002,49.748835543199995
 01/03  01:00:00,17.5574072758,39.8739783124
 01/03  02:00:00,18.5559763381,58.752682501
 01/03  03:00:00,17.8364714599,45.269365735
 01/03  04:00:00,18.665677776600003,61.0098671592
 01/03  05:00:00,17.789116501800002,44.480181733900004
 01/03  06:00:00,18.5916151361,59.719506576899995
 01/03  07:00:00,24.3270908364,73.1137006237
 01/03  08:00:00,41.8428300045,60.5826748003
 01/03  09:00:00,55.3726361613,51.732699456499994
 01/03  10:00:00,67.3466850321,42.310498933299996
 01/03  11:00:00,67.3466850321,33.9288474043
 01/03  12:00:00,67.3466850321,27.4594333208
 01/03  13:00:00,60.8538607576,21.330222936600002
 01/03  14:00:00,67.3466850321,11.7826200187
 01/03  15:00:00,67.3466850321,8.61371528087
 01/03  16:00:00,67.3466850321,8.09068411154
 01/03  17:00:00,67.3466850321,8.49200473795
 01/03  18:00:00,28.3826391638,8.35300368273
 01/03  19:00:00,16.5767467126,21.1811795289
 01/03  20:00:00,16.5305339801,20.7441045517
 01/03  21:00:00,17.0371501399,30.021696036599998
 01/03  22:00:00,16.782476906,25.687553484299997
 01/03  23:00:00,17.3849375778,36.657269154299996
 01/03  24:00:00,16.9917208538,29.767847818499998
 01/04  01:00:00,17.4048410664,37.1201178354
 01/04  02:00:00,16.8174495205,26.5716562902
 01/04  03:00:00,17.0134209736,29.888598160999997
 01/04  04:00:00,16.5155075462,20.9286737919
 01/04  05:00:00,16.6969145589,24.0384074351
 01/04  06:00:00,16.3429760663,17.736771772
 01/04  07:00:00,24.3270908364,29.4603216765
 01/04  08:00:00,41.8428300045,14.8916592305
 01/04  09:00:00,55.3726361613,10.1602135285
 01/04  10:00:00,67.3466850321,8.19354295414
 01/04  11:00:00,67.3466850321,6.92186150572
 01/04  12:00:00,67.3466850321,6.521714178530001
 01/04  13:00:00,60.8538607576,7.05750540998
 01/04  14:00:00,67.3466850321,5.42462547625
 01/04  15:00:00,67.3466850321,4.70236511391
 01/04  16:00:00,67.3466850321,6.483426869830001
 01/04  17:00:00,67.3466850321,11.9946736286
 01/04  18:00:00,29.1518216068,22.2227924346
 01/04  19:00:00,17.4060072115,36.4243985807
 01/04  20:00:00,17.7174426579,43.060688487700006
 01/04  21:00:00,18.206856444,51.6287739103
 01/04  22:00:00,18.2428577821,53.298919195299995
 01/04  23:00:00,18.6297047601,59.63389531520001
 01/04  24:00:00,18.589283033399997,60.065990043
 01/05  01:00:00,18.9177796779,65.0983240096
 01/05  02:00:00,18.759499343199998,63.422648789899995
 01/05  03:00:00,19.0592643242,67.7983023978
 01/05  04:00:00,18.8953201747,66.1002864944
 01/05  05:00:00,19.2743929152,71.8724981685
 01/05  06:00:00,19.1382047664,70.863578276
 01/05  07:00:00,24.3146898213,109.894669624
 01/05  08:00:00,41.7808249292,103.80172756799999
 01/05  09:00:00,55.347834131099994,91.5710270145
 01/05  10:00:00,67.3466850321,74.11548640609999
 01/05  11:00:00,67.3466850321,59.7246502383
 01/05  12:00:00,67.3466850321,45.9828073419
 01/05  13:00:00,60.8538607576,35.954340893
 01/05  14:00:00,67.3466850321,25.62297922
 01/05  15:00:00,67.3466850321,19.7546469997
 01/05  16:00:00,67.3466850321,17.0529781103
 01/05  17:00:00,67.3466850321,21.2325915179
 01/05  18:00:00,29.5771693556,29.832242768
 01/05  19:00:00,17.4071698928,36.6304213208
 01/05  20:00:00,18.6360032293,59.6247020876
 01/05  21:00:00,18.2159859344,52.1482911349
 01/05  22:00:00,19.3566524117,73.5618952802
 01/05  23:00:00,18.4027916607,55.82014466890001
 01/05  24:00:00,19.348797583299998,73.5628108098
 01/06  01:00:00,18.2689961338,53.3747929971
 01/06  02:00:00,19.1705508875,70.2488334067
 01/06  03:00:00,18.295335802,53.9295877747
 01/06  04:00:00,19.0889613435,68.8068433163
 01/06  05:00:00,17.9896964021,48.2134617926
 01/06  06:00:00,18.6967095918,61.4264146576
 01/06  07:00:00,24.3270908364,72.4199508141
 01/06  08:00:00,41.8428300045,58.1974935237
 01/06  09:00:00,55.3726361613,45.7790251922
 01/06  10:00:00,67.3466850321,33.312030963699996
 01/06  11:00:00,67.3466850321,23.0212576439
 01/06  12:00:00,67.3466850321,14.919231496199998
 01/06  13:00:00,60.8538607576,10.8660859808
 01/06  14:00:00,67.3466850321,8.6351005482
 01/06  15:00:00,67.3466850321,8.17881136538
 01/06  16:00:00,67.3466850321,7.89860177291
 01/06  17:00:00,67.3466850321,8.1270074548
 01/06  18:00:00,28.3854511878,8.33315860271
 01/06  19:00:00,16.2380429309,14.9879376809
 01/06  20:00:00,16.4242400309,18.3988258249
 01/06  21:00:00,16.3965571671,18.156478197000002
 01/06  22:00:00,16.4614921471,19.238236032
 01/06  23:00:00,16.3994618488,18.3987216329
 01/06  24:00:00,16.433501325199998,18.874152812000002
 01/07  01:00:00,16.3845965577,18.249769479
 01/07  02:00:00,16.488191248,19.978772325
 01/07  03:00:00,16.516034611400002,20.8350292002
 01/07  04:00:00,16.694195427,23.8892973625
 01/07  05:00:00,16.8704177381,27.6238079504
 01/07  06:00:00,17.2815624631,34.9190914198
 01/07  07:00:00,17.4899764084,39.4368207893
 01/07  08:00:00,21.3527575031,66.59990538689999
