Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,99.30953101909999,99.7374388201
 01/02  02:00:00,87.44205830840001,86.3087734582
 01/02  03:00:00,103.75948329,108.17655317100001
 01/02  04:00:00,90.9513140997,87.69102358209999
 01/02  05:00:00,129.203130209,123.85768183100001
 01/02  06:00:00,159.472450715,192.279882773
 01/02  07:00:00,210.51472569999999,167.56080353
 01/02  08:00:00,229.352916104,147.581385009
 01/02  09:00:00,225.11898694799999,141.144225941
 01/02  10:00:00,233.614206293,145.768673944
 01/02  11:00:00,232.186266056,133.801960238
 01/02  12:00:00,231.60005627400002,139.196810256
 01/02  13:00:00,220.089341057,126.66848081200001
 01/02  14:00:00,230.750504779,131.26069670299998
 01/02  15:00:00,230.082036152,119.717075315
 01/02  16:00:00,230.499145073,126.830879215
 01/02  17:00:00,230.682389244,119.44118129200001
 01/02  18:00:00,242.130528187,130.309512409
 01/02  19:00:00,152.320555063,89.8218825331
 01/02  20:00:00,155.617267481,94.31525936
 01/02  21:00:00,130.47712626,107.141124856
 01/02  22:00:00,107.42752415700001,91.8378657907
 01/02  23:00:00,95.5448278642,80.7754921669
 01/02  24:00:00,105.743385694,103.047991581
 01/03  01:00:00,98.75507677969999,83.815016998
 01/03  02:00:00,106.402428246,105.83833219600001
 01/03  03:00:00,101.060725444,85.7996809325
 01/03  04:00:00,109.478959495,107.78330546
 01/03  05:00:00,138.404954492,121.870443418
 01/03  06:00:00,167.084809713,191.960034526
 01/03  07:00:00,217.45245404599999,168.61436484799998
 01/03  08:00:00,236.01617023400001,149.659317164
 01/03  09:00:00,231.54852128599998,151.832739805
 01/03  10:00:00,239.650340263,139.410281548
 01/03  11:00:00,236.207461189,143.529740183
 01/03  12:00:00,234.204017619,130.56686770000002
 01/03  13:00:00,220.559644262,136.164878715
 01/03  14:00:00,229.18377079599998,123.63783309600001
 01/03  15:00:00,228.30426723,128.90991864
 01/03  16:00:00,227.97456346200002,117.97458343299999
 01/03  17:00:00,228.68093182,125.72712765799999
 01/03  18:00:00,241.66863606400003,116.994814025
 01/03  19:00:00,152.06074634,88.4903802842
 01/03  20:00:00,153.521666864,93.8650851343
