Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,155.988449252,208.15572698900002
 01/01  02:00:00,152.043036987,152.729125055
 01/01  03:00:00,158.629718125,230.49843631299998
 01/01  04:00:00,162.044979055,157.46194877
 01/01  05:00:00,161.85542132,242.05157912099997
 01/01  06:00:00,157.040226478,159.250197466
 01/01  07:00:00,157.436371982,233.99503564900002
 01/01  08:00:00,153.774504482,137.112741301
 01/01  09:00:00,121.398408645,189.610410024
 01/01  10:00:00,115.91673933700001,89.7426471483
 01/01  11:00:00,113.41709171299999,115.96270472100001
 01/01  12:00:00,116.430321694,87.14409294100001
 01/01  13:00:00,112.87953955200001,102.401707694
 01/01  14:00:00,109.212781444,59.7482736329
 01/01  15:00:00,105.409062401,66.7746791354
 01/01  16:00:00,104.21696308700001,47.856988262799995
 01/01  17:00:00,120.085345062,67.1039070409
 01/01  18:00:00,126.31399820600001,62.3463312585
 01/01  19:00:00,137.91048321600002,107.55788180399999
 01/01  20:00:00,130.920354385,88.7498278508
 01/01  21:00:00,136.565172607,150.209791752
 01/01  22:00:00,151.28281335399998,139.514389251
 01/01  23:00:00,158.610618095,226.453888357
 01/01  24:00:00,156.461569299,161.551922468
 01/02  01:00:00,164.103627396,244.04775826099998
 01/02  02:00:00,154.273295915,162.205913761
 01/02  03:00:00,164.638329064,237.085973822
 01/02  04:00:00,154.292568938,170.953356254
 01/02  05:00:00,158.394637227,245.09612151099998
 01/02  06:00:00,161.262000992,176.78604425700001
 01/02  07:00:00,198.24713130900003,2608.56590812
 01/02  08:00:00,372.76958101599996,2246.14939591
 01/02  09:00:00,448.67619603699995,1911.99872708
 01/02  10:00:00,447.804416881,1788.69679316
 01/02  11:00:00,453.481944993,1640.78171301
 01/02  12:00:00,454.42050605300005,1499.65120552
 01/02  13:00:00,453.327625552,1410.43929727
 01/02  14:00:00,447.274261404,1286.54072522
 01/02  15:00:00,447.186487287,1167.81018597
 01/02  16:00:00,439.294475955,1074.41266455
 01/02  17:00:00,434.34168476300005,1017.25163096
 01/02  18:00:00,372.593135323,1231.39951033
 01/02  19:00:00,372.63069460300005,1307.63643022
 01/02  20:00:00,373.04905062800003,1323.48306957
 01/02  21:00:00,373.06532873699996,1420.03455633
 01/02  22:00:00,119.33114557399999,24.780674515500003
 01/02  23:00:00,119.561675434,8.32725590251
 01/02  24:00:00,124.08162099100001,22.1404195519
 01/03  01:00:00,121.91391207299999,13.745189835
 01/03  02:00:00,125.04905983100001,31.659931969699997
 01/03  03:00:00,126.9335851,25.9214210466
 01/03  04:00:00,128.410234818,39.853900721900004
 01/03  05:00:00,138.492861269,50.3805743877
 01/03  06:00:00,134.03411321,63.3621272845
 01/03  07:00:00,198.738216692,2306.23784489
 01/03  08:00:00,371.613696215,1949.46809532
 01/03  09:00:00,447.396786932,1612.75666462
 01/03  10:00:00,447.286110067,1450.04376768
 01/03  11:00:00,453.221138915,1348.02557058
 01/03  12:00:00,454.22084460900004,1206.89351178
 01/03  13:00:00,452.160045622,989.1335018860001
 01/03  14:00:00,445.672658346,930.644425732
 01/03  15:00:00,445.655636254,925.028538949
 01/03  16:00:00,437.65451288699995,807.2341044489999
 01/03  17:00:00,433.040191796,813.4737783039999
 01/03  18:00:00,371.765642389,975.441037865
 01/03  19:00:00,371.778418892,977.529738177
 01/03  20:00:00,371.75439985199995,961.7392656019999
 01/03  21:00:00,371.755755845,968.601326859
 01/03  22:00:00,118.473678,13.883978219100001
 01/03  23:00:00,119.408048344,14.597064819100002
 01/03  24:00:00,120.134493553,14.7237169746
 01/04  01:00:00,120.259234415,7.406484344239999
 01/04  02:00:00,122.147898765,8.210452866679999
 01/04  03:00:00,122.795402164,19.0588593889
 01/04  04:00:00,122.1414429,10.3303083981
 01/04  05:00:00,127.395983014,15.74059145
 01/04  06:00:00,127.548713858,26.3615660954
 01/04  07:00:00,197.531614808,1941.35008155
 01/04  08:00:00,370.27080691,1536.68373274
 01/04  09:00:00,447.17319298,1311.33293835
 01/04  10:00:00,446.944854754,1165.12487463
 01/04  11:00:00,451.964364059,1002.33498451
 01/04  12:00:00,452.91052071,881.399629901
 01/04  13:00:00,452.633173785,834.591642487
 01/04  14:00:00,447.68649876800004,779.9148320060001
 01/04  15:00:00,447.99834867199996,748.017985547
 01/04  16:00:00,440.50740414300003,684.528272392
 01/04  17:00:00,440.739548595,634.93344506
 01/04  18:00:00,372.43198362,801.13429271
 01/04  19:00:00,370.922653034,788.5312222260001
 01/04  20:00:00,371.705411326,860.913279097
 01/04  21:00:00,372.095666516,901.679057205
 01/04  22:00:00,117.590024254,13.530724120999999
 01/04  23:00:00,117.388297291,13.4865427028
 01/04  24:00:00,119.31472940299999,13.6195183929
 01/05  01:00:00,119.08350006299999,5.122712999069999
 01/05  02:00:00,119.495706723,5.30646021629
 01/05  03:00:00,119.086881476,13.96390295
 01/05  04:00:00,119.484494131,5.7663051233000004
 01/05  05:00:00,119.504118465,5.74196660815
 01/05  06:00:00,121.30096262299999,15.1547052571
 01/05  07:00:00,196.10447955200002,1652.07912936
 01/05  08:00:00,369.76536053800004,1420.04542414
 01/05  09:00:00,446.687559408,1174.97605621
 01/05  10:00:00,445.935005446,993.79598102
 01/05  11:00:00,451.49819878,928.444218718
 01/05  12:00:00,452.431115089,878.5339389989999
 01/05  13:00:00,451.22866728900004,801.53701547
 01/05  14:00:00,445.04041045800005,671.746687454
 01/05  15:00:00,445.009714463,611.2786640180001
 01/05  16:00:00,437.213848808,543.334289765
 01/05  17:00:00,432.25236296699995,497.28569887199995
 01/05  18:00:00,370.50806505,724.257217628
 01/05  19:00:00,371.18854384,926.8780932669999
 01/05  20:00:00,372.15442000300004,938.904660367
 01/05  21:00:00,371.561711489,824.7858610019999
 01/05  22:00:00,117.624389295,13.5289857637
 01/05  23:00:00,117.409505184,13.486863100299999
 01/05  24:00:00,119.324145158,13.6622419873
 01/06  01:00:00,119.09125342600001,5.20419210235
 01/06  02:00:00,119.499456377,5.47500000823
 01/06  03:00:00,119.09036308200001,14.197430499700001
 01/06  04:00:00,119.48710825100001,6.15181187977
 01/06  05:00:00,122.54352799600001,6.41818267446
 01/06  06:00:00,124.725761395,16.7603746574
 01/06  07:00:00,197.153006027,1751.99587482
 01/06  08:00:00,369.94762338699996,1547.01654
 01/06  09:00:00,447.14735303699996,1359.94000233
 01/06  10:00:00,447.172151257,1221.56604383
 01/06  11:00:00,452.44119768800005,1098.41709176
 01/06  12:00:00,452.655459587,926.211704336
 01/06  13:00:00,451.326509607,833.6594892589999
 01/06  14:00:00,445.202438495,777.100668702
 01/06  15:00:00,445.211347097,784.058056675
 01/06  16:00:00,437.623980704,835.016442355
 01/06  17:00:00,433.194063364,855.560125072
 01/06  18:00:00,372.151850851,1014.8350310000001
 01/06  19:00:00,372.461444594,1061.37803442
 01/06  20:00:00,372.44080316699996,1066.60533671
 01/06  21:00:00,372.44457771099997,1074.86775491
 01/06  22:00:00,118.483506601,22.423613204699997
 01/06  23:00:00,119.013922226,5.4147516185599995
 01/06  24:00:00,120.54282733299999,14.477953865999998
 01/07  01:00:00,120.450784482,6.67493099814
 01/07  02:00:00,123.16047092,9.64167063086
 01/07  03:00:00,129.312408895,22.161493306700002
 01/07  04:00:00,128.33725519799998,15.6634963511
 01/07  05:00:00,133.566011515,27.6751938111
 01/07  06:00:00,134.36709088700002,31.3448473804
 01/07  07:00:00,138.88500319,56.3440514521
 01/07  08:00:00,133.748442323,51.66753478
 01/07  09:00:00,119.823547725,62.5642534374
 01/07  10:00:00,117.355569624,54.348323694799994
 01/07  11:00:00,118.329069019,78.75622250239999
 01/07  12:00:00,113.239679923,46.2427536254
 01/07  13:00:00,104.936759149,41.5437302192
 01/07  14:00:00,104.680028658,32.4938316252
 01/07  15:00:00,104.99692964399999,28.768127029099997
 01/07  16:00:00,104.41647564799999,23.9879058069
 01/07  17:00:00,104.51959433799999,17.421275768
 01/07  18:00:00,124.04622042,23.639111777399997
 01/07  19:00:00,128.535421846,34.5770337922
 01/07  20:00:00,133.93389052700002,50.4468345888
 01/07  21:00:00,138.232337848,71.8840896632
 01/07  22:00:00,141.824909915,139.511992099
 01/07  23:00:00,156.018230449,166.901565715
 01/07  24:00:00,155.599766799,135.275545241
 01/08  01:00:00,162.50500298,197.633092141
 01/08  02:00:00,161.197302546,155.888503606
 01/08  03:00:00,160.255555118,233.981514001
 01/08  04:00:00,156.817401964,171.369330646
 01/08  05:00:00,169.63234346,245.781920972
 01/08  06:00:00,157.268695738,185.27435812099998
 01/08  07:00:00,169.687871433,258.699608646
 01/08  08:00:00,150.819449926,173.872030146
 01/08  09:00:00,138.254660521,223.53332885400002
 01/08  10:00:00,138.096800531,149.916530513
 01/08  11:00:00,136.574930013,198.935954848
 01/08  12:00:00,127.38915016899999,135.65935784200002
 01/08  13:00:00,140.031357587,173.85475551099998
 01/08  14:00:00,121.372682195,120.315487435
 01/08  15:00:00,120.95685387799999,147.479175868
 01/08  16:00:00,118.49011987899999,92.0180121857
 01/08  17:00:00,117.330153846,73.9157653033
 01/08  18:00:00,136.523127236,80.17079842220001
 01/08  19:00:00,150.886925343,130.090849255
 01/08  20:00:00,136.991238772,107.000454152
 01/08  21:00:00,151.243712777,164.22764576
 01/08  22:00:00,150.467044185,199.152578141
 01/08  23:00:00,165.321101394,239.26626974200002
 01/08  24:00:00,161.751872397,180.03348170599998
 01/09  01:00:00,158.115647392,255.700938135
 01/09  02:00:00,163.509348478,186.358664175
 01/09  03:00:00,159.252309315,251.196562821
 01/09  04:00:00,163.529181575,199.758106925
 01/09  05:00:00,160.830867049,264.235821035
 01/09  06:00:00,163.948693601,196.214279205
 01/09  07:00:00,198.20622318099998,2607.24435364
 01/09  08:00:00,372.753136889,2190.40421183
 01/09  09:00:00,448.79942525,1960.28313173
 01/09  10:00:00,447.79770861699996,1820.06011356
 01/09  11:00:00,453.48665347400004,1636.6935383
 01/09  12:00:00,454.41593360800005,1446.06919101
 01/09  13:00:00,453.307765855,1329.08809554
 01/09  14:00:00,447.23485627,1216.95545746
 01/09  15:00:00,447.16422025199995,1146.88004557
 01/09  16:00:00,439.276363502,1051.29529884
 01/09  17:00:00,434.269947015,961.078796117
 01/09  18:00:00,372.48487046699995,1133.88355176
 01/09  19:00:00,372.516398221,1188.68471711
 01/09  20:00:00,372.923826566,1173.52310017
 01/09  21:00:00,372.891311654,1148.40569448
 01/09  22:00:00,119.17377000100001,14.381114685899998
 01/09  23:00:00,119.408395506,14.8843407752
 01/09  24:00:00,120.12166055799999,15.080487948900002
 01/10  01:00:00,119.47120966899999,7.09047234778
 01/10  02:00:00,120.007635582,7.59248917847
 01/10  03:00:00,122.46392704899999,17.4565377548
 01/10  04:00:00,122.364500554,9.83364127195
 01/10  05:00:00,124.648715006,11.1135711403
 01/10  06:00:00,124.151939455,21.518994218699998
 01/10  07:00:00,198.161735575,1885.67646384
 01/10  08:00:00,370.347193278,1595.29949533
 01/10  09:00:00,447.264129531,1398.68514537
 01/10  10:00:00,447.26851386699997,1306.2635805
 01/10  11:00:00,453.25213724800005,1243.22196741
 01/10  12:00:00,453.904779898,1123.77995725
 01/10  13:00:00,452.590126887,1079.25433642
 01/10  14:00:00,446.264600748,1030.73676759
 01/10  15:00:00,446.33114699699996,1044.49079234
 01/10  16:00:00,438.69889633699995,984.488492437
 01/10  17:00:00,434.15825712300006,924.007347419
 01/10  18:00:00,372.444616657,1089.39793169
 01/10  19:00:00,372.473513105,1151.1546985999998
 01/10  20:00:00,372.455882515,1122.98209199
 01/10  21:00:00,372.487337496,1217.60357881
 01/10  22:00:00,118.887331643,14.244604817799999
 01/10  23:00:00,119.430195695,14.9070154198
 01/10  24:00:00,120.14205135600001,6.8738367366399995
 01/11  01:00:00,121.572333378,17.1330151457
 01/11  02:00:00,122.63429645299999,11.2814329749
 01/11  03:00:00,127.330030057,14.4329877762
 01/11  04:00:00,129.987714985,30.545392786199997
 01/11  05:00:00,130.59066979899998,25.3725238104
 01/11  06:00:00,136.860858383,45.056179737200004
 01/11  07:00:00,198.09325826900002,2488.83294825
 01/11  08:00:00,371.41091391300006,2107.19215503
 01/11  09:00:00,447.38633550699996,1742.51053321
 01/11  10:00:00,447.304804985,1589.21420416
 01/11  11:00:00,453.254288601,1458.75819585
 01/11  12:00:00,454.259456395,1341.75530529
 01/11  13:00:00,453.210739387,1302.59741706
 01/11  14:00:00,447.237075096,1307.80579572
 01/11  15:00:00,447.20734677800004,1253.20865772
 01/11  16:00:00,439.37804775300003,1121.81708199
 01/11  17:00:00,434.289533084,1041.90139256
 01/11  18:00:00,372.489929849,1216.16755155
 01/11  19:00:00,372.528623086,1302.08297255
 01/11  20:00:00,372.947989684,1320.50672547
 01/11  21:00:00,372.92024116199997,1300.69963341
 01/11  22:00:00,119.28353460299999,23.2403532885
 01/11  23:00:00,119.02626754200001,14.7955672166
 01/11  24:00:00,120.550482965,7.302918103310001
 01/12  01:00:00,121.277010926,7.74829356617
 01/12  02:00:00,123.03767179100001,19.1688880101
 01/12  03:00:00,121.918150234,10.7085976241
 01/12  04:00:00,127.711502888,16.7760820506
 01/12  05:00:00,127.351584071,25.3794620521
 01/12  06:00:00,128.45154181,24.6765594127
 01/12  07:00:00,197.739047603,2129.40365288
 01/12  08:00:00,370.536485895,1759.70482701
 01/12  09:00:00,447.285006481,1488.37777685
 01/12  10:00:00,447.263553614,1382.89095832
 01/12  11:00:00,453.226541161,1290.00631519
 01/12  12:00:00,454.25086588199997,1206.0590481
 01/12  13:00:00,453.210122188,1184.80296047
 01/12  14:00:00,447.238498615,1183.22532494
 01/12  15:00:00,447.218746077,1155.54481533
 01/12  16:00:00,439.349395309,1083.1240733
 01/12  17:00:00,434.29560706300003,1003.16433548
 01/12  18:00:00,369.51574403300003,1204.5444173
 01/12  19:00:00,372.549281702,1317.99278804
 01/12  20:00:00,372.965801305,1333.87926587
 01/12  21:00:00,372.946478814,1343.62370147
 01/12  22:00:00,119.282741051,23.312381535500002
 01/12  23:00:00,119.025805241,6.34002747256
 01/12  24:00:00,120.54917109799999,16.3014738394
 01/13  01:00:00,122.518835127,8.94743177516
 01/13  02:00:00,122.332724342,20.3932183226
 01/13  03:00:00,126.802713006,13.9495962075
 01/13  04:00:00,126.093128255,19.5526433166
 01/13  05:00:00,130.777253156,33.6760998691
 01/13  06:00:00,132.120957084,30.9108540393
 01/13  07:00:00,198.63744603700002,2240.52947421
 01/13  08:00:00,370.812366944,1848.61434176
 01/13  09:00:00,447.356906749,1601.29925433
 01/13  10:00:00,447.35303270400004,1529.99658699
 01/13  11:00:00,453.315274239,1453.03851757
 01/13  12:00:00,454.320147675,1369.94012225
 01/13  13:00:00,453.242458329,1312.3535308
 01/13  14:00:00,447.260528966,1251.13990058
 01/13  15:00:00,447.244376014,1268.90435696
 01/13  16:00:00,439.371057712,1209.35674617
 01/13  17:00:00,434.37120633800004,1149.76667818
 01/13  18:00:00,369.640859056,1393.64714998
 01/13  19:00:00,372.676557053,1500.37720756
 01/13  20:00:00,372.66552267199995,1511.63693043
 01/13  21:00:00,372.66616093199997,1515.1994725
 01/13  22:00:00,119.127929759,18.572467433699998
 01/13  23:00:00,119.68219956600001,15.0178489486
 01/13  24:00:00,124.104040357,22.2311261052
 01/14  01:00:00,121.93196801299999,13.1740564042
 01/14  02:00:00,128.06590167,22.6649761537
 01/14  03:00:00,126.27616531,31.857440037699998
 01/14  04:00:00,130.75013127,37.385516404099995
 01/14  05:00:00,135.639334389,39.4657738715
 01/14  06:00:00,136.785266345,59.161966093000004
 01/14  07:00:00,134.515126275,61.8786369402
 01/14  08:00:00,131.212314209,72.6624013586
 01/14  09:00:00,118.407059144,59.25035862479999
 01/14  10:00:00,119.911439075,71.6810045324
 01/14  11:00:00,109.318819139,68.8816048532
 01/14  12:00:00,113.763551479,54.3304998563
 01/14  13:00:00,104.20993790700001,36.911450082100004
 01/14  14:00:00,105.388316161,37.5370218411
 01/14  15:00:00,104.2876558,32.9833342583
 01/14  16:00:00,105.369412433,35.5480271227
 01/14  17:00:00,103.92284424,19.402451558699997
 01/14  18:00:00,123.445191187,34.8824294111
 01/14  19:00:00,126.659418151,38.6676466234
 01/14  20:00:00,136.800388747,64.71924871510001
 01/14  21:00:00,130.05181090000002,62.7358257339
 01/14  22:00:00,140.645042542,150.250513974
 01/14  23:00:00,148.263007149,129.40610468
 01/14  24:00:00,156.53020949700002,163.229694887
 01/15  01:00:00,156.236070925,168.68179721299998
 01/15  02:00:00,156.345808721,182.12606368
 01/15  03:00:00,161.207463898,182.95222581599998
 01/15  04:00:00,160.941624925,186.978017843
 01/15  05:00:00,156.626517413,182.896274625
 01/15  06:00:00,158.05294808899998,193.29705425
 01/15  07:00:00,162.706164862,203.75058938900003
 01/15  08:00:00,148.891426381,171.313552372
 01/15  09:00:00,133.732565152,151.178476625
 01/15  10:00:00,137.282967602,154.774941273
 01/15  11:00:00,121.041023914,174.50450545799998
 01/15  12:00:00,138.800704608,157.53742942
 01/15  13:00:00,116.747093838,114.172384478
 01/15  14:00:00,118.55365852,102.30531641799999
 01/15  15:00:00,116.09283542600001,73.42206419060001
 01/15  16:00:00,111.53994443299999,72.457355104
 01/15  17:00:00,115.83206698299999,63.956637669799996
 01/15  18:00:00,133.756085859,94.2752554477
 01/15  19:00:00,133.659060836,89.9377011386
 01/15  20:00:00,138.391790151,118.435891211
 01/15  21:00:00,147.682462985,130.856713245
 01/15  22:00:00,155.836646889,241.24112851400002
 01/15  23:00:00,160.528925285,208.183584617
 01/15  24:00:00,159.174978755,235.353010005
 01/16  01:00:00,161.20939619,218.868024942
 01/16  02:00:00,160.464364329,239.127297733
 01/16  03:00:00,163.461531444,223.812807084
 01/16  04:00:00,160.474390632,235.296532513
 01/16  05:00:00,165.013786385,233.71083852099997
 01/16  06:00:00,162.01055604,241.79898463700002
 01/16  07:00:00,168.673533494,249.490611235
 01/16  08:00:00,154.401613676,207.55561058900003
 01/16  09:00:00,136.899533612,200.679288741
 01/16  10:00:00,134.53530932299998,200.92525380900003
 01/16  11:00:00,133.117651308,155.054193706
 01/16  12:00:00,138.22937062399998,183.634797195
 01/16  13:00:00,127.646511872,161.90952679
 01/16  14:00:00,127.913950286,168.24433932600002
 01/16  15:00:00,130.65194023799998,156.134911076
 01/16  16:00:00,129.359024444,156.220217047
 01/16  17:00:00,128.95764797299998,155.68199634799998
 01/16  18:00:00,141.672055009,180.27627699
 01/16  19:00:00,155.93004253700002,178.635202553
 01/16  20:00:00,157.69952653200002,208.816112738
 01/16  21:00:00,149.106941796,194.47473869
 01/16  22:00:00,164.687335577,290.940384905
 01/16  23:00:00,167.753122063,278.414045192
 01/16  24:00:00,167.709364232,314.35745613299997
 01/17  01:00:00,172.04405886700002,319.68989731799996
 01/17  02:00:00,169.126109692,341.204285066
 01/17  03:00:00,174.55265804799998,332.304403277
 01/17  04:00:00,168.080130919,358.227466058
 01/17  05:00:00,175.419894568,337.63718806400004
 01/17  06:00:00,170.96461151100002,374.652276691
 01/17  07:00:00,199.121028718,3037.79687157
 01/17  08:00:00,372.95311115699997,2726.2022108
 01/17  09:00:00,450.031767935,2560.15179
 01/17  10:00:00,449.572841425,2454.25127873
 01/17  11:00:00,454.516654046,2235.54404204
 01/17  12:00:00,454.84962917400003,2002.38481451
 01/17  13:00:00,453.556196289,1854.86371712
 01/17  14:00:00,447.452667394,1704.22151734
 01/17  15:00:00,447.318681014,1514.59265234
 01/17  16:00:00,439.394671176,1389.0056613
 01/17  17:00:00,434.442286327,1380.53533781
 01/17  18:00:00,369.796896729,1609.29095574
 01/17  19:00:00,372.798037185,1604.42285635
 01/17  20:00:00,372.823492073,1653.92073765
 01/17  21:00:00,372.87510537,1743.40615903
 01/17  22:00:00,119.104928587,19.9766879508
 01/17  23:00:00,122.55062689299999,24.0279752814
 01/17  24:00:00,126.10881071200001,39.8672558256
 01/18  01:00:00,129.194433218,41.1336393209
 01/18  02:00:00,138.192911275,69.29732251770001
 01/18  03:00:00,138.342425718,97.1738051436
 01/18  04:00:00,154.778527589,120.62022283700001
 01/18  05:00:00,156.370500451,147.28613602
 01/18  06:00:00,162.298241799,180.796130851
 01/18  07:00:00,198.28957047,2829.13185053
 01/18  08:00:00,372.707580484,2434.6000860999998
 01/18  09:00:00,448.16831849,2144.72733824
 01/18  10:00:00,447.661928809,2027.24453217
 01/18  11:00:00,453.447097439,1800.50933394
 01/18  12:00:00,454.36874067699995,1589.00594506
 01/18  13:00:00,453.261182276,1486.99045448
 01/18  14:00:00,447.248098392,1395.07988775
 01/18  15:00:00,447.20682112099996,1334.106642
 01/18  16:00:00,439.324334212,1241.11425186
 01/18  17:00:00,434.311387549,1168.23902289
 01/18  18:00:00,369.542683329,1323.91881037
 01/18  19:00:00,372.56168104,1357.89432029
 01/18  20:00:00,372.98597582400004,1379.18743743
 01/18  21:00:00,372.97633046,1415.91558971
 01/18  22:00:00,119.346279869,24.5226298651
 01/18  23:00:00,119.009499354,16.5621303932
 01/18  24:00:00,123.66898879899999,12.2943485069
 01/19  01:00:00,121.92420321200001,20.9237520406
 01/19  02:00:00,128.064553504,22.253624751100002
 01/19  03:00:00,126.94611718200001,25.5000257389
 01/19  04:00:00,138.86802268,56.0023086021
 01/19  05:00:00,134.50425782,45.7707129825
 01/19  06:00:00,139.309791488,79.2337543086
 01/19  07:00:00,198.154496898,2551.86251024
 01/19  08:00:00,371.75265994800003,2147.23520016
 01/19  09:00:00,447.54589808199995,1870.15695143
 01/19  10:00:00,447.446943389,1765.56123088
 01/19  11:00:00,453.38358247800005,1655.53580839
 01/19  12:00:00,454.325993394,1511.91357775
 01/19  13:00:00,453.24898080400004,1379.16142369
 01/19  14:00:00,447.22969853,1235.52555087
 01/19  15:00:00,447.211149376,1165.56711669
 01/19  16:00:00,439.418390563,1108.70174084
 01/19  17:00:00,434.271846087,1011.99889226
 01/19  18:00:00,369.47155271800005,1151.45519359
 01/19  19:00:00,372.489087696,1213.59672592
 01/19  20:00:00,372.910735155,1226.86143936
 01/19  21:00:00,372.893015092,1235.65049755
 01/19  22:00:00,119.28351974200001,14.5020037068
 01/19  23:00:00,119.02548521799999,14.7815371347
 01/19  24:00:00,120.547360036,15.9400115712
 01/20  01:00:00,120.385583918,7.4527407422100005
 01/20  02:00:00,122.320786705,9.86868244921
 01/20  03:00:00,122.619382247,19.273782585
 01/20  04:00:00,126.912638552,16.1414581272
 01/20  05:00:00,132.013096861,20.7039157697
 01/20  06:00:00,133.929605233,37.573423642399995
 01/20  07:00:00,198.67412934400002,2328.15997777
 01/20  08:00:00,371.058968628,1998.0135883
 01/20  09:00:00,447.3965073,1749.41458887
 01/20  10:00:00,447.369728572,1622.98039154
 01/20  11:00:00,453.32389098,1518.68544197
 01/20  12:00:00,454.323917264,1416.40384201
 01/20  13:00:00,453.241502945,1326.99828712
 01/20  14:00:00,447.22336093900003,1245.87751353
 01/20  15:00:00,447.21030396099997,1207.76004157
 01/20  16:00:00,439.32005693800005,1101.13526588
 01/20  17:00:00,434.281722162,1049.68982877
 01/20  18:00:00,369.504685157,1269.44743748
 01/20  19:00:00,372.548376346,1398.76657281
 01/20  20:00:00,372.552735095,1436.85225643
 01/20  21:00:00,372.584162442,1492.54192275
 01/20  22:00:00,119.03619047299999,24.0774339053
 01/20  23:00:00,119.00800335299999,15.9248152653
 01/20  24:00:00,122.675532526,10.9902240297
 01/21  01:00:00,122.634725497,12.032184798
 01/21  02:00:00,128.349022221,28.934598473
 01/21  03:00:00,130.32173854299998,23.0536122135
 01/21  04:00:00,135.964485717,38.4860759674
 01/21  05:00:00,138.86954181,48.19583851350001
 01/21  06:00:00,136.902433056,77.98869087029999
 01/21  07:00:00,154.06507241,82.0742697692
 01/21  08:00:00,131.82541737399998,76.7041438007
 01/21  09:00:00,119.842606526,79.6373957798
 01/21  10:00:00,117.38124375,84.3011009853
 01/21  11:00:00,117.1719048,83.6097892498
 01/21  12:00:00,116.30433342,75.36888497609999
 01/21  13:00:00,112.346764575,45.1696566205
 01/21  14:00:00,104.686203907,39.7399128854
 01/21  15:00:00,105.000684185,27.202747969
 01/21  16:00:00,104.663780975,35.5268418731
 01/21  17:00:00,105.604593081,32.1051327575
 01/21  18:00:00,120.089738231,45.1420658814
 01/21  19:00:00,130.90953793399999,51.874213062299994
 01/21  20:00:00,133.466451167,62.4806631171
 01/21  21:00:00,138.576308051,83.4720146282
 01/21  22:00:00,135.802372544,150.732397374
 01/21  23:00:00,152.26314658,138.195947316
 01/21  24:00:00,151.64965814200002,137.291501007
 01/22  01:00:00,157.094219482,145.441408501
 01/22  02:00:00,148.719523095,145.899015551
 01/22  03:00:00,156.157900437,166.390058133
 01/22  04:00:00,151.944631485,146.815754225
 01/22  05:00:00,156.47869392799998,171.51640332899998
 01/22  06:00:00,151.858841563,144.24032536
 01/22  07:00:00,157.609749851,168.793929792
 01/22  08:00:00,132.816430789,123.56262051
 01/22  09:00:00,119.38590275,136.56441919
 01/22  10:00:00,116.728322149,103.86649022299999
 01/22  11:00:00,118.672432929,121.15739488
 01/22  12:00:00,117.427344985,92.2833078104
 01/22  13:00:00,114.07589761,94.6524158764
 01/22  14:00:00,104.669754731,61.0866649454
 01/22  15:00:00,104.98322749200001,53.9287138055
 01/22  16:00:00,104.62468607,40.5070595024
 01/22  17:00:00,104.716659778,25.6284098271
 01/22  18:00:00,116.368888039,31.3582464733
 01/22  19:00:00,127.111490616,42.063935128400004
 01/22  20:00:00,127.79680740299999,57.287275460500005
 01/22  21:00:00,129.3288676,62.031675972399995
 01/22  22:00:00,134.556873497,128.056184889
 01/22  23:00:00,153.31634216,124.889147265
 01/22  24:00:00,143.34264816700002,124.982994456
 01/23  01:00:00,148.556140954,149.77607587100002
 01/23  02:00:00,149.28796023799998,151.572351561
 01/23  03:00:00,155.49522964,158.650237462
 01/23  04:00:00,155.617368159,163.37603471399999
 01/23  05:00:00,153.635549583,172.800159632
 01/23  06:00:00,153.574391095,158.845843222
 01/23  07:00:00,198.12789818299999,2461.13010986
 01/23  08:00:00,369.415157772,1999.63538735
 01/23  09:00:00,447.95157765199997,1722.89622452
 01/23  10:00:00,447.564488294,1648.4693068
 01/23  11:00:00,453.430476665,1521.91196898
 01/23  12:00:00,454.284006752,1307.74955127
 01/23  13:00:00,453.189200364,1175.90152395
 01/23  14:00:00,446.80818110000007,1091.93966195
 01/23  15:00:00,446.896413372,1088.93111865
 01/23  16:00:00,438.924751637,997.455979863
 01/23  17:00:00,433.98423034300004,909.146826672
 01/23  18:00:00,366.49016944699997,1092.72954059
 01/23  19:00:00,372.520019448,1229.85099499
 01/23  20:00:00,372.946169429,1274.40579439
 01/23  21:00:00,372.93017172199995,1288.75013921
 01/23  22:00:00,119.17637182799999,23.0621145944
