Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,633.00142099,636.356676389
 01/01  02:00:00,661.369164437,604.026289235
 01/01  03:00:00,674.6096335359999,592.152482097
 01/01  04:00:00,677.848660625,599.005707064
 01/01  05:00:00,676.75276733,610.6118024230001
 01/01  06:00:00,643.442733935,689.1378234260001
 01/01  07:00:00,692.17316902,673.966938859
 01/01  08:00:00,688.0004205910001,668.8322372719999
 01/01  09:00:00,816.678982713,515.906412219
 01/01  10:00:00,865.512264925,426.339717688
 01/01  11:00:00,908.147144327,450.508924821
 01/01  12:00:00,923.6748747319999,441.864844974
 01/01  13:00:00,924.105724337,438.37452345400004
 01/01  14:00:00,922.629731575,429.824234835
 01/01  15:00:00,912.346888138,400.71583982
 01/01  16:00:00,906.1338444439999,409.338751952
 01/01  17:00:00,847.264811856,467.39840077
 01/01  18:00:00,774.3035610969999,517.968515502
 01/01  19:00:00,705.2643049389999,602.478423395
 01/01  20:00:00,678.384197795,614.415108263
 01/01  21:00:00,650.85420531,630.685047562
 01/01  22:00:00,662.6492410230001,594.4237423440001
 01/01  23:00:00,648.913409688,621.614266529
 01/01  24:00:00,635.028353801,635.626921099
 01/02  01:00:00,622.467340839,651.669088357
 01/02  02:00:00,594.326190378,741.134775164
 01/02  03:00:00,571.042808188,792.236209623
 01/02  04:00:00,557.851580894,817.0354637339999
 01/02  05:00:00,654.294862027,724.70085226
 01/02  06:00:00,666.5309482619999,1252.30350453
 01/02  07:00:00,898.444695215,786.781999938
 01/02  08:00:00,1032.21883083,668.469680968
 01/02  09:00:00,1067.48699159,638.98352209
 01/02  10:00:00,1127.09882603,539.839884971
 01/02  11:00:00,1190.63357738,523.041957361
 01/02  12:00:00,1232.30821367,497.029447193
 01/02  13:00:00,1216.8316247000002,469.588031048
 01/02  14:00:00,1258.48936084,451.797602668
 01/02  15:00:00,1200.33523569,414.018913575
 01/02  16:00:00,1142.64828796,428.717071556
 01/02  17:00:00,1147.96104082,477.00519966400003
 01/02  18:00:00,1153.662286,489.995052615
 01/02  19:00:00,888.053786009,491.091297727
 01/02  20:00:00,872.8402712489999,481.755641959
 01/02  21:00:00,739.9131316180001,548.399377457
 01/02  22:00:00,696.221198671,554.170753336
 01/02  23:00:00,617.739391932,590.676581461
 01/02  24:00:00,620.541677614,573.346106237
 01/03  01:00:00,602.436617189,575.128581948
 01/03  02:00:00,591.0490320580001,595.098808461
 01/03  03:00:00,580.197463902,630.668277243
 01/03  04:00:00,558.392297116,693.374306674
 01/03  05:00:00,629.32907524,709.190444247
 01/03  06:00:00,624.27800748,1030.75567539
 01/03  07:00:00,849.300615305,730.6013552139999
 01/03  08:00:00,958.486389317,710.1857209230001
 01/03  09:00:00,1008.48675797,649.083653875
 01/03  10:00:00,1063.42387367,567.491202628
 01/03  11:00:00,1087.72570049,576.854683806
 01/03  12:00:00,1107.96109382,532.790900744
 01/03  13:00:00,1078.84981844,504.41197598199994
 01/03  14:00:00,1125.93821601,480.221417963
 01/03  15:00:00,1127.11107676,440.86360323099996
 01/03  16:00:00,1124.75923554,456.49214118300006
 01/03  17:00:00,1103.03251793,534.8556810719999
 01/03  18:00:00,1095.15505893,561.785235321
 01/03  19:00:00,803.20123721,688.774686222
 01/03  20:00:00,779.551030427,698.022115418
 01/03  21:00:00,657.920172614,680.4131546819999
 01/03  22:00:00,614.512290559,683.780097788
 01/03  23:00:00,553.984067696,675.341625151
 01/03  24:00:00,577.510752864,614.138066151
 01/04  01:00:00,573.439550351,600.938863924
 01/04  02:00:00,574.222460816,614.814052191
 01/04  03:00:00,574.268970857,635.512907581
 01/04  04:00:00,582.227483532,617.865767851
 01/04  05:00:00,673.575847731,592.033116893
 01/04  06:00:00,665.297005,939.4328102
 01/04  07:00:00,895.943622127,648.728134948
 01/04  08:00:00,1015.78258862,589.799861602
 01/04  09:00:00,1083.30340188,540.890376127
 01/04  10:00:00,1146.97575236,479.711434651
 01/04  11:00:00,1168.42729472,502.379702792
 01/04  12:00:00,1194.38002782,487.861440896
 01/04  13:00:00,1166.31711429,465.988479195
 01/04  14:00:00,1201.28480956,440.165260989
 01/04  15:00:00,1199.78130092,407.39381982
 01/04  16:00:00,1219.44887055,398.941252129
 01/04  17:00:00,1237.77797453,437.666753904
 01/04  18:00:00,1228.8242857,446.213584019
 01/04  19:00:00,959.300671962,428.928053029
 01/04  20:00:00,957.478730245,413.871028451
 01/04  21:00:00,823.713980748,441.29595025599997
 01/04  22:00:00,785.2271459469999,435.364539789
 01/04  23:00:00,712.9963575539999,444.53936694699996
 01/04  24:00:00,705.14841277,447.556712109
 01/05  01:00:00,683.061112008,456.925009594
 01/05  02:00:00,672.471101923,489.20622335300004
 01/05  03:00:00,650.962777938,506.913589634
 01/05  04:00:00,649.419440724,520.874570266
 01/05  05:00:00,742.514441815,499.71915007
 01/05  06:00:00,736.934079402,833.749437332
 01/05  07:00:00,951.89965602,572.335171144
 01/05  08:00:00,1063.18532598,538.374294896
 01/05  09:00:00,1103.39874884,527.400574246
 01/05  10:00:00,1163.68625786,485.31563809
 01/05  11:00:00,1194.13114872,491.59022401199996
 01/05  12:00:00,1204.54957903,488.118303601
 01/05  13:00:00,1175.0336928,458.201625285
 01/05  14:00:00,1220.51932573,433.40143604699995
 01/05  15:00:00,1214.21469734,397.263900267
 01/05  16:00:00,1193.69480498,391.581300601
 01/05  17:00:00,1178.0800667,442.280529829
 01/05  18:00:00,1155.45367096,469.174618991
 01/05  19:00:00,870.35776394,533.726391248
 01/05  20:00:00,866.462581148,514.291423835
 01/05  21:00:00,741.495231712,534.773232252
 01/05  22:00:00,687.532702644,562.863338002
 01/05  23:00:00,603.234774324,621.1758536240001
 01/05  24:00:00,561.777699544,714.2851345439999
 01/06  01:00:00,530.193469467,757.844620468
 01/06  02:00:00,544.0831475159999,687.998008105
 01/06  03:00:00,531.325480448,740.0294224989999
 01/06  04:00:00,532.141916196,723.085862665
 01/06  05:00:00,624.236676755,691.058253365
 01/06  06:00:00,618.251632525,985.571603135
 01/06  07:00:00,841.620904509,735.391363793
 01/06  08:00:00,962.175058858,656.9303761230001
 01/06  09:00:00,1028.68333334,542.396622308
 01/06  10:00:00,1111.40291076,458.607469382
 01/06  11:00:00,1161.05538368,444.087930808
 01/06  12:00:00,1198.23325383,431.49207458800004
 01/06  13:00:00,1173.90017425,423.53180164699995
 01/06  14:00:00,1219.54828826,396.70152496
 01/06  15:00:00,1215.77659012,374.919228316
 01/06  16:00:00,1200.03791794,371.888184554
 01/06  17:00:00,1187.54412557,419.566982747
 01/06  18:00:00,1173.99654698,436.676131299
 01/06  19:00:00,884.0440473310001,511.489087812
 01/06  20:00:00,859.486636298,514.7256618580001
 01/06  21:00:00,727.919332316,559.877081441
 01/06  22:00:00,702.4186847660001,519.2350894909999
 01/06  23:00:00,635.7876800180001,538.382238336
 01/06  24:00:00,641.613101048,529.816930215
 01/07  01:00:00,635.065367821,522.340930808
 01/07  02:00:00,643.283368109,516.261348603
 01/07  03:00:00,648.836082334,517.598668488
 01/07  04:00:00,659.304773222,514.090983482
 01/07  05:00:00,675.560499544,505.234048811
 01/07  06:00:00,658.127265373,557.042350925
 01/07  07:00:00,723.802559782,505.755331405
 01/07  08:00:00,871.06542201,807.1968044710001
 01/07  09:00:00,893.12554158,597.584103343
 01/07  10:00:00,1002.01907541,516.28825963
 01/07  11:00:00,1038.90205729,519.037619215
 01/07  12:00:00,1078.83940991,505.86945048800004
 01/07  13:00:00,1070.03172633,481.22307747400004
 01/07  14:00:00,1062.20500332,458.869284449
 01/07  15:00:00,1064.87292139,422.40777035400004
 01/07  16:00:00,937.611951997,329.749157195
 01/07  17:00:00,932.960638148,386.873008575
 01/07  18:00:00,882.79989439,402.236744815
 01/07  19:00:00,823.3189190139999,455.016527778
 01/07  20:00:00,801.80013946,452.67687676199995
 01/07  21:00:00,675.138530896,522.406667516
 01/07  22:00:00,677.820375056,523.582630354
 01/07  23:00:00,656.461118362,543.587050356
 01/07  24:00:00,652.645959713,540.4250621040001
 01/08  01:00:00,630.67331118,530.98481385
 01/08  02:00:00,619.968411928,557.9156719819999
 01/08  03:00:00,603.9392773330001,594.6119503819999
 01/08  04:00:00,597.0942397069999,610.173910362
 01/08  05:00:00,606.428452414,603.3463865790001
 01/08  06:00:00,607.993489993,614.6786039169999
 01/08  07:00:00,661.617494437,611.134846847
 01/08  08:00:00,666.779608082,603.173963964
 01/08  09:00:00,776.706407167,491.13374465699997
 01/08  10:00:00,809.0093302710001,428.873274503
