Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,161.748573585,214.716522911
 01/01  02:00:00,156.20601801,168.391717607
 01/01  03:00:00,134.822354354,159.231120906
 01/01  04:00:00,132.65145609299998,158.97404399
 01/01  05:00:00,140.239395795,199.31115897599997
 01/01  06:00:00,154.340084287,240.168756643
 01/01  07:00:00,235.39531734099998,331.248724948
 01/01  08:00:00,315.019467957,719.5650131010001
 01/01  09:00:00,366.59570884199996,917.237195665
 01/01  10:00:00,304.774203731,707.949364354
 01/01  11:00:00,254.31528314599998,573.141362944
 01/01  12:00:00,247.418604338,479.838578032
 01/01  13:00:00,239.553905061,395.43584013
 01/01  14:00:00,208.12124051700002,446.87283639
 01/01  15:00:00,195.10447984900003,502.52408382699997
 01/01  16:00:00,190.503907363,530.939997756
 01/01  17:00:00,224.249320667,551.313667595
 01/01  18:00:00,267.303341317,532.179516403
 01/01  19:00:00,338.41046581,574.072090755
 01/01  20:00:00,354.01000922699995,635.8668952730001
 01/01  21:00:00,381.68120006099997,633.942709236
 01/01  22:00:00,353.60837643300005,631.104367465
 01/01  23:00:00,298.697958272,775.973589468
 01/01  24:00:00,212.25946887900002,591.154577311
 01/02  01:00:00,148.319877159,216.105744408
 01/02  02:00:00,133.532328071,173.408679525
 01/02  03:00:00,122.58248842399999,162.21384066
 01/02  04:00:00,120.96402908299999,163.61161125299998
 01/02  05:00:00,129.046083011,202.181623359
 01/02  06:00:00,165.37379736,322.185930142
 01/02  07:00:00,292.084810002,525.334827521
 01/02  08:00:00,374.756226575,909.486352976
 01/02  09:00:00,304.232450034,804.207227103
 01/02  10:00:00,274.61413163,688.998420834
 01/02  11:00:00,205.33977787799998,619.376011245
 01/02  12:00:00,203.34883584099998,531.980287094
 01/02  13:00:00,198.750804405,522.29915143
 01/02  14:00:00,194.435826383,548.266764895
 01/02  15:00:00,184.681518009,545.2558990030001
 01/02  16:00:00,179.795027675,563.7978138469999
 01/02  17:00:00,212.219699053,539.003300235
 01/02  18:00:00,269.004101863,605.6431156030001
 01/02  19:00:00,340.633389134,814.530332328
 01/02  20:00:00,346.79992626800004,691.398643683
 01/02  21:00:00,379.191411128,683.59502841
 01/02  22:00:00,368.646563134,823.830970397
 01/02  23:00:00,282.565240545,730.565988508
 01/02  24:00:00,191.02519096900002,585.486249151
 01/03  01:00:00,136.59976605100002,231.76559665599999
 01/03  02:00:00,122.494867544,188.632056232
 01/03  03:00:00,110.688096339,177.669430971
 01/03  04:00:00,107.9647108,182.893033884
 01/03  05:00:00,115.66730590899999,215.424828232
 01/03  06:00:00,151.057275349,344.144774705
 01/03  07:00:00,277.587966636,541.673619292
 01/03  08:00:00,360.37874523,1029.28111723
 01/03  09:00:00,286.812638283,924.18872762
 01/03  10:00:00,250.40880086,796.8465719889999
 01/03  11:00:00,198.349295625,726.546563359
 01/03  12:00:00,207.929897986,617.982794365
 01/03  13:00:00,216.590797813,585.709839251
 01/03  14:00:00,217.070537328,554.89223082
 01/03  15:00:00,219.735022223,540.940067787
 01/03  16:00:00,210.790425505,570.465061688
 01/03  17:00:00,225.566882104,568.0756611630001
 01/03  18:00:00,270.934926578,642.2393939359999
 01/03  19:00:00,339.31631546799997,864.181017377
 01/03  20:00:00,343.66980209699994,737.632297513
