Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,38.4068349709,29.9876096006
 01/01  02:00:00,38.8446601174,36.294536309
 01/01  03:00:00,34.5734561425,36.078010907
 01/01  04:00:00,35.1155168818,37.479239283000005
 01/01  05:00:00,37.5591571641,38.688847550700004
 01/01  06:00:00,42.5287311137,39.3120184847
 01/01  07:00:00,61.523824376499995,42.6951511199
 01/01  08:00:00,75.4117379012,45.7996182484
 01/01  09:00:00,94.96853360709999,54.8538131428
 01/01  10:00:00,78.6679721565,69.1079496175
 01/01  11:00:00,53.8622305584,61.1271575116
 01/01  12:00:00,51.5580011541,59.517673701199996
 01/01  13:00:00,51.7669423878,53.0234573599
 01/01  14:00:00,50.827798584300005,58.35017851640001
 01/01  15:00:00,50.472296463599996,53.1553057464
 01/01  16:00:00,49.9385259231,53.8270396441
 01/01  17:00:00,58.0170661195,38.2577117593
 01/01  18:00:00,70.9145615693,22.428640721399997
 01/01  19:00:00,85.7951845813,33.2103157349
 01/01  20:00:00,86.66714505709999,35.1563361107
 01/01  21:00:00,92.9863499034,36.326081526100005
 01/01  22:00:00,90.6308060657,36.7778384682
 01/01  23:00:00,67.7498121002,35.8846037753
 01/01  24:00:00,44.3157446095,37.7290159077
 01/02  01:00:00,36.8483166192,31.661919927
 01/02  02:00:00,35.4475348549,29.899971251700002
 01/02  03:00:00,33.8224089787,29.636632212600002
 01/02  04:00:00,33.9818662056,24.1527139706
 01/02  05:00:00,35.513203676399996,28.1532007728
 01/02  06:00:00,42.9508331246,31.9223318955
 01/02  07:00:00,73.5121585393,36.848485029
 01/02  08:00:00,91.46058809600001,41.5712966005
 01/02  09:00:00,72.87472423050001,48.3512616435
 01/02  10:00:00,67.9683062896,57.0473783466
 01/02  11:00:00,49.3535802688,50.243210518999994
 01/02  12:00:00,49.7819049688,54.5224333375
 01/02  13:00:00,50.705711482299996,47.8277434922
 01/02  14:00:00,51.059187223,44.27624433729999
 01/02  15:00:00,51.0917309227,50.056870323999995
 01/02  16:00:00,50.655198634399994,46.3548119182
 01/02  17:00:00,58.144251249899995,31.7259132288
 01/02  18:00:00,74.6439545418,17.0598795007
 01/02  19:00:00,81.9018350435,32.7906198795
 01/02  20:00:00,84.9411982646,26.8403794635
 01/02  21:00:00,94.16325813889999,30.1900373489
 01/02  22:00:00,88.5550264083,39.8094878323
 01/02  23:00:00,62.8572111138,35.2657554131
 01/02  24:00:00,42.0359183992,28.9561764582
 01/03  01:00:00,36.6870895746,31.0716353047
 01/03  02:00:00,35.0143863577,32.777578006599995
 01/03  03:00:00,33.4759940114,28.5126516347
 01/03  04:00:00,33.989754163899995,36.270410224
 01/03  05:00:00,36.2854621086,40.855355461500004
 01/03  06:00:00,44.4062109368,49.666174595
 01/03  07:00:00,73.8575432369,56.0615761774
 01/03  08:00:00,91.3828798367,60.940406524
 01/03  09:00:00,74.1708412162,58.310091093400004
 01/03  10:00:00,69.8455519357,77.4431570419
 01/03  11:00:00,52.6641123616,63.149346997799995
 01/03  12:00:00,52.637445151499996,66.7671320479
 01/03  13:00:00,52.468014632700005,57.8096372498
 01/03  14:00:00,52.278452363199996,55.001228533900004
 01/03  15:00:00,51.8584516795,54.0543873899
 01/03  16:00:00,51.1437804559,62.1204128814
 01/03  17:00:00,56.715831217399995,40.9807683173
 01/03  18:00:00,74.3541262647,26.105558215100004
 01/03  19:00:00,81.357901782,43.6063126867
 01/03  20:00:00,84.2025496686,40.0405268366
 01/03  21:00:00,93.21740766120001,42.8788668666
 01/03  22:00:00,87.8096551659,45.0163448357
 01/03  23:00:00,62.7269922944,52.680586169099996
 01/03  24:00:00,43.7379610569,42.5009245133
 01/04  01:00:00,39.531339720700004,43.3676202989
 01/04  02:00:00,38.4638221465,44.43919949439999
 01/04  03:00:00,37.564267428499996,40.586162069400004
 01/04  04:00:00,38.7942715728,47.4271271363
 01/04  05:00:00,41.0613154121,46.960565887399994
 01/04  06:00:00,49.293343436899995,53.7782820122
 01/04  07:00:00,76.473024171,59.792003057799995
 01/04  08:00:00,92.6722653882,57.3290645465
 01/04  09:00:00,77.0157534615,67.5062495128
 01/04  10:00:00,72.3530491218,76.1787734034
 01/04  11:00:00,55.1819524443,72.9956937744
 01/04  12:00:00,54.403160979700004,65.2974804147
 01/04  13:00:00,53.8285124095,67.8879071141
 01/04  14:00:00,53.3612966846,59.577322402
 01/04  15:00:00,52.6690532868,58.7181522838
 01/04  16:00:00,51.6308415314,65.7050417257
 01/04  17:00:00,57.11150845,43.001106749499996
 01/04  18:00:00,74.3856288615,28.558471339
 01/04  19:00:00,80.9050918176,46.6498852113
 01/04  20:00:00,83.5180989743,42.9825445499
 01/04  21:00:00,92.5361431968,45.695125781899996
 01/04  22:00:00,87.2220367715,47.7408206286
 01/04  23:00:00,63.129576452799995,55.3536956262
 01/04  24:00:00,44.822255255600005,45.155864331000004
 01/05  01:00:00,41.212414544699996,46.3314584073
 01/05  02:00:00,41.1008379691,46.77268863729999
 01/05  03:00:00,40.3083677105,40.9046867121
 01/05  04:00:00,41.445867837,48.0225573217
 01/05  05:00:00,43.7269715999,49.1185181307
 01/05  06:00:00,50.93924088439999,52.9746192533
 01/05  07:00:00,77.3020224674,58.056183125100006
 01/05  08:00:00,92.6342732625,56.1059649319
 01/05  09:00:00,77.0927535604,65.73768343340001
 01/05  10:00:00,71.6154127,74.47629817229999
 01/05  11:00:00,54.7475502174,68.7528470551
 01/05  12:00:00,54.630745633000004,68.8726012641
 01/05  13:00:00,53.8870457325,63.218390346099994
 01/05  14:00:00,53.713175925600005,61.284779174700006
 01/05  15:00:00,53.471741977600004,61.551195827700006
 01/05  16:00:00,52.3381855606,67.9947491547
 01/05  17:00:00,58.7160868105,45.4441227339
 01/05  18:00:00,75.2311746964,29.2600060386
 01/05  19:00:00,81.28910204510001,45.6001041477
 01/05  20:00:00,83.5392964232,41.0404134696
 01/05  21:00:00,92.1987921985,42.6162382104
 01/05  22:00:00,86.90660798299999,45.20804686020001
 01/05  23:00:00,62.8885176264,54.2118367712
 01/05  24:00:00,46.1397050435,44.9142288753
 01/06  01:00:00,43.1106905749,46.752881058599996
 01/06  02:00:00,42.6481537621,46.9047286633
 01/06  03:00:00,42.4836794868,44.528049905299994
 01/06  04:00:00,43.2011515491,50.5999932638
 01/06  05:00:00,45.1214081787,49.6880437575
 01/06  06:00:00,53.682327416499994,58.0529087476
 01/06  07:00:00,79.7777352473,65.8340836111
 01/06  08:00:00,94.70867433379999,70.1049620867
 01/06  09:00:00,80.041141381,67.1748617477
 01/06  10:00:00,74.4471917085,86.7377004668
 01/06  11:00:00,57.8235559417,73.8260538161
 01/06  12:00:00,56.604409072399996,77.0530191586
 01/06  13:00:00,54.827524332399996,65.7383451788
 01/06  14:00:00,54.1597909021,63.3414040832
 01/06  15:00:00,54.1644348772,63.8059228048
