Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,113.99691630299999,94.37111420020001
 01/02  02:00:00,105.133267103,82.0522243167
 01/02  03:00:00,125.62657464600001,104.44505036
 01/02  04:00:00,108.738014678,92.6632150325
 01/02  05:00:00,158.549955234,153.439145748
 01/02  06:00:00,183.91652939099998,201.00317072599998
 01/02  07:00:00,244.979443462,220.50219427599998
 01/02  08:00:00,261.868580878,214.062496968
 01/02  09:00:00,251.940834067,192.77967833099999
 01/02  10:00:00,257.47525975900004,177.33015816099999
 01/02  11:00:00,253.895387385,152.399577982
 01/02  12:00:00,251.291002975,141.464905307
 01/02  13:00:00,239.369415412,121.09852973299999
 01/02  14:00:00,247.354491639,102.66250540700001
 01/02  15:00:00,245.723613798,114.135858565
 01/02  16:00:00,244.43305825,110.68129412100001
 01/02  17:00:00,250.62848017599998,125.80826206799999
 01/02  18:00:00,258.16206251,122.68906133799999
 01/02  19:00:00,163.49107731,82.3082506791
 01/02  20:00:00,164.747933757,85.3869932457
 01/02  21:00:00,145.751551712,106.802814433
 01/02  22:00:00,122.11397965200001,84.7379806579
 01/02  23:00:00,97.1830892541,75.366979289
 01/02  24:00:00,107.40736552700001,96.7451092303
 01/03  01:00:00,100.387528497,78.6142782246
 01/03  02:00:00,112.78222927600001,99.3859837002
 01/03  03:00:00,105.007727968,80.4903720058
 01/03  04:00:00,114.60091551200001,101.689255285
 01/03  05:00:00,145.576257583,114.505815146
 01/03  06:00:00,174.733918371,179.24191901400002
 01/03  07:00:00,234.349851295,184.586359382
 01/03  08:00:00,251.14913514,168.349687054
 01/03  09:00:00,244.137039952,170.033653237
 01/03  10:00:00,252.863325929,153.139143016
 01/03  11:00:00,250.613054989,153.426607886
 01/03  12:00:00,249.09427439,141.078235826
 01/03  13:00:00,236.600224244,146.13322808200002
 01/03  14:00:00,244.15841235,133.378157749
 01/03  15:00:00,244.11281194,139.037696958
 01/03  16:00:00,244.46647785,139.772005575
 01/03  17:00:00,252.270955554,134.832646406
 01/03  18:00:00,261.610672433,139.671124717
 01/03  19:00:00,163.823508388,94.7502642188
 01/03  20:00:00,166.913261852,87.58139164399999
 01/03  21:00:00,154.331725521,100.29413452600001
 01/03  22:00:00,127.77359920299999,87.2608048716
 01/03  23:00:00,105.122651817,79.0214459125
 01/03  24:00:00,118.40994639200001,109.93885502799999
 01/04  01:00:00,110.076413264,96.1202653783
 01/04  02:00:00,123.100104546,128.378024707
 01/04  03:00:00,115.54936898700001,110.749472113
 01/04  04:00:00,127.624663199,142.342633458
 01/04  05:00:00,161.36105162200002,176.082844834
 01/04  06:00:00,187.988337188,221.74735870799998
 01/04  07:00:00,251.771715077,234.98280278099998
 01/04  08:00:00,267.999999383,228.079481058
 01/04  09:00:00,256.225330073,225.44074958
 01/04  10:00:00,260.596938228,193.07918032
 01/04  11:00:00,255.422594054,177.15597996
 01/04  12:00:00,252.35961101,160.33994727299998
 01/04  13:00:00,239.71188849599997,140.448250975
 01/04  14:00:00,248.650350703,143.542859357
 01/04  15:00:00,246.985984431,130.34637597100001
 01/04  16:00:00,245.150548196,140.890846589
 01/04  17:00:00,251.92427273299998,140.93149850700001
 01/04  18:00:00,260.954263345,157.981002815
 01/04  19:00:00,166.75459348799998,107.957592641
 01/04  20:00:00,169.339219524,118.400228951
 01/04  21:00:00,156.43271454,133.832589479
 01/04  22:00:00,130.31870991,117.29668610899999
 01/04  23:00:00,109.26977460799999,107.04421614600001
 01/04  24:00:00,122.589548389,136.562132635
 01/05  01:00:00,114.599028316,113.18917828100001
 01/05  02:00:00,126.77966061299999,146.381020918
 01/05  03:00:00,118.95540361399999,119.80490053
 01/05  04:00:00,130.362366674,152.67277812700002
 01/05  05:00:00,163.822379751,189.15767417
 01/05  06:00:00,191.77019401099997,231.25327579
 01/05  07:00:00,263.592197715,257.879179495
 01/05  08:00:00,279.586271388,250.957879867
 01/05  09:00:00,269.657370118,242.06300229
 01/05  10:00:00,267.95603737,230.19556153
 01/05  11:00:00,259.24086556599997,191.698623583
 01/05  12:00:00,255.343392357,179.34918497799998
 01/05  13:00:00,242.081581823,157.240588586
 01/05  14:00:00,249.961096388,158.11463293100002
 01/05  15:00:00,248.002172275,153.339781811
 01/05  16:00:00,246.42513718599997,143.993892455
 01/05  17:00:00,254.03174192400002,162.366468525
 01/05  18:00:00,264.813064074,175.750811289
 01/05  19:00:00,168.019050252,122.41475490799999
 01/05  20:00:00,171.60002595,126.404225756
 01/05  21:00:00,158.939025641,140.197326239
 01/05  22:00:00,131.809718794,125.37111819100001
 01/05  23:00:00,109.733070412,102.25569876200001
 01/05  24:00:00,122.454197557,126.71233791200001
 01/06  01:00:00,114.38525991899999,104.165354383
 01/06  02:00:00,126.39187853600001,135.37453810899999
 01/06  03:00:00,119.259394144,115.765301871
 01/06  04:00:00,130.223718617,148.02737967
 01/06  05:00:00,163.210886494,171.41433828
 01/06  06:00:00,190.744602531,220.15031113599997
 01/06  07:00:00,256.748048809,241.113224688
 01/06  08:00:00,272.001075795,232.307638948
 01/06  09:00:00,259.99979746099996,228.659151535
 01/06  10:00:00,261.306894173,203.23628059700002
 01/06  11:00:00,255.495396355,178.739030589
