Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,262.94220049,592.380870522
 01/01  02:00:00,258.821161158,519.94855957
 01/01  03:00:00,264.24653642,766.733562584
 01/01  04:00:00,258.93311784900004,562.632252085
 01/01  05:00:00,276.619882568,812.937636837
 01/01  06:00:00,295.717570626,597.920571945
 01/01  07:00:00,350.098367853,840.72755736
 01/01  08:00:00,360.565091719,591.322408036
 01/01  09:00:00,323.002621244,646.8198047999999
 01/01  10:00:00,280.816617614,365.279409379
 01/01  11:00:00,237.13269840599997,446.83052235199995
 01/01  12:00:00,231.76613405400002,273.263363776
 01/01  13:00:00,236.868807818,312.516269437
 01/01  14:00:00,231.588245673,187.444497671
 01/01  15:00:00,236.647412412,207.84163066
 01/01  16:00:00,231.46886628200002,125.974714395
 01/01  17:00:00,311.156924854,215.069301675
 01/01  18:00:00,368.417362844,226.100080133
 01/01  19:00:00,373.676113195,389.60838955199995
 01/01  20:00:00,344.06232205,308.602137223
 01/01  21:00:00,349.325623911,483.91097954
 01/01  22:00:00,319.710993379,393.26780193
 01/01  23:00:00,300.623879573,630.4971307999999
 01/01  24:00:00,270.939475302,472.559283718
 01/02  01:00:00,313.909196419,688.356376448
 01/02  02:00:00,308.628434735,496.416258402
 01/02  03:00:00,314.01613599,717.855856659
 01/02  04:00:00,308.701156115,517.672531832
 01/02  05:00:00,326.32690188,735.7039401789999
 01/02  06:00:00,370.349085778,529.593146765
 01/02  07:00:00,435.558675418,3143.7906015999997
 01/02  08:00:00,556.402523114,4023.78049696
 01/02  09:00:00,1059.68078153,2549.18689546
 01/02  10:00:00,1022.05702867,2007.75512344
 01/02  11:00:00,969.451923279,1284.76259247
 01/02  12:00:00,967.318097019,928.76911404
 01/02  13:00:00,916.9480879480001,907.911679183
 01/02  14:00:00,966.4549796539999,810.095017931
 01/02  15:00:00,966.2784393530001,737.0249282789999
 01/02  16:00:00,966.253263316,731.1202253460001
 01/02  17:00:00,1041.4981504,1169.4269045999997
 01/02  18:00:00,955.2515759380001,1477.44919687
 01/02  19:00:00,755.965726955,1371.39568479
 01/02  20:00:00,732.03931204,1573.09282851
 01/02  21:00:00,584.39433658,1934.9616454
 01/02  22:00:00,562.0555436000001,1947.4949607
 01/02  23:00:00,350.15767075400004,3.25106014432
 01/02  24:00:00,317.78314583400004,27.21935924
 01/03  01:00:00,312.28929677400004,63.911201721400005
